cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1687229,2017-02-07,INVH,Sears Janice L.,,0001209191-17-008425,2017-01-31,A,13500,0.0,13500,D,,,,,,
1687229,2017-02-07,INVH,Sears Janice L.,,0001209191-17-008425,2017-02-06,P,5000,20.0,5000,I,,,,,,
1687229,2017-02-07,INVH,GORDON G IRWIN,,0001209191-17-008262,2017-01-31,A,100946,0.0,100946,D,,,,,,
1687229,2017-02-07,INVH,GORDON G IRWIN,,0001209191-17-008262,2017-02-06,P,10000,20.0,110946,D,,,,,,
1687229,2017-02-07,INVH,SOLLS MARK A,,0001209191-17-008258,2017-01-31,A,101882,0.0,101882,D,,,,,,
1687229,2017-02-07,INVH,SOLLS MARK A,,0001209191-17-008258,2017-02-06,P,1000,20.0,102882,D,,,,,,
1687229,2017-04-04,INVH,BLAIR BRYCE,,0001209191-17-025115,2017-01-31,A,294241,0.0,294241,D,,,,,,
1687229,2017-04-04,INVH,BLAIR BRYCE,,0001209191-17-025115,2017-04-04,A,9119,0.0,304395,D,,,,,,
1687229,2017-06-12,INVH,Bartling John,,0001209191-17-039123,2017-06-09,P,950,21.427,746236,D,,,,,,
1687229,2017-06-14,INVH,Bartling John,,0001209191-17-039853,2017-06-14,G,950,0.0,745286,D,,,,,,
1687229,2017-06-27,INVH,Norrell Kimberly K,,0001209191-17-042036,2017-06-23,A,5987,0.0,81317,D,,,,,,
1687229,2017-06-27,INVH,Lavine Bruce A,,0001209191-17-042034,2017-06-23,A,9210,0.0,165682,D,,,,,,
1687229,2017-06-27,INVH,SOLLS MARK A,,0001209191-17-042031,2017-06-23,A,9210,0.0,112092,D,,,,,,
1687229,2017-06-27,INVH,GORDON G IRWIN,,0001209191-17-042027,2017-06-23,A,9210,0.0,120156,D,,,,,,
1687229,2017-06-27,INVH,FREEDMAN ERNEST MICHAEL,,0001209191-17-042022,2017-06-23,A,25324,0.0,307002,D,,,,,,
1687229,2017-06-27,INVH,Bartling John,,0001209191-17-042020,2017-06-23,A,62157,0.0,807443,D,,,,,,
1687229,2017-06-27,INVH,Tanner Dallas B,,0001209191-17-042014,2017-06-23,A,25324,0.0,227035,D,,,,,,
1687229,2017-08-09,INVH,GORDON G IRWIN,,0001209191-17-048228,2017-08-07,F,13532,21.11,106624,D,,,,,,
1687229,2017-08-09,INVH,Tanner Dallas B,,0001209191-17-048227,2017-08-07,F,22181,21.11,342976,D,,,,,,
1687229,2017-08-09,INVH,SOLLS MARK A,,0001209191-17-048225,2017-08-07,F,12474,21.11,99618,D,,,,,,
1687229,2017-08-09,INVH,Norrell Kimberly K,,0001209191-17-048223,2017-08-07,F,8009,21.11,73308,D,,,,,,
1687229,2017-08-09,INVH,Lavine Bruce A,,0001209191-17-048221,2017-08-07,F,18384,21.11,147298,D,,,,,,
1687229,2017-08-09,INVH,FREEDMAN ERNEST MICHAEL,,0001209191-17-048218,2017-08-07,F,96106,21.11,349018,D,,,,,,
1687229,2017-08-09,INVH,Bartling John,,0001209191-17-048216,2017-08-07,F,135928,21.11,671515,D,,,,,,
1687229,2017-11-20,INVH,TUOMI FREDERICK C,,0000899243-17-027092,2017-11-16,A,375829,,375829,D,,,,,,
