cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1478242,2016-03-02,Q,GORDON KEVIN K,,0001209191-16-104631,2016-03-01,X,24000.0,17.53,41899,D,,,,,,
1478242,2016-03-02,Q,GORDON KEVIN K,,0001209191-16-104631,2016-03-01,S,24000.0,65.03,17899,D,,,,,,
1478242,2016-03-07,Q,Williams Charles Edward,,0001209191-16-106557,2016-03-03,A,1933.0,0.0,4004,D,,,,,,
1478242,2016-03-07,Q,Williams Charles Edward,,0001209191-16-106557,2016-03-04,F,93.0,65.44,3911,D,,,,,,
1478242,2016-03-21,Q,GORDON KEVIN K,,0001209191-16-109762,2016-03-17,X,2051.0,17.53,19950,D,,,,,,
1478242,2016-03-21,Q,GORDON KEVIN K,,0001209191-16-109762,2016-03-17,S,2051.0,65.0,17899,D,,,,,,
1478242,2016-03-21,Q,GORDON KEVIN K,,0001209191-16-109762,2016-03-18,X,18310.0,17.53,36209,D,,,,,,
1478242,2016-03-21,Q,GORDON KEVIN K,,0001209191-16-109762,2016-03-18,S,18310.0,65.01,17899,D,,,,,,
1478242,2016-03-23,Q,GORDON KEVIN K,,0001209191-16-110210,2016-03-22,X,3639.0,17.53,21538,D,,,,,,
1478242,2016-03-23,Q,GORDON KEVIN K,,0001209191-16-110210,2016-03-22,S,3639.0,65.01,17899,D,,,,,,
1478242,2016-04-14,Q,GORDON KEVIN K,,0001209191-16-114209,2016-04-12,X,24000.0,17.53,41899,D,,,,,,
1478242,2016-04-14,Q,GORDON KEVIN K,,0001209191-16-114209,2016-04-12,S,23800.0,69.43,18099,D,,,,,,
1478242,2016-05-06,Q,LEONARD JOHN M.,,0001209191-16-118167,2016-05-05,A,775.0,0.0,2316,D,,,,,,
1478242,2016-05-06,Q,SCHAEFFER LEONARD D,,0001209191-16-118154,2016-05-05,A,775.0,0.0,65896,D,,,,,,
