cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1020569,2018-02-22,IRM,Keddy Patrick J,,0001104659-18-011458,2018-02-20,M,1005.0,0.0,14608.0,D,,,,,,
1020569,2018-02-22,IRM,Keddy Patrick J,,0001104659-18-011458,2018-02-20,F,532.0,32.12,14076.0,D,,,,,,
1020569,2018-02-22,IRM,MacLean Theodore,,0001104659-18-011450,2018-02-20,S,529.0,32.75,6367.0,D,,,,,,
1020569,2018-02-22,IRM,MacLean Theodore,,0001104659-18-011450,2018-02-20,M,5031.0,0.0,11398.0,D,,,,,,
1020569,2018-02-22,IRM,MacLean Theodore,,0001104659-18-011450,2018-02-20,F,1462.0,32.12,9936.0,D,,,,,,
1020569,2018-02-22,IRM,MacLean Theodore,,0001104659-18-011450,2018-02-21,S,547.0,31.86,11927.0,D,,,,,,
1020569,2018-02-22,IRM,Meaney William L,,0001104659-18-011442,2018-02-20,S,5062.0,32.92,93587.0,D,,,,,,
1020569,2018-02-22,IRM,Meaney William L,,0001104659-18-011442,2018-02-20,M,25921.0,0.0,119508.0,D,,,,,,
1020569,2018-02-22,IRM,Meaney William L,,0001104659-18-011442,2018-02-20,F,11521.0,32.12,107987.0,D,,,,,,
1020569,2018-02-22,IRM,Meaney William L,,0001104659-18-011442,2018-02-21,S,19075.0,31.86,112660.0,D,,,,,,
1020569,2018-02-22,IRM,Tomovcsik John,,0001020569-18-000024,2018-02-20,M,5871.0,0.0,48483.0,D,,,,,,
1020569,2018-02-22,IRM,Tomovcsik John,,0001020569-18-000024,2018-02-20,F,1612.0,32.12,46871.0,D,,,,,,
1020569,2018-02-22,IRM,MARSON DEBORAH,,0001020569-18-000022,2018-02-20,M,654.0,0.0,17310.0,D,,,,,,
1020569,2018-02-22,IRM,MARSON DEBORAH,,0001020569-18-000022,2018-02-20,F,226.0,32.12,17084.0,D,,,,,,
1020569,2018-02-22,IRM,Fox Raymond,,0001020569-18-000021,2018-02-20,M,1245.0,0.0,3159.0,D,,,,,,
1020569,2018-02-22,IRM,Fox Raymond,,0001020569-18-000021,2018-02-20,F,440.0,32.12,2719.0,D,,,,,,
1020569,2018-02-22,IRM,Cloutier Ernest W,,0001020569-18-000020,2018-02-20,M,5871.0,0.0,50141.0,D,,,,,,
1020569,2018-02-22,IRM,Cloutier Ernest W,,0001020569-18-000020,2018-02-20,F,1728.0,32.12,48413.0,D,,,,,,
1020569,2018-02-22,IRM,Evens Deirdre,,0001020569-18-000019,2018-02-20,M,6231.0,0.0,21993.0,D,,,,,,
1020569,2018-02-22,IRM,Evens Deirdre,,0001020569-18-000019,2018-02-20,F,1812.0,32.12,20181.0,D,,,,,,
1020569,2018-02-22,IRM,Bicks Edward,,0001020569-18-000018,2018-02-20,M,753.0,0.0,1193.0,D,,,,,,
1020569,2018-02-22,IRM,Bicks Edward,,0001020569-18-000018,2018-02-20,F,260.0,32.12,933.0,D,,,,,,
1020569,2018-02-22,IRM,Kidd Mark,,0001020569-18-000017,2018-02-20,M,627.0,0.0,2406.0,D,,,,,,
1020569,2018-02-22,IRM,Kidd Mark,,0001020569-18-000017,2018-02-20,F,217.0,32.12,2189.0,D,,,,,,
1020569,2018-02-22,IRM,VERRECCHIA ALFRED J,,0001020569-18-000016,2018-02-20,P,5000.0,32.49,16643.0,D,,,,,,
1020569,2018-02-22,IRM,Borges Daniel,,0001020569-18-000015,2018-02-20,M,559.0,0.0,2603.0,D,,,,,,
1020569,2018-02-22,IRM,Borges Daniel,,0001020569-18-000015,2018-02-20,F,194.0,32.12,2409.0,D,,,,,,
1020569,2018-03-07,IRM,Bicks Edward,,0001020569-18-000026,2018-03-05,G,1935.0,0.0,0.0,D,,,,,,
