cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1699150,2017-05-26,GDI,DONNELLY WILLIAM P,isDirector,0001140361-17-022563,2017-05-24,P,42642.0,23.37,42642.0,D,,,,,,
1699150,2017-11-22,GDI,KKR Fund Holdings L.P.,isTenPercentOwner,0001140361-17-043685,2017-11-20,S,25250880.0,26.4325,121157473.0,I,,,,,,
1699150,2017-11-22,GDI,KKR Renaissance Aggregator L.P.,isTenPercentOwner,0001140361-17-043681,2017-11-20,S,25250880.0,26.4325,121157473.0,I,,,,,,
1699150,2018-02-26,GDI,Snyder Neil,isOfficer,0001140361-18-010224,2018-02-22,A,6238.0,0.0,34499.0,D,,,,,,
1699150,2018-02-26,GDI,Sweeney Mark R,isOfficer,0001140361-18-010221,2018-02-22,A,4289.0,0.0,28782.0,D,,,,,,
1699150,2018-02-26,GDI,Reynal Vicente,"isDirector,isOfficer",0001140361-18-010215,2018-02-22,A,62383.0,0.0,194409.0,D,,,,,,
1699150,2018-02-26,GDI,Rubottom Kimberly J.,isOfficer,0001140361-18-010210,2018-02-22,A,4289.0,0.0,12861.0,D,,,,,,
1699150,2018-02-26,GDI,Minarro Viseras Enrique,isOfficer,0001140361-18-010208,2018-02-22,A,7798.0,0.0,13446.0,D,,,,,,
1699150,2018-02-26,GDI,Humphrey John,isDirector,0001140361-18-010206,2018-02-22,A,3899.0,0.0,3899.0,D,,,,,,
1699150,2018-02-26,GDI,Herndon Philip T.,isOfficer,0001140361-18-010203,2018-02-22,A,15596.0,0.0,185164.0,D,,,,,,
1699150,2018-02-26,GDI,Schiesl Andrew R,isOfficer,0001140361-18-010202,2018-02-22,A,10527.0,0.0,10527.0,D,,,,,,
1699150,2018-05-09,GDI,KKR Fund Holdings L.P.,isTenPercentOwner,0001140361-18-022541,2018-05-07,S,30436064.0,29.8375,90721409.0,I,,,,,,
1699150,2018-05-09,GDI,KKR Renaissance Aggregator L.P.,isTenPercentOwner,0001140361-18-022534,2018-05-07,S,30436064.0,29.8375,90721409.0,I,,,,,,
1699150,2018-07-02,GDI,KKR Group Ltd,isTenPercentOwner,0001140361-18-031002,2018-07-01,J,90721409.0,0.0,0.0,I,,,,,,
1699150,2018-11-05,GDI,KKR Fund Holdings L.P.,isTenPercentOwner,0001140361-18-042386,2018-11-02,J,50274.0,0.0,70671135.0,I,,,,,,
1699150,2018-11-05,GDI,STAVROS PETER,isDirector,0001140361-18-042384,2018-11-02,J,50274.0,,50274.0,D,,,,,,
1699150,2018-11-05,GDI,KKR Fund Holdings L.P.,isTenPercentOwner,0001140361-18-042386,2018-11-02,S,20000000.0,25.66,70721409.0,I,,,,,,
1699150,2018-11-05,GDI,KKR Renaissance Aggregator L.P.,isTenPercentOwner,0001140361-18-042383,2018-11-02,J,50274.0,0.0,70671135.0,I,,,,,,
1699150,2018-11-05,GDI,STAVROS PETER,isDirector,0001140361-18-042384,2018-11-02,G,50274.0,0.0,0.0,D,,,,,,
1699150,2018-11-05,GDI,KKR Renaissance Aggregator L.P.,isTenPercentOwner,0001140361-18-042383,2018-11-02,S,20000000.0,25.66,70721409.0,I,,,,,,
