cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1035267,2017-10-27,ISRG,BARRATT CRAIG H,,0001035267-17-000156,2017-10-26,M,7500,119.0633,7500,D,,,,,,
1035267,2017-10-27,ISRG,BARRATT CRAIG H,,0001035267-17-000156,2017-10-26,S,7500,381.0,0,D,,,,,,
1035267,2017-10-31,ISRG,MOHR MARSHALL,,0001035267-17-000160,2017-10-30,M,6000,111.4333,12316,D,,,,,,
1035267,2017-10-31,ISRG,MOHR MARSHALL,,0001035267-17-000160,2017-10-30,S,6000,372.2215,6316,D,,,,,,
1035267,2017-11-14,ISRG,SMITH LONNIE M,,0001035267-17-000161,2017-11-10,S,580,386.7591,273329,I,,,,,,
1035267,2017-11-22,ISRG,MELTZER MARK J,,0001035267-17-000162,2017-11-21,M,3000,111.4333,9888,D,,,,,,
1035267,2017-11-22,ISRG,MELTZER MARK J,,0001035267-17-000162,2017-11-21,S,3000,397.1134,6888,D,,,,,,
1035267,2017-11-28,ISRG,MELTZER MARK J,,0001035267-17-000163,2017-11-27,M,3000,111.4333,9888,D,,,,,,
1035267,2017-11-28,ISRG,MELTZER MARK J,,0001035267-17-000163,2017-11-27,S,3000,400.0,6888,D,,,,,,
1035267,2017-12-04,ISRG,RUBASH MARK J,,0001035267-17-000165,2017-12-01,M,2000,161.2667,5453,D,,,,,,
1035267,2017-12-04,ISRG,RUBASH MARK J,,0001035267-17-000165,2017-12-01,S,2000,395.847,3453,D,,,,,,
1035267,2017-12-04,ISRG,Johnson Amal M,,0001035267-17-000164,2017-11-30,M,3000,121.9933,11361,D,,,,,,
1035267,2017-12-04,ISRG,Johnson Amal M,,0001035267-17-000164,2017-11-30,S,3000,396.4891,8361,D,,,,,,
1035267,2017-12-04,ISRG,Samath Jamie,,0001035267-17-000167,2017-12-01,M,536,328.4567,536,D,,,,,,
1035267,2017-12-04,ISRG,Samath Jamie,,0001035267-17-000167,2017-12-01,S,536,400.0,0,D,,,,,,
