cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
49826,2016-02-05,ITW,Parry David C,,0001380374-16-000021,2016-02-03,M,70000.0,48.51,70044.0,D,,,,,,
49826,2016-02-05,ITW,Parry David C,,0001380374-16-000021,2016-02-03,S,70000.0,89.3,44.0,D,,,,,,
49826,2016-02-09,ITW,Warren Kevin M,,0000049826-16-000147,2016-02-05,A,37.0,90.41,10060.0,D,,,,,,
49826,2016-02-09,ITW,SMITH DAVID BYRON JR,,0000049826-16-000146,2016-02-05,A,128.0,90.41,13296.0,D,,,,,,
49826,2016-02-09,ITW,SKINNER JAMES A,,0000049826-16-000145,2016-02-05,A,428.0,90.41,40784.0,D,,,,,,
49826,2016-02-09,ITW,LENNY RICHARD H,,0000049826-16-000144,2016-02-05,A,373.0,90.41,4170.0,D,,,,,,
49826,2016-02-09,ITW,MORRISON ROBERT S,,0000049826-16-000143,2016-02-05,A,497.0,90.41,95723.0,D,,,,,,
49826,2016-02-09,ITW,Brutto Daniel J,,0000049826-16-000142,2016-02-05,A,186.0,90.41,9942.0,D,,,,,,
49826,2016-02-09,ITW,CROWN SUSAN,,0001124194-16-000009,2016-02-05,A,96.0,90.41,44656.0,D,,,,,,
49826,2016-02-10,ITW,Warren Kevin M,,0000049826-16-000149,2016-02-08,S,5500.0,89.54,4560.0,D,,,,,,
49826,2016-02-17,ITW,SCHEUNEMAN RANDALL J,,0000049826-16-000175,2016-02-15,M,1502.0,0.0,4656.0,D,,,,,,
49826,2016-02-17,ITW,SCHEUNEMAN RANDALL J,,0000049826-16-000175,2016-02-15,F,506.0,91.88,4150.0,D,,,,,,
49826,2016-02-17,ITW,SANTI ERNEST SCOTT,,0000049826-16-000174,2016-02-15,M,35573.0,0.0,90563.0,D,,,,,,
49826,2016-02-17,ITW,SANTI ERNEST SCOTT,,0000049826-16-000174,2016-02-15,F,14662.0,91.88,75901.0,D,,,,,,
49826,2016-02-17,ITW,Parry David C,,0000049826-16-000173,2016-02-15,M,15810.0,0.0,15854.0,D,,,,,,
49826,2016-02-17,ITW,O'HERLIHY CHRISTOPHER A,,0000049826-16-000172,2016-02-15,M,5797.0,0.0,17305.0,D,,,,,,
49826,2016-02-17,ITW,Zimmerman Michael R.,,0000049826-16-000177,2016-02-15,M,1449.0,0.0,2266.0,D,,,,,,
49826,2016-02-17,ITW,Zimmerman Michael R.,,0000049826-16-000177,2016-02-15,F,488.0,91.88,1778.0,D,,,,,,
49826,2016-02-17,ITW,VALLS JUAN,,0000049826-16-000176,2016-02-15,M,6324.0,0.0,23057.0,D,,,,,,
49826,2016-02-17,ITW,Parry David C,,0000049826-16-000173,2016-02-15,F,7226.0,91.88,8628.0,D,,,,,,
49826,2016-02-17,ITW,VALLS JUAN,,0000049826-16-000176,2016-02-15,F,3036.0,91.88,20021.0,D,,,,,,
49826,2016-02-17,ITW,O'HERLIHY CHRISTOPHER A,,0000049826-16-000172,2016-02-15,F,1822.0,91.88,15483.0,D,,,,,,
49826,2016-02-17,ITW,Schlitz Lei Zhang,,0000049826-16-000167,2016-02-15,M,2108.0,0.0,2184.0,D,,,,,,
49826,2016-02-17,ITW,Schlitz Lei Zhang,,0000049826-16-000167,2016-02-15,F,692.0,91.88,1492.0,D,,,,,,
49826,2016-02-17,ITW,Hartnett John R.,,0000049826-16-000165,2016-02-15,M,4480.0,0.0,10321.0,D,,,,,,
49826,2016-02-17,ITW,Hartnett John R.,,0000049826-16-000165,2016-02-15,F,1422.0,91.88,8899.0,D,,,,,,
49826,2016-02-17,ITW,NAGARAJAN SUNDARAM,,0000049826-16-000171,2016-02-15,M,5797.0,0.0,22046.0,D,,,,,,
49826,2016-02-17,ITW,NAGARAJAN SUNDARAM,,0000049826-16-000171,2016-02-15,F,1829.0,91.88,20217.0,D,,,,,,
49826,2016-02-17,ITW,MARTINDALE STEVEN L,,0000049826-16-000169,2016-02-15,M,6588.0,0.0,29540.0,D,,,,,,
49826,2016-02-17,ITW,MARTINDALE STEVEN L,,0000049826-16-000169,2016-02-15,F,2161.0,91.88,27379.0,D,,,,,,
49826,2016-02-17,ITW,MARTEL ROLAND M,,0000049826-16-000168,2016-02-15,M,6588.0,0.0,29065.0,D,,,,,,
49826,2016-02-17,ITW,MARTEL ROLAND M,,0000049826-16-000168,2016-02-15,F,2069.0,91.88,26996.0,D,,,,,,
49826,2016-04-26,ITW,Hartnett John R.,,0001550096-16-000007,2016-04-22,M,4000.0,51.6,12899.0,D,,,,,,
49826,2016-04-26,ITW,Hartnett John R.,,0001550096-16-000007,2016-04-22,D,4000.0,104.94,8899.0,D,,,,,,
49826,2016-04-27,ITW,NAGARAJAN SUNDARAM,,0001498509-16-000003,2016-04-25,I,2698.0,104.48,0.0,I,,,,,,
49826,2016-04-27,ITW,Parry David C,,0001380374-16-000023,2016-04-25,S,8000.0,104.41,628.0,D,,,,,,
49826,2016-05-02,ITW,Schlitz Lei Zhang,,0001652579-16-000004,2016-04-28,S,500.0,105.15,992.0,D,,,,,,
49826,2016-05-02,ITW,Schlitz Lei Zhang,,0001652579-16-000004,2016-04-28,M,2000.0,43.64,2992.0,D,,,,,,
49826,2016-05-05,ITW,MARTEL ROLAND M,,0001380373-16-000007,2016-05-03,M,70000.0,48.51,96996.0,D,,,,,,
49826,2016-05-05,ITW,MARTEL ROLAND M,,0001380373-16-000007,2016-05-03,S,70000.0,104.3,26996.0,D,,,,,,
49826,2016-05-10,ITW,LENNY RICHARD H,,0000049826-16-000197,2016-05-06,A,1619.0,104.19,5806.0,D,,,,,,
49826,2016-05-10,ITW,SMITH DAVID BYRON JR,,0000049826-16-000199,2016-05-06,A,1406.0,104.19,14702.0,D,,,,,,
49826,2016-05-10,ITW,STROBEL PAMELA B,,0000049826-16-000200,2016-05-06,A,1295.0,104.19,29108.0,D,,,,,,
49826,2016-05-10,ITW,Warren Kevin M,,0000049826-16-000201,2016-05-06,A,1327.0,104.19,5895.0,D,,,,,,
49826,2016-05-10,ITW,SKINNER JAMES A,,0000049826-16-000198,2016-05-06,A,1667.0,104.19,42603.0,D,,,,,,
49826,2016-05-10,ITW,Williams Anre D,,0000049826-16-000202,2016-05-06,A,1295.0,104.19,19708.0,D,,,,,,
49826,2016-05-10,ITW,MORRISON ROBERT S,,0000049826-16-000196,2016-05-06,A,1726.0,104.19,97650.0,D,,,,,,
49826,2016-05-10,ITW,GRIFFITH JAMES W,,0000049826-16-000194,2016-05-06,A,1295.0,104.19,10240.0,D,,,,,,
49826,2016-05-10,ITW,CROWN SUSAN,,0001124194-16-000012,2016-05-06,A,1378.0,104.19,46077.0,D,,,,,,
49826,2016-05-10,ITW,Brutto Daniel J,,0000049826-16-000193,2016-05-06,A,1456.0,104.19,11410.0,D,,,,,,
49826,2016-05-10,ITW,Schlitz Lei Zhang,,0000049826-16-000195,2016-05-06,M,1519.0,43.64,2111.0,D,,,,,,
49826,2016-05-10,ITW,Schlitz Lei Zhang,,0000049826-16-000195,2016-05-06,S,400.0,103.77,592.0,D,,,,,,
49826,2016-05-13,ITW,O'HERLIHY CHRISTOPHER A,,0000049826-16-000206,2016-05-10,M,22941.0,43.64,38424.0,D,,,,,,
49826,2016-05-13,ITW,O'HERLIHY CHRISTOPHER A,,0000049826-16-000206,2016-05-10,S,22941.0,105.42,15483.0,D,,,,,,
49826,2016-05-13,ITW,Schlitz Lei Zhang,,0000049826-16-000205,2016-05-10,S,500.0,105.45,92.0,D,,,,,,
49826,2016-05-13,ITW,Schlitz Lei Zhang,,0000049826-16-000205,2016-05-10,M,2000.0,43.64,2092.0,D,,,,,,
49826,2016-05-18,ITW,MARTEL ROLAND M,,0001380373-16-000009,2016-05-13,G,2500.0,0.0,24496.0,D,,,,,,
49826,2016-05-18,ITW,Parry David C,,0001380374-16-000025,2016-04-25,G,44.0,0.0,584.0,D,,,,,,
49826,2016-05-18,ITW,Parry David C,,0001380374-16-000025,2016-05-16,S,10000.0,104.35,584.0,D,,,,,,
49826,2016-05-18,ITW,Parry David C,,0001380374-16-000025,2016-05-16,M,10000.0,55.81,10584.0,D,,,,,,
