cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
833444,2017-10-03,JCI,Oliver George,,0001127602-17-029002,2017-09-29,F,37653.0,40.29,611546.0,D,,,,,,
833444,2017-10-03,JCI,Reinsdorf Judith A,,0001127602-17-028999,2017-09-29,F,5164.0,40.29,302896.0,D,,,,,,
833444,2017-10-11,JCI,Jackson William C,,0001127602-17-029731,2017-10-07,F,1807.0,41.07,270351.0,D,,,,,,
833444,2017-10-11,JCI,Walicki Joseph A,,0001127602-17-029729,2017-10-07,F,1824.0,41.07,195261.0,D,,,,,,
833444,2017-10-11,JCI,Vincent Suzanne M,,0001127602-17-029726,2017-10-07,F,320.0,41.07,42789.0,D,,,,,,
833444,2017-10-11,JCI,Stief Brian J,,0001127602-17-029724,2017-10-07,F,926.0,41.07,76076.0,D,,,,,,
833444,2017-10-11,JCI,Oliver George,,0001127602-17-029722,2017-10-07,F,5038.0,41.07,606508.0,D,,,,,,
833444,2017-10-11,JCI,Reinsdorf Judith A,,0001127602-17-029720,2017-10-07,F,1381.0,41.07,301515.0,D,,,,,,
833444,2017-10-11,JCI,Williams Jeffrey M,,0001127602-17-029715,2017-10-07,F,1429.0,41.07,237085.0,D,,,,,,
833444,2017-10-11,JCI,Nevill Trent M,,0001127602-17-029713,2017-10-07,F,1290.0,41.07,55548.0,D,,,,,,
833444,2017-10-11,JCI,Rushing Rodney M,,0001127602-17-029711,2017-10-07,F,457.0,41.07,41338.0,D,,,,,,
833444,2017-10-12,JCI,Williams Jeffrey M,,0001127602-17-029789,2017-10-11,S,1955.0,41.4291,235130.0,D,,,,,,
833444,2017-10-16,JCI,Reinsdorf Judith A,,0001127602-17-029874,2017-10-12,F,766.0,41.39,300749.0,D,,,,,,
833444,2017-11-21,JCI,Williams Jeffrey M,,0001127602-17-033045,2017-11-20,F,3650.0,36.39,232677.0,D,,,,,,
833444,2017-11-21,JCI,Jackson William C,,0001127602-17-033042,2017-11-20,F,4847.0,36.39,266842.0,D,,,,,,
833444,2017-11-21,JCI,Rushing Rodney M,,0001127602-17-033039,2017-11-20,F,1190.0,36.39,40385.0,D,,,,,,
833444,2017-11-21,JCI,Walicki Joseph A,,0001127602-17-033035,2017-11-20,F,2948.0,36.39,193349.0,D,,,,,,
833444,2017-11-21,JCI,Vincent Suzanne M,,0001127602-17-033028,2017-11-20,F,492.0,36.39,42548.0,D,,,,,,
833444,2017-11-21,JCI,Nevill Trent M,,0001127602-17-033024,2017-11-20,F,1478.0,36.39,54392.0,D,,,,,,
833444,2017-11-24,JCI,Jackson William C,,0001127602-17-033230,2017-11-21,P,20000.0,36.0,286842.0,D,,,,,,
833444,2017-11-27,JCI,Oliver George,,0001127602-17-033278,2017-11-24,P,27300.0,36.7995,634732.0,D,,,,,,
833444,2017-12-11,JCI,Oliver George,,0001127602-17-034397,2017-12-07,A,63570.0,0.0,698613.0,D,,,,,,
833444,2017-12-11,JCI,Donofrio John,,0001127602-17-034399,2017-12-07,A,13383.0,0.0,13383.0,D,,,,,,
833444,2017-12-11,JCI,Walicki Joseph A,,0001127602-17-034405,2017-12-07,F,17107.0,37.36,193854.0,D,,,,,,
833444,2017-12-11,JCI,Jackson William C,,0001127602-17-034395,2017-12-07,F,27351.0,37.36,277953.0,D,,,,,,
833444,2017-12-11,JCI,Williams Jeffrey M,,0001127602-17-034413,2017-12-07,A,13383.0,0.0,246060.0,D,,,,,,
833444,2017-12-11,JCI,Walicki Joseph A,,0001127602-17-034405,2017-12-07,A,17612.0,0.0,210961.0,D,,,,,,
833444,2017-12-11,JCI,Jackson William C,,0001127602-17-034395,2017-12-07,A,18462.0,0.0,305304.0,D,,,,,,
833444,2017-12-11,JCI,Nevill Trent M,,0001127602-17-034401,2017-12-07,A,2635.0,0.0,57027.0,D,,,,,,
833444,2017-12-11,JCI,Williams Jeffrey M,,0001127602-17-034413,2017-12-07,F,16365.0,37.36,229695.0,D,,,,,,
833444,2017-12-11,JCI,YOUNG JOHN D,,0001127602-17-034391,2017-12-07,A,1037.0,0.0,1037.0,D,,,,,,
833444,2017-12-11,JCI,Stief Brian J,,0001127602-17-034415,2017-12-07,A,17953.0,0.0,94356.0,D,,,,,,
833444,2017-12-11,JCI,MINELLA LYNN C,,0001127602-17-034407,2017-12-07,A,8699.0,0.0,67917.0,D,,,,,,
833444,2017-12-11,JCI,VanHimbergen Robert M,,0001127602-17-034409,2017-12-07,A,2408.0,0.0,22568.0,D,,,,,,
833444,2018-01-05,JCI,Williams Jeffrey M,,0001127602-18-001280,2018-01-04,S,27734.0,40.0,201961.0,D,,,,,,
833444,2018-01-11,JCI,Tinggren Juergen,,0001127602-18-001639,2017-11-17,P,12000.0,36.4097,21625.0,D,,,,,,
833444,2018-02-23,JCI,Rushing Rodney M,,0001127602-18-007888,2018-02-21,S,808.0,38.34,39847.0,D,,,,,,
833444,2018-03-08,JCI,Daniels Michael E,,0001127602-18-010812,2018-03-07,F,1868.0,37.07,62998.0,D,,,,,,
833444,2018-03-08,JCI,DUPERREAULT BRIAN,,0001127602-18-010808,2018-03-07,F,1868.0,37.07,26999.0,D,,,,,,
833444,2018-03-08,JCI,del Valle Perochena Juan Pablo,,0001127602-18-010816,2018-03-07,F,2024.0,37.07,1866.0,D,,,,,,
833444,2018-03-08,JCI,Tinggren Juergen,,0001127602-18-010810,2018-03-07,F,2110.0,37.07,19540.0,D,,,,,,
833444,2018-03-08,JCI,VERGNANO MARK P,,0001127602-18-010814,2018-03-07,F,1868.0,37.07,13606.0,D,,,,,,
833444,2018-03-08,JCI,ABNEY DAVID P,,0001127602-18-010799,2018-03-07,F,1868.0,37.07,7683.0,D,,,,,,
833444,2018-03-08,JCI,YOST R DAVID,,0001127602-18-010804,2018-03-07,F,1868.0,37.07,44943.0,D,,,,,,
833444,2018-03-08,JCI,YOUNG JOHN D,,0001127602-18-010796,2018-03-07,F,502.0,37.07,541.0,D,,,,,,
