cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1549802,2026-04-03,JD,Xu Ran,,0001974555-26-000004,2026-04-01,M,44510,0.0,247542,D,,,,,,
1549802,2026-04-03,JD,Zhang Pang,,0001974425-26-000004,2026-04-01,M,57722,0.0,92948,D,derivative,Restricted Share Units,Class A ordinary shares,57722.0,,
1549802,2026-04-03,JD,Zhang Pang,,0001974425-26-000004,2026-04-02,F,12800,28.44,122693,D,non_derivative,American depositary shares,,,,
1549802,2026-04-03,JD,Zhang Pang,,0001974425-26-000004,2026-04-01,M,28861,0.0,135493,D,non_derivative,American depositary shares,,,,
1549802,2026-04-03,JD,Shan Su,,0001979553-26-000004,2026-04-01,M,2500,0.0,2500,D,derivative,Restricted Share Units,Class A ordinary shares,2500.0,,
1549802,2026-04-03,JD,Zhang Pang,,0001974425-26-000004,2026-04-02,F,12800,28.44,122693,D,,,,,,
1549802,2026-04-03,JD,Shan Su,,0001979553-26-000004,2026-04-01,M,11250,0.0,44840,D,,,,,,
1549802,2026-04-03,JD,Xu Ran,,0001974555-26-000004,2026-04-01,M,10000,0.0,0,D,derivative,Restricted Share Units,Class A ordinary shares,10000.0,,
1549802,2026-04-03,JD,Xu Ran,,0001974555-26-000004,2026-04-02,F,20000,28.44,227544,D,,,,,,
1549802,2026-04-03,JD,Xu Ran,,0001974555-26-000004,2026-04-02,F,20000,28.44,227544,D,non_derivative,American depositary shares,,,,
1549802,2026-04-03,JD,Shan Su,,0001979553-26-000004,2026-04-01,M,11250,0.0,44840,D,non_derivative,American depositary shares,,,,
1549802,2026-04-03,JD,Shan Su,,0001979553-26-000004,2026-04-02,F,4600,28.44,40240,D,non_derivative,American depositary shares,,,,
1549802,2026-04-03,JD,Shan Su,,0001979553-26-000004,2026-04-01,A,30000,0.0,30000,D,derivative,Restricted Share Units,Class A ordinary shares,30000.0,,
1549802,2026-04-03,JD,Zhang Pang,,0001974425-26-000004,2026-04-01,A,30000,0.0,30000,D,derivative,Restricted Share Units,Class A ordinary shares,30000.0,,
1549802,2026-04-03,JD,Xu Ran,,0001974555-26-000004,2026-04-01,A,80000,0.0,80000,D,derivative,Restricted Share Units,Class A ordinary shares,80000.0,,
1549802,2026-04-03,JD,Shan Su,,0001979553-26-000004,2026-04-02,F,4600,28.44,40240,D,,,,,,
1549802,2026-04-03,JD,Zhang Pang,,0001974425-26-000004,2026-04-01,M,28861,0.0,135493,D,,,,,,
1549802,2026-04-03,JD,Xu Ran,,0001974555-26-000004,2026-04-01,M,44510,0.0,247542,D,non_derivative,American depositary shares,,,,
1549802,2026-05-15,JD,Liu Qiangdong,,0001104659-26-061581,2026-05-15,M,1000000,0.0,1000000,D,non_derivative,American depositary shares,,,,
1549802,2026-05-15,JD,Huang Ming,,0001104659-26-061564,2026-05-15,A,37638,0.0,37638,D,derivative,Restricted Share Units,Class A ordinary shares,37638.0,,
1549802,2026-05-15,JD,Liu Qiangdong,,0001104659-26-061581,2026-05-15,M,2000000,0.0,8000000,D,derivative,Restricted Share Units,Class A ordinary shares,2000000.0,,
1549802,2026-05-15,JD,Xu Dingbo,,0001104659-26-061593,2026-05-15,A,33224,0.0,33224,D,derivative,Restricted Share Units,Class A ordinary shares,33224.0,,
1549802,2026-05-15,JD,Liu Qiangdong,,0001104659-26-061581,2026-05-15,M,1000000,0.0,1000000,D,,,,,,
