cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1637459,2016-01-05,KHC,Telles Marcel Herrmann,,0001637459-16-000064,2015-12-31,A,2503.0,0.0,11500.0,D,,,,,,
1637459,2016-01-05,KHC,LEMANN JORGE P,,0001637459-16-000063,2015-12-31,A,2503.0,0.0,11500.0,D,,,,,,
1637459,2016-01-05,KHC,Cool Tracy Britt,,0001637459-16-000062,2015-12-31,A,2832.0,0.0,12728.0,D,,,,,,
1637459,2016-01-05,KHC,CAHILL JOHN T,,0001637459-16-000061,2016-01-03,F,2164.0,72.76,151203.0,D,,,,,,
1637459,2016-01-05,KHC,Behring Alexandre,,0001637459-16-000060,2015-12-31,A,4149.0,0.0,22142.0,D,,,,,,
1637459,2016-01-05,KHC,Abel Gregory,,0001637459-16-000059,2015-12-31,A,2503.0,0.0,11500.0,D,,,,,,
1637459,2016-02-16,KHC,Savina James J,,0001637459-16-000071,2016-02-13,F,390.0,71.92,5603.0,D,,,,,,
1637459,2016-02-26,KHC,Skinger Christopher R,,0001637459-16-000075,2016-02-25,F,197.0,74.96,3102.0,D,,,,,,
1637459,2016-03-03,KHC,Mammadov Emin,,0001637459-16-000093,2016-03-01,A,1144.0,77.66,10227.0,D,,,,,,
1637459,2016-03-03,KHC,Piani Carlos,,0001637459-16-000098,2016-03-01,A,518.0,77.66,518.0,D,,,,,,
1637459,2016-03-03,KHC,Skinger Christopher R,,0001637459-16-000097,2016-03-01,A,695.0,77.66,3797.0,D,,,,,,
1637459,2016-03-03,KHC,Sa Neto Francisco,,0001637459-16-000096,2016-03-01,A,327.0,77.66,181604.0,D,,,,,,
1637459,2016-03-03,KHC,Pelleissone Eduardo,,0001637459-16-000094,2016-03-01,A,2317.0,77.66,16516.0,D,,,,,,
1637459,2016-03-03,KHC,Romaneiro Marcos,,0001637459-16-000095,2016-03-01,A,2795.0,77.66,17086.0,D,,,,,,
1637459,2016-03-03,KHC,Hill Matthew Alexander,,0001637459-16-000092,2016-03-01,A,1724.0,77.66,15989.0,D,,,,,,
1637459,2016-03-03,KHC,El-Zoghbi Georges,,0001637459-16-000090,2016-01-01,F,2441.0,72.76,60151.0,D,,,,,,
1637459,2016-03-03,KHC,El-Zoghbi Georges,,0001637459-16-000090,2016-03-01,A,4676.0,77.66,64827.0,D,,,,,,
1637459,2016-03-03,KHC,Basilio Paulo,,0001637459-16-000089,2016-03-01,A,2317.0,77.66,22225.0,D,,,,,,
1637459,2016-03-03,KHC,Savina James J,,0001637459-16-000088,2016-03-01,A,599.0,77.66,6202.0,D,,,,,,
1637459,2016-03-03,KHC,Hees Bernardo,,0001637459-16-000091,2016-03-01,A,5601.0,77.66,48293.0,D,,,,,,
1637459,2016-04-25,KHC,MCDONALD MACKEY J,,0001637459-16-000131,2016-04-21,A,1629.0,0.0,14724.0,D,,,,,,
1637459,2016-04-25,KHC,Abel Gregory,,0001637459-16-000125,2016-04-21,A,1629.0,0.0,13290.0,D,,,,,,
1637459,2016-04-25,KHC,Behring Alexandre,,0001637459-16-000126,2016-04-21,A,1629.0,0.0,24086.0,D,,,,,,
1637459,2016-04-25,KHC,LEMANN JORGE P,,0001637459-16-000130,2016-04-21,A,1629.0,0.0,13290.0,D,,,,,,
1637459,2016-04-25,KHC,POPE JOHN C,,0001637459-16-000132,2016-04-21,A,1629.0,0.0,23311.0,D,,,,,,
1637459,2016-04-25,KHC,Cool Tracy Britt,,0001637459-16-000128,2016-04-21,A,1629.0,0.0,14535.0,D,,,,,,
1637459,2016-04-25,KHC,Telles Marcel Herrmann,,0001637459-16-000133,2016-04-21,A,1629.0,0.0,13290.0,D,,,,,,
1637459,2016-04-25,KHC,JACKSON JEANNE P,,0001637459-16-000129,2016-04-21,A,1629.0,0.0,16268.0,D,,,,,,
1637459,2016-04-25,KHC,CAHILL JOHN T,,0001637459-16-000127,2016-04-21,A,1629.0,0.0,4557.0,D,,,,,,
1637459,2016-05-02,KHC,Sa Neto Francisco,,0001637459-16-000137,2016-05-01,M,177332.0,22.56,359877.0,D,,,,,,
1637459,2016-08-05,KHC,Savina James J,,0001637459-16-000181,2016-08-05,F,1006.0,88.79,6208.0,D,,,,,,
1637459,2016-09-21,KHC,3G Global Food Holdings LP,,0000899243-16-029536,2016-09-19,J,2808371.0,0.0,293536058.0,D,,,,,,
1637459,2016-09-21,KHC,3G Global Food Holdings LP,,0000899243-16-029536,2016-09-19,S,1419057.0,87.64,292117001.0,I,,,,,,
1637459,2016-09-21,KHC,3G Global Food Holdings LP,,0000899243-16-029536,2016-09-20,S,1389314.0,86.44,290727687.0,I,,,,,,
1637459,2016-10-24,KHC,Dewan Feroz,,0001637459-16-000200,2016-10-21,A,709.0,87.92,709.0,D,,,,,,
1637459,2017-01-03,KHC,El-Zoghbi Georges,,0001637459-17-000002,2017-01-01,A,35389.0,0.0,116237.0,D,,,,,,
1637459,2017-03-01,KHC,Skinger Christopher R,,0001637459-17-000013,2017-02-27,F,204.0,90.61,5677.0,D,,,,,,
1637459,2017-03-01,KHC,Savina James J,,0001637459-17-000012,2017-02-27,F,339.0,90.61,5883.0,D,,,,,,
1637459,2017-03-03,KHC,Piani Carlos,,0001637459-17-000044,2017-03-01,A,2690.0,91.43,5147.0,D,,,,,,
1637459,2017-03-03,KHC,Romaneiro Marcos,,0001637459-17-000043,2017-03-01,A,2173.0,91.43,26442.0,D,,,,,,
1637459,2017-03-03,KHC,OLIVEIRA RAFAEL,,0001637459-17-000042,2017-03-01,A,912.0,91.43,11134.0,D,,,,,,
1637459,2017-03-03,KHC,Sa Neto Francisco,,0001637459-17-000041,2017-03-01,A,3021.0,91.43,362917.0,D,,,,,,
1637459,2017-03-03,KHC,El-Zoghbi Georges,,0001637459-17-000039,2017-03-01,A,54686.0,91.43,170923.0,D,,,,,,
1637459,2017-03-03,KHC,Hees Bernardo,,0001637459-17-000034,2017-03-01,A,8959.0,91.43,76442.0,D,,,,,,
1637459,2017-03-03,KHC,Savina James J,,0001637459-17-000038,2017-03-01,A,902.0,91.43,6785.0,D,,,,,,
1637459,2017-03-03,KHC,Pelleissone Eduardo,,0001637459-17-000037,2017-03-01,A,2322.0,91.43,26777.0,D,,,,,,
1637459,2017-03-03,KHC,Mammadov Emin,,0001637459-17-000036,2017-03-01,A,498.0,91.43,13665.0,D,,,,,,
1637459,2017-03-03,KHC,Basilio Paulo,,0001637459-17-000035,2017-03-01,A,4921.0,91.43,35085.0,D,,,,,,
1637459,2017-03-03,KHC,Skinger Christopher R,,0001637459-17-000040,2017-03-01,A,958.0,91.43,6635.0,D,,,,,,
1637459,2017-04-21,KHC,JACKSON JEANNE P,,0001637459-17-000064,2017-04-19,A,1361.0,91.85,17951.0,D,,,,,,
1637459,2017-04-21,KHC,Telles Marcel Herrmann,,0001637459-17-000070,2017-04-19,A,1361.0,91.85,15008.0,D,,,,,,
1637459,2017-04-21,KHC,POPE JOHN C,,0001637459-17-000067,2017-04-19,A,1361.0,91.85,25027.0,D,,,,,,
1637459,2017-04-21,KHC,MCDONALD MACKEY J,,0001637459-17-000066,2017-04-19,A,1361.0,91.85,16481.0,D,,,,,,
1637459,2017-04-21,KHC,LEMANN JORGE P,,0001637459-17-000065,2017-04-19,A,1719.0,91.85,15366.0,D,,,,,,
1637459,2017-04-21,KHC,Cool Tracy Britt,,0001637459-17-000062,2017-04-19,A,1719.0,91.85,16645.0,D,,,,,,
1637459,2017-04-21,KHC,CAHILL JOHN T,,0001637459-17-000061,2017-04-19,A,1361.0,91.85,6040.0,D,,,,,,
1637459,2017-04-21,KHC,Behring Alexandre,,0001637459-17-000060,2017-04-19,A,1361.0,91.85,26095.0,D,,,,,,
1637459,2017-04-21,KHC,Abel Gregory,,0001637459-17-000059,2017-04-19,A,1719.0,91.85,15366.0,D,,,,,,
1637459,2017-04-21,KHC,Dewan Feroz,,0001637459-17-000063,2017-04-19,A,1719.0,91.85,2437.0,D,,,,,,
1637459,2017-05-03,KHC,Sa Neto Francisco,,0001637459-17-000079,2017-05-01,M,177333.0,22.56,548945.0,D,,,,,,
1637459,2018-02-28,KHC,Skinger Christopher R,,0001637459-18-000022,2018-02-26,F,196.0,69.74,9375.0,D,,,,,,
1637459,2018-03-05,KHC,Drevon Pedro,,0001637459-18-000051,2018-03-01,A,17940.0,0.0,21736.0,D,,,,,,
1637459,2018-03-05,KHC,Knopf David,,0001637459-18-000052,2018-03-01,A,31395.0,0.0,35847.0,D,,,,,,
1637459,2018-03-05,KHC,Skinger Christopher R,,0001637459-18-000057,2018-03-01,A,8970.0,0.0,18345.0,D,,,,,,
1637459,2018-03-05,KHC,Wickbold Rodrigo,,0001637459-18-000055,2018-03-01,A,13455.0,0.0,19723.0,D,,,,,,
1637459,2018-03-05,KHC,OLIVEIRA RAFAEL,,0001637459-18-000058,2018-03-01,A,1821.0,66.89,16599.0,D,,,,,,
1637459,2018-03-05,KHC,La Lande Rashida,,0001637459-18-000053,2018-03-01,A,26163.0,0.0,26163.0,D,,,,,,
1637459,2018-03-05,KHC,Pelleissone Eduardo,,0001637459-18-000054,2018-03-01,A,22425.0,0.0,53416.0,D,,,,,,
1637459,2018-03-05,KHC,Basilio Paulo,,0001637459-18-000050,2018-03-01,A,89700.0,0.0,141898.0,D,,,,,,
1637459,2018-03-05,KHC,Hees Bernardo,,0001637459-18-000056,2018-03-01,A,134550.0,0.0,242283.0,D,,,,,,
1637459,2018-04-25,KHC,Telles Marcel Herrmann,,0001637459-18-000092,2018-04-23,A,2168.0,57.68,17668.0,D,,,,,,
1637459,2018-04-25,KHC,POPE JOHN C,,0001637459-18-000091,2018-04-23,A,2168.0,57.68,27685.0,D,,,,,,
1637459,2018-04-25,KHC,LEMANN JORGE P,,0001637459-18-000089,2018-04-23,A,4076.0,57.68,19946.0,D,,,,,,
1637459,2018-04-25,KHC,MCDONALD MACKEY J,,0001637459-18-000090,2018-02-20,P,464.0,69.27,17486.0,D,,,,,,
1637459,2018-04-25,KHC,MCDONALD MACKEY J,,0001637459-18-000090,2018-03-08,P,390.0,66.97,17876.0,D,,,,,,
1637459,2018-04-25,KHC,Van Damme Alexandre,,0001637459-18-000093,2018-04-23,A,2168.0,57.68,8168.0,D,,,,,,
1637459,2018-04-25,KHC,Abel Gregory,,0001637459-18-000082,2018-04-23,A,4076.0,57.68,19946.0,D,,,,,,
1637459,2018-04-25,KHC,JACKSON JEANNE P,,0001637459-18-000088,2018-04-23,A,2168.0,57.68,20568.0,D,,,,,,
1637459,2018-04-25,KHC,Dewan Feroz,,0001637459-18-000086,2018-04-23,A,4076.0,57.68,6593.0,D,,,,,,
1637459,2018-04-25,KHC,MCDONALD MACKEY J,,0001637459-18-000090,2018-04-02,P,669.0,60.27,18545.0,D,,,,,,
1637459,2018-04-25,KHC,Cool Tracy Britt,,0001637459-18-000085,2018-04-23,A,4076.0,57.68,21267.0,D,,,,,,
1637459,2018-04-25,KHC,CAHILL JOHN T,,0001637459-18-000084,2018-04-23,A,2168.0,57.68,8406.0,D,,,,,,
1637459,2018-04-25,KHC,Behring Alexandre,,0001637459-18-000083,2018-04-23,A,2168.0,57.68,29119.0,D,,,,,,
1637459,2018-08-07,KHC,3G Global Food Holdings LP,,0000899243-18-021590,2018-08-06,J,20630314.0,0.0,290727687.0,D,,,,,,
1637459,2018-08-07,KHC,3G Global Food Holdings LP,,0000899243-18-021590,2018-08-07,S,20630314.0,59.85,270097373.0,I,,,,,,
1637459,2018-08-08,KHC,Pelleissone Eduardo,,0001647683-18-000002,2018-08-06,M,35000.0,22.56,88668.0,D,,,,,,
1637459,2018-08-08,KHC,Pelleissone Eduardo,,0001647683-18-000002,2018-08-06,S,35000.0,63.85,53668.0,D,,,,,,
1637459,2018-09-05,KHC,Garlati Vince,,0001742932-18-000002,2018-08-31,A,5149.0,0.0,6173.0,D,,,,,,
1637459,2019-06-06,KHC,POPE JOHN C,,0001192499-19-000002,2018-12-29,J,99.0,0.0,0.0,I,,,,,,
1637459,2019-08-20,KHC,Drevon Pedro,,0000899243-19-022168,2019-08-16,A,49194.0,0.0,71096.0,D,,,,,,
1637459,2019-08-20,KHC,Basilio Paulo,,0000899243-19-022164,2019-08-16,A,236128.0,0.0,379829.0,D,,,,,,
1637459,2019-08-20,KHC,Knopf David,,0000899243-19-022170,2019-08-16,A,39355.0,0.0,75444.0,D,,,,,,
1637459,2019-08-20,KHC,Wickbold Rodrigo,,0000899243-19-022167,2019-08-16,A,98387.0,0.0,118423.0,D,,,,,,
1637459,2019-08-20,KHC,Garlati Vince,,0000899243-19-022151,2019-08-16,A,23613.0,0.0,29824.0,D,,,,,,
1637459,2019-08-20,KHC,Patricio Miguel,,0000899243-19-022155,2019-08-16,A,787091.0,25.41,787091.0,D,,,,,,
1637459,2019-08-20,KHC,La Lande Rashida,,0000899243-19-022166,2019-08-16,A,98387.0,0.0,124550.0,D,,,,,,
1637459,2019-08-20,KHC,Barton Nina,,0000899243-19-022157,2019-08-16,A,118064.0,0.0,148673.0,D,,,,,,
1637459,2019-08-20,KHC,OLIVEIRA RAFAEL,,0000899243-19-022158,2019-08-16,A,157419.0,0.0,226624.0,D,,,,,,
1637459,2019-09-16,KHC,3G Global Food Holdings LP,,0000899243-19-023663,2019-09-16,S,25068657.0,28.44,245028716.0,I,,,,,,
1637459,2019-09-16,KHC,LEMANN JORGE P,,0001637459-19-000078,2019-09-16,P,3496503.0,28.6,3516449.0,D,,,,,,
1637459,2019-09-20,KHC,Van Damme Alexandre,,0001637459-19-000083,2019-09-18,P,250000.0,28.45,250000.0,I,,,,,,
1637459,2019-10-04,KHC,El-Zoghbi Georges,,0001637459-19-000101,2019-09-12,A,3669.0,29.03,118320.0,D,,,,,,
1637459,2019-10-04,KHC,Castro-Neves Joao M.,,0001637459-19-000096,2019-09-12,A,5247.0,29.03,5247.0,D,,,,,,
1637459,2019-10-04,KHC,Dewan Feroz,,0001637459-19-000105,2019-09-12,A,8096.0,29.03,15184.0,D,,,,,,
1637459,2019-10-04,KHC,Abel Gregory,,0001637459-19-000104,2019-09-12,A,8096.0,29.03,29538.0,D,,,,,,
1637459,2019-10-04,KHC,Cool Tracy Britt,,0001637459-19-000106,2019-09-12,A,7148.0,29.03,30010.0,D,,,,,,
1637459,2019-10-04,KHC,LEMANN JORGE P,,0001637459-19-000097,2019-09-12,A,8096.0,29.03,3526041.0,D,,,,,,
1637459,2019-10-04,KHC,Behring Alexandre,,0001637459-19-000100,2019-09-12,A,4306.0,29.03,35608.0,D,,,,,,
1637459,2019-10-04,KHC,CAHILL JOHN T,,0001637459-19-000099,2019-09-12,A,4306.0,29.03,13343.0,D,,,,,,
1637459,2019-10-04,KHC,JACKSON JEANNE P,,0001637459-19-000107,2019-09-12,A,4306.0,29.03,26095.0,D,,,,,,
1637459,2019-10-04,KHC,Van Damme Alexandre,,0001637459-19-000102,2019-09-12,A,8096.0,29.03,16427.0,D,,,,,,
1637459,2019-10-04,KHC,POPE JOHN C,,0001637459-19-000098,2019-09-12,A,4306.0,29.03,33310.0,D,,,,,,
1637459,2020-01-03,KHC,El-Zoghbi Georges,,0001637459-20-000002,2019-12-31,F,13294.0,32.13,105026.0,D,,,,,,
1637459,2020-03-04,KHC,Keller Bruno,,0001637459-20-000038,2020-03-02,A,6517.0,0.0,81920.0,D,,,,,,
1637459,2020-03-04,KHC,Patricio Miguel,,0001637459-20-000036,2020-03-02,A,13839.0,0.0,1406896.0,D,,,,,,
1637459,2020-03-04,KHC,Garlati Vince,,0001637459-20-000040,2020-03-02,A,14531.0,0.0,59473.0,D,,,,,,
1637459,2020-03-04,KHC,Basilio Paulo,,0001637459-20-000034,2020-03-04,A,44879.0,0.0,469550.0,D,,,,,,
1637459,2020-03-04,KHC,Abrams-Rivera Carlos,,0001637459-20-000030,2020-03-02,A,191792.0,0.0,191792.0,D,,,,,,
1637459,2020-03-04,KHC,Basilio Paulo,,0001637459-20-000034,2020-03-02,A,8976.0,26.07,478526.0,D,,,,,,
1637459,2020-03-04,KHC,OLIVEIRA RAFAEL,,0001637459-20-000032,2020-03-02,A,22567.0,0.0,318579.0,D,,,,,,
1637459,2020-05-11,KHC,LEMANN JORGE P,,0001637459-20-000085,2020-05-07,A,8152.0,28.83,3535061.0,D,,,,,,
1637459,2020-05-11,KHC,El-Zoghbi Georges,,0001637459-20-000093,2020-05-07,A,4336.0,28.83,112696.0,D,,,,,,
1637459,2020-05-11,KHC,Castro-Neves Joao M.,,0001637459-20-000080,2020-05-07,A,6591.0,28.83,11992.0,D,,,,,,
1637459,2020-05-11,KHC,CAHILL JOHN T,,0001637459-20-000082,2020-05-07,A,4336.0,28.83,18071.0,D,,,,,,
1637459,2020-05-11,KHC,JACKSON JEANNE P,,0001637459-20-000072,2020-05-07,A,3816.0,28.83,30552.0,D,,,,,,
1637459,2020-05-11,KHC,Mulder Susan R,,0001637459-20-000087,2020-05-07,A,4336.0,28.83,4336.0,D,,,,,,
1637459,2020-05-11,KHC,Abel Gregory,,0001637459-20-000078,2020-05-07,A,8152.0,28.83,38557.0,D,,,,,,
1637459,2020-05-11,KHC,Dewan Feroz,,0001637459-20-000083,2020-05-07,A,3816.0,28.83,19446.0,D,,,,,,
1637459,2020-05-11,KHC,POPE JOHN C,,0001637459-20-000095,2020-05-07,A,4336.0,28.83,38328.0,D,,,,,,
