cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1506307,2016-01-21,KMI,SAROFIM FAYEZ,,0001584746-16-000033,2016-01-19,A,15940,12.55,28442387,D,,,,,,
1506307,2016-01-21,KMI,STAFF JOEL V,,0001584746-16-000032,2016-01-19,A,15940,12.55,54575,D,,,,,,
1506307,2016-01-27,KMI,MORGAN MICHAEL C,,0001584746-16-000034,2016-01-25,P,180000,14.1978,3800000,I,,,,,,
1506307,2016-02-02,KMI,Sanders Dax,,0001584746-16-000036,2016-02-01,P,1500,15.32,273427,D,,,,,,
1506307,2016-07-19,KMI,Arenivas Jesse,,0001584746-16-000039,2016-07-16,F,758,21.03,18045,D,,,,,,
1506307,2016-07-19,KMI,Shorb Lisa M,,0001584746-16-000038,2016-07-16,F,1377,21.03,74652,D,,,,,,
1506307,2016-10-26,KMI,SAROFIM FAYEZ,,0001584746-16-000049,2016-10-24,P,700000,21.4141,29142387,D,,,,,,
1506307,2016-12-16,KMI,MORGAN MICHAEL C,,0001584746-16-000052,2016-12-15,G,7535,0.0,565087,I,,,,,,
1506307,2017-01-19,KMI,SAROFIM FAYEZ,,0001104659-17-003036,2017-01-17,A,8870,22.55,29151257,D,,,,,,
1506307,2017-01-19,KMI,STAFF JOEL V,,0001104659-17-003035,2017-01-17,A,8870,22.55,63445,D,,,,,,
1506307,2017-05-30,KMI,KINDER RICHARD D,,0001584746-17-000002,2017-05-30,P,500000,18.5785,234712353,D,,,,,,
1506307,2017-06-01,KMI,Sanders Dax,,0001584746-17-000003,2017-05-31,P,500,18.708,273927,D,,,,,,
1506307,2017-06-01,KMI,Sanders Dax,,0001584746-17-000003,2017-05-30,P,800,18.54,800,I,,,,,,
1506307,2017-07-19,KMI,Arenivas Jesse,,0001584746-17-000004,2017-07-17,F,946,19.54,17121,D,,,,,,
1506307,2017-07-31,KMI,SMITH WILLIAM A,,0001584746-17-000011,2017-07-31,P,4903,20.2363,8525,I,,,,,,
1506307,2017-12-06,KMI,MARTIN THOMAS A,,0001584746-17-000013,2017-12-05,P,3000,17.095,998069,D,,,,,,
1506307,2018-01-18,KMI,SAROFIM FAYEZ,,0001584746-18-000004,2018-01-16,A,10320,19.39,29161577,D,,,,,,
1506307,2018-01-18,KMI,MACDONALD DEBORAH,,0001584746-18-000003,2018-01-16,A,5160,19.39,17386,D,,,,,,
1506307,2018-01-18,KMI,STAFF JOEL V,,0001584746-18-000002,2018-01-16,A,10320,19.39,73765,D,,,,,,
1506307,2018-01-22,KMI,SMITH WILLIAM A,,0001584746-18-000006,2018-01-22,P,5500,19.5169,14025,I,,,,,,
1506307,2018-01-22,KMI,Arenivas Jesse,,0001584746-18-000005,2018-01-20,F,3152,19.01,14060,D,,,,,,
1506307,2018-07-17,KMI,Holland James E,,0001506307-18-000031,2018-07-14,M,5261,,203779,D,,,,,,
1506307,2018-07-17,KMI,Mathews Denise R,,0001506307-18-000032,2018-07-14,M,4209,,17524,D,,,,,,
1506307,2018-07-17,KMI,Mathews Denise R,,0001506307-18-000032,2018-07-14,F,1025,17.91,16499,D,,,,,,
1506307,2018-07-17,KMI,Michels David Patrick,,0001506307-18-000030,2018-07-14,F,1057,17.91,24035,D,,,,,,
1506307,2018-07-17,KMI,Holland James E,,0001506307-18-000031,2018-07-14,F,1282,17.91,202497,D,,,,,,
1506307,2018-07-17,KMI,Michels David Patrick,,0001506307-18-000030,2018-07-14,M,4340,,25092,D,,,,,,
1506307,2018-07-17,KMI,Sanders Dax,,0001506307-18-000034,2018-07-16,F,24749,17.8,249178,D,,,,,,
1506307,2018-07-30,KMI,SMITH WILLIAM A,,0001506307-18-000062,2018-07-26,P,5556,18.0871,19581,I,,,,,,
1506307,2018-08-02,KMI,Arenivas Jesse,,0001506307-18-000064,2018-07-31,M,22790,0.0,36759,D,,,,,,
1506307,2018-08-02,KMI,Arenivas Jesse,,0001506307-18-000064,2018-07-31,F,7076,17.78,29683,D,,,,,,
1506307,2018-09-27,KMI,KINDER RICHARD D,,0001506307-18-000073,2018-09-27,P,500000,17.553,235212353,D,,,,,,
1506307,2018-10-30,KMI,MACDONALD DEBORAH,,0001506307-18-000085,2018-10-26,M,5442,0.0,22828,D,,,,,,
1506307,2018-10-30,KMI,Sanders Dax,,0001506307-18-000086,2018-10-26,M,1110,0.0,250288,D,,,,,,
1506307,2018-10-30,KMI,KINDER RICHARD D,,0001506307-18-000084,2018-10-26,M,740489,0.0,11812747,I,,,,,,
1506307,2018-10-30,KMI,KEAN STEVEN J,,0001506307-18-000087,2018-10-26,M,9256,0.0,7324030,D,,,,,,
1506307,2019-01-17,KMI,SAROFIM FAYEZ,,0001506307-19-000008,2019-01-15,A,11550,17.32,29173127,D,,,,,,
1506307,2019-01-17,KMI,STAFF JOEL V,,0001506307-19-000009,2019-01-15,A,11550,17.32,85315,D,,,,,,
1506307,2019-01-29,KMI,KINDER RICHARD D,,0001506307-19-000018,2019-01-29,P,50000,17.9215,235262353,D,,,,,,
1506307,2019-01-31,KMI,KINDER RICHARD D,,0001506307-19-000020,2019-01-30,P,65260,17.9499,235327613,D,,,,,,
1506307,2019-02-01,KMI,KINDER RICHARD D,,0001506307-19-000022,2019-01-31,P,100000,18.0528,235427613,D,,,,,,
1506307,2019-02-05,KMI,KINDER RICHARD D,,0001506307-19-000024,2019-02-04,P,150000,18.3126,235577613,D,,,,,,
1506307,2019-02-06,KMI,KINDER RICHARD D,,0001506307-19-000026,2019-02-05,P,200000,18.334,235777613,D,,,,,,
1506307,2019-02-08,KMI,KINDER RICHARD D,,0001506307-19-000029,2019-02-07,P,400000,17.985,236177613,D,,,,,,
1506307,2019-02-11,KMI,KINDER RICHARD D,,0001506307-19-000037,2019-02-08,P,114932,17.8275,236292545,D,,,,,,
1506307,2019-02-12,KMI,KINDER RICHARD D,,0001506307-19-000038,2019-02-12,P,200000,18.3943,236492545,D,,,,,,
1506307,2019-02-19,KMI,KINDER RICHARD D,,0001506307-19-000040,2019-02-15,P,200000,18.9284,236692545,D,,,,,,
1506307,2019-02-20,KMI,KINDER RICHARD D,,0001506307-19-000041,2019-02-19,P,19112,18.7915,236711657,D,,,,,,
1506307,2019-02-22,KMI,KINDER RICHARD D,,0001506307-19-000043,2019-02-21,P,300000,19.1504,237011657,D,,,,,,
1506307,2019-02-25,KMI,KINDER RICHARD D,,0001506307-19-000045,2019-02-25,P,300000,19.2877,237311657,D,,,,,,
1506307,2019-02-27,KMI,KINDER RICHARD D,,0001506307-19-000046,2019-02-26,P,300000,19.3336,237611657,D,,,,,,
1506307,2019-03-01,KMI,KINDER RICHARD D,,0001506307-19-000049,2019-02-28,P,300000,19.227,237911657,D,,,,,,
1506307,2019-03-04,KMI,KINDER RICHARD D,,0001506307-19-000052,2019-03-01,P,76836,19.2999,237988493,D,,,,,,
1506307,2019-03-05,KMI,KINDER RICHARD D,,0001506307-19-000053,2019-03-04,P,200000,19.6125,238188493,D,,,,,,
1506307,2019-03-06,KMI,Schlosser John W,,0001506307-19-000056,2019-03-01,F,56692,19.74,88732,D,,,,,,
1506307,2019-03-06,KMI,KINDER RICHARD D,,0001506307-19-000054,2019-03-05,P,11900,19.699,238200393,D,,,,,,
1506307,2019-03-11,KMI,Schlosser John W,,0001506307-19-000060,2019-03-08,S,54100,19.63,34632,D,,,,,,
1506307,2019-03-11,KMI,KINDER RICHARD D,,0001506307-19-000058,2019-03-08,P,300000,19.6585,238500393,D,,,,,,
1506307,2019-03-13,KMI,MACDONALD DEBORAH,,0001506307-19-000062,2019-03-12,P,2500,19.8949,25328,D,,,,,,
1506307,2019-03-26,KMI,KINDER RICHARD D,,0001506307-19-000066,2019-03-25,P,44100,19.7483,238544493,D,,,,,,
1506307,2019-03-28,KMI,KINDER RICHARD D,,0001506307-19-000067,2019-03-28,P,175000,19.744,238719493,D,,,,,,
1506307,2019-04-10,KMI,KINDER RICHARD D,,0001506307-19-000069,2019-04-09,P,175000,19.742,238894493,D,,,,,,
1506307,2019-04-12,KMI,KINDER RICHARD D,,0001506307-19-000070,2019-04-11,P,200,19.75,238894693,D,,,,,,
1506307,2019-04-15,KMI,KINDER RICHARD D,,0001506307-19-000071,2019-04-15,P,175000,19.75,239069693,D,,,,,,
1506307,2019-04-17,KMI,KINDER RICHARD D,,0001506307-19-000075,2019-04-17,P,175000,19.7488,239397332,D,,,,,,
1506307,2019-04-17,KMI,KINDER RICHARD D,,0001506307-19-000073,2019-04-16,P,152639,19.7479,239222332,D,,,,,,
1506307,2019-04-22,KMI,KINDER RICHARD D,,0001506307-19-000076,2019-04-18,P,175000,19.6402,239572332,D,,,,,,
