cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1170010,2016-04-13,KMX,GOODMAN SHIRA,,0001170010-16-000071,2016-04-12,M,7610.0,14.49,18920,D,,,,,,
1170010,2016-04-13,KMX,GOODMAN SHIRA,,0001170010-16-000071,2016-04-12,S,7610.0,51.25,11310,D,,,,,,
1170010,2016-04-13,KMX,Colberg Alan B.,,0001170010-16-000069,2016-04-12,P,1000.0,51.78,1000,D,,,,,,
1170010,2016-04-14,KMX,Wood William C Jr.,,0001170010-16-000090,2016-04-12,A,19369.0,0.0,63308,D,,,,,,
1170010,2016-04-14,KMX,Colberg Alan B.,,0001170010-16-000086,2016-04-12,A,629.0,0.0,1629,D,,,,,,
1170010,2016-04-15,KMX,WYATT NATALIE L,,0001170010-16-000095,2016-04-14,S,2362.0,54.15,1603,D,,,,,,
1170010,2016-04-19,KMX,WYATT NATALIE L,,0001170010-16-000113,2016-04-15,M,2070.0,,3673,D,,,,,,
1170010,2016-04-19,KMX,WYATT NATALIE L,,0001170010-16-000113,2016-04-15,F,704.0,53.65,2969,D,,,,,,
1170010,2016-04-19,KMX,Wood William C Jr.,,0001170010-16-000112,2016-04-15,M,9703.0,,73011,D,,,,,,
1170010,2016-04-19,KMX,Wood William C Jr.,,0001170010-16-000112,2016-04-15,F,3212.0,53.65,69799,D,,,,,,
1170010,2016-04-19,KMX,Shamim Mohammad,,0001170010-16-000111,2016-04-15,M,2562.0,,2562,D,,,,,,
1170010,2016-04-19,KMX,Shamim Mohammad,,0001170010-16-000111,2016-04-15,F,837.0,53.65,1725,D,,,,,,
1170010,2016-04-19,KMX,Reedy Thomas W JR,,0001170010-16-000110,2016-04-15,M,9703.0,,60395,D,,,,,,
1170010,2016-04-19,KMX,Reedy Thomas W JR,,0001170010-16-000110,2016-04-15,F,3212.0,53.65,57183,D,,,,,,
1170010,2016-04-19,KMX,Nash William D,,0001170010-16-000109,2016-04-15,M,9703.0,,44799,D,,,,,,
1170010,2016-04-19,KMX,Nash William D,,0001170010-16-000109,2016-04-15,F,3212.0,53.65,41587,D,,,,,,
1170010,2016-04-19,KMX,MARGOLIN ERIC M,,0001170010-16-000108,2016-04-15,M,6650.0,,38500,D,,,,,,
1170010,2016-04-19,KMX,MARGOLIN ERIC M,,0001170010-16-000108,2016-04-15,F,2197.0,53.65,36303,D,,,,,,
1170010,2016-04-19,KMX,Hill Edwin J,,0001170010-16-000107,2016-04-15,M,8057.0,,9609,D,,,,,,
1170010,2016-04-19,KMX,Hill Edwin J,,0001170010-16-000107,2016-04-15,F,2666.0,53.65,6943,D,,,,,,
1170010,2016-04-19,KMX,FOLLIARD THOMAS J,,0001170010-16-000106,2016-04-15,M,30955.0,,567645,D,,,,,,
