cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
21344,2017-05-05,KO,DOUGLAS J ALEXANDER JR,,0001127602-17-017000,2017-05-03,M,22000,29.0725,319436,D,,,,,,
21344,2017-05-05,KO,DOUGLAS J ALEXANDER JR,,0001127602-17-017000,2017-05-03,S,22000,43.25,297436,D,,,,,,
21344,2017-05-12,KO,SMITH BRIAN JOHN,,0001127602-17-017849,2017-05-10,M,87800,27.7675,149185,D,,,,,,
21344,2017-05-12,KO,SMITH BRIAN JOHN,,0001127602-17-017849,2017-05-10,S,87800,43.432,61385,D,,,,,,
21344,2017-05-25,KO,KOTICK ROBERT A,,0001127602-17-019353,2017-05-12,L,51,43.58,70051,D,,,,,,
21344,2017-05-25,KO,KOTICK ROBERT A,,0001127602-17-019353,2017-05-19,G,51,0.0,70000,D,,,,,,
21344,2017-05-26,KO,Finan Irial,,0001127602-17-019547,2017-05-24,M,354146,29.0725,780258,D,,,,,,
21344,2017-05-26,KO,Finan Irial,,0001127602-17-019547,2017-05-24,S,354146,45.0008,426112,D,,,,,,
21344,2017-06-16,KO,Perez Beatriz R,,0001127602-17-021563,2017-06-14,M,29282,29.0725,118000,D,,,,,,
21344,2017-06-16,KO,Perez Beatriz R,,0001127602-17-021563,2017-06-14,S,29282,45.2032,88718,D,,,,,,
21344,2017-07-28,KO,Perez Beatriz R,,0001127602-17-024312,2017-07-27,M,10000,21.6,98718,D,,,,,,
21344,2017-07-28,KO,Perez Beatriz R,,0001127602-17-024312,2017-07-27,S,10000,46.0,88718,D,,,,,,
21344,2017-07-28,KO,RANDAZZA MARK,,0001127602-17-024308,2017-07-27,S,24156,46.0137,18495,D,,,,,,
21344,2017-07-28,KO,RANDAZZA MARK,,0001127602-17-024308,2017-07-27,M,8072,21.6,26567,D,,,,,,
21344,2017-08-01,KO,DOUGLAS J ALEXANDER JR,,0001127602-17-024519,2017-07-28,M,18170,27.7675,315606,D,,,,,,
