cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
56873,2018-09-17,KR,COSSET YAEL,,0001209191-18-051159,2018-09-14,F,298.0,27.8,87950.0,D,,,,,,
56873,2018-09-18,KR,SCHLOTMAN J MICHAEL,,0001209191-18-051375,2018-09-05,G,1625.0,0.0,311245.4118,D,,,,,,
56873,2018-09-18,KR,SCHLOTMAN J MICHAEL,,0001209191-18-051375,2018-09-17,F,2023.0,28.84,309222.4118,D,,,,,,
56873,2018-09-18,KR,HJELM CHRISTOPHER T,,0001209191-18-051373,2018-09-17,F,1953.0,28.84,281291.0,D,,,,,,
56873,2018-09-18,KR,DONNELLY MICHAEL JOSEPH,,0001209191-18-051372,2018-09-17,F,1999.0,28.84,318242.748,D,,,,,,
56873,2018-09-19,KR,Sharp Erin S,,0001209191-18-051593,2018-09-18,S,25314.0,29.0,97097.2511,D,,,,,,
56873,2018-10-05,KR,FIKE CARIN L,,0001209191-18-054328,2018-10-04,S,646.0,29.225,6805.0,I,,,,,,
56873,2018-10-09,KR,SARGENT RONALD,,0001209191-18-054475,2018-10-08,M,13000.0,13.07,89775.0,D,,,,,,
56873,2018-10-09,KR,SARGENT RONALD,,0001209191-18-054475,2018-10-08,S,15.0,29.181,89760.0,D,,,,,,
56873,2018-10-11,KR,Kaufman Calvin J,,0001209191-18-054757,2018-10-11,S,700.0,27.5,124687.6525,D,,,,,,
56873,2018-10-31,KR,MOORE CLYDE R,,0001209191-18-056644,2018-10-30,M,13000.0,13.07,119571.0,D,,,,,,
56873,2018-10-31,KR,MOORE CLYDE R,,0001209191-18-056644,2018-10-30,S,13000.0,29.063,106571.0,D,,,,,,
56873,2018-11-07,KR,RUNDE JAMES A,,0001209191-18-057506,2018-11-06,M,13000.0,13.07,118171.0,D,,,,,,
56873,2018-11-07,KR,RUNDE JAMES A,,0001209191-18-057506,2018-11-06,F,5558.0,30.565,112613.0,D,,,,,,
56873,2018-11-13,KR,Montoya Jorge P,,0001209191-18-058161,2018-11-09,F,2619.0,31.25,35079.0,D,,,,,,
56873,2018-11-13,KR,Adcock Mary Ellen,,0001209191-18-058165,2018-11-12,S,1850.0,31.21,95269.0,D,,,,,,
56873,2018-11-13,KR,Adcock Mary Ellen,,0001209191-18-058165,2018-11-12,M,1850.0,10.08,97119.0,D,,,,,,
56873,2018-11-13,KR,Montoya Jorge P,,0001209191-18-058161,2018-11-09,M,13000.0,13.07,37698.0,D,,,,,,
56873,2018-11-13,KR,SCHLOTMAN J MICHAEL,,0001209191-18-058164,2018-11-09,G,6380.0,0.0,302997.528,D,,,,,,
56873,2018-12-11,KR,DONNELLY MICHAEL JOSEPH,,0001209191-18-061921,2018-12-07,F,3177.0,29.17,315126.435,D,,,,,,
56873,2018-12-11,KR,Clark Robert W,,0001209191-18-061920,2018-12-07,M,14500.0,11.17,181086.5699,D,,,,,,
56873,2018-12-11,KR,Clark Robert W,,0001209191-18-061920,2018-12-07,S,14500.0,29.06,166586.5699,D,,,,,,
56873,2018-12-11,KR,BEYER ROBERT D,,0001209191-18-061919,2018-12-07,M,13000.0,13.07,262560.0,D,,,,,,
56873,2018-12-11,KR,BEYER ROBERT D,,0001209191-18-061919,2018-12-07,S,5760.0,29.602,256800.0,D,,,,,,
56873,2018-12-11,KR,ADELMAN JESSICA C,,0001209191-18-061917,2018-12-10,F,383.0,28.79,71850.0,D,,,,,,
56873,2018-12-13,KR,MCMULLEN W RODNEY,,0001209191-18-062372,2018-12-12,F,14143.0,29.75,2642572.2549,D,,,,,,
56873,2018-12-17,KR,DONNELLY MICHAEL JOSEPH,,0001209191-18-062858,2018-12-13,S,27400.0,29.6,287726.435,D,,,,,,
56873,2018-12-19,KR,SCHLOTMAN J MICHAEL,,0001209191-18-063392,2018-12-18,S,20546.0,28.862,282451.528,D,,,,,,
56873,2018-12-26,KR,HJELM CHRISTOPHER T,,0001209191-18-064053,2018-12-21,S,18564.0,28.25,262727.0,D,,,,,,
56873,2019-01-02,KR,BEYER ROBERT D,,0001209191-19-000065,2018-12-31,S,26078.0,27.4632,230722.0,D,,,,,,
56873,2019-01-02,KR,BEYER ROBERT D,,0001209191-19-000065,2019-01-02,S,23922.0,27.3005,206800.0,D,,,,,,
56873,2019-01-28,KR,Vemuri Ashok,,0001209191-19-005470,2019-01-24,A,3048.0,0.0,3048.0,D,,,,,,
56873,2019-02-11,KR,SCHLOTMAN J MICHAEL,,0001209191-19-008822,2019-02-08,G,1780.0,0.0,280839.1649,D,,,,,,
56873,2019-03-11,KR,COSSET YAEL,,0001209191-19-018333,2019-03-08,F,575.0,24.47,87375.0,D,,,,,,
56873,2019-03-18,KR,Tuffin Mark C,,0001209191-19-019923,2019-03-15,A,9804.0,0.0,197945.0,D,,,,,,
56873,2019-03-18,KR,Tosolini Alessandro,,0001209191-19-019922,2019-03-14,A,18788.0,0.0,154222.0,D,,,,,,
56873,2019-03-18,KR,Sharp Erin S,,0001209191-19-019921,2019-03-14,A,12122.0,0.0,109259.6031,D,,,,,,
56873,2019-03-18,KR,Tosolini Alessandro,,0001209191-19-019922,2019-03-15,A,8913.0,0.0,163135.0,D,,,,,,
56873,2019-03-18,KR,Kaufman Calvin J,,0001209191-19-019917,2019-03-14,A,15960.0,0.0,130868.5755,D,,,,,,
56873,2019-03-18,KR,Sharp Erin S,,0001209191-19-019921,2019-03-15,A,6239.0,0.0,115498.6031,D,,,,,,
56873,2019-03-18,KR,MCMULLEN W RODNEY,,0001209191-19-019920,2019-03-14,A,127273.0,0.0,2770577.9521,D,,,,,,
56873,2019-03-18,KR,SCHLOTMAN J MICHAEL,,0001209191-19-019926,2019-03-15,A,8775.0,0.0,289614.1649,D,,,,,,
56873,2019-03-18,KR,Sharp Erin S,,0001209191-19-019921,2019-03-15,F,2945.0,24.75,112553.6031,D,,,,,,
56873,2019-03-18,KR,Wheatley Christine S,,0001209191-19-019924,2019-03-14,A,15152.0,0.0,120705.0,D,,,,,,
56873,2019-03-18,KR,SCHLOTMAN J MICHAEL,,0001209191-19-019926,2019-03-15,F,3977.0,24.75,285637.1649,D,,,,,,
56873,2019-03-18,KR,Massa Timothy A,,0001209191-19-019918,2019-03-15,F,4475.0,24.75,155305.0,D,,,,,,
56873,2019-03-18,KR,Wheatley Christine S,,0001209191-19-019924,2019-03-15,F,3281.0,24.75,124554.0,D,,,,,,
56873,2019-03-18,KR,Massa Timothy A,,0001209191-19-019918,2019-03-15,A,9804.0,0.0,159780.0,D,,,,,,
56873,2019-03-18,KR,McKinney Stephen M,,0001209191-19-019919,2019-03-14,A,16768.0,0.0,170974.6321,D,,,,,,
56873,2019-03-18,KR,Tuffin Mark C,,0001209191-19-019923,2019-03-15,F,4506.0,24.75,193439.0,D,,,,,,
56873,2019-03-18,KR,MCMULLEN W RODNEY,,0001209191-19-019920,2019-03-15,F,7141.0,24.75,2787894.9521,D,,,,,,
56873,2019-03-18,KR,Wheatley Christine S,,0001209191-19-019924,2019-03-15,A,7130.0,0.0,127835.0,D,,,,,,
56873,2019-03-18,KR,McKinney Stephen M,,0001209191-19-019919,2019-03-15,A,9804.0,0.0,180778.6321,D,,,,,,
56873,2019-03-18,KR,Kaufman Calvin J,,0001209191-19-019917,2019-03-15,F,3082.0,24.75,137590.5755,D,,,,,,
56873,2019-03-18,KR,Massa Timothy A,,0001209191-19-019918,2019-03-14,A,18182.0,0.0,140885.0,D,,,,,,
56873,2019-03-18,KR,Tuffin Mark C,,0001209191-19-019923,2019-03-14,A,16566.0,0.0,188141.0,D,,,,,,
56873,2019-03-18,KR,MCMULLEN W RODNEY,,0001209191-19-019920,2019-03-15,A,24458.0,0.0,2795035.9521,D,,,,,,
56873,2019-03-18,KR,McKinney Stephen M,,0001209191-19-019919,2019-03-15,F,4395.0,24.75,176383.6321,D,,,,,,
56873,2019-03-18,KR,Kaufman Calvin J,,0001209191-19-019917,2019-03-15,A,9804.0,0.0,140672.5755,D,,,,,,
