cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership
0000055067,2019-08-20,K,KELLOGG W K FOUNDATION TRUST,,0001209191-19-046804,2019-08-20,S,100000,63.2225,63531838,D
0000055067,2019-09-10,K,KELLOGG W K FOUNDATION TRUST,,0001209191-19-049004,2019-09-10,S,100000,63.0879,63431838,D
0000055067,2019-09-20,K,KELLOGG W K FOUNDATION TRUST,,0001209191-19-050303,2019-09-20,S,100000,63.9601,63331838,D
0000055067,2019-10-10,K,KELLOGG W K FOUNDATION TRUST,,0001209191-19-052956,2019-10-10,S,100000,62.3125,63231838,D
0000055067,2019-10-18,K,HOOD CHRISTOPHER M,,0001225208-19-013651,2019-10-17,A,8540.0000,0.0000,23278.0000,D
0000055067,2019-10-18,K,HOOD CHRISTOPHER M,,0001225208-19-013651,2019-10-17,F,3489.0000,62.2100,19789.0000,D
0000055067,2019-10-18,K,MEJIA MARIA FERNANDA,,0001225208-19-013650,2019-10-17,A,8390.0000,0.0000,30991.0000,D
0000055067,2019-10-18,K,MEJIA MARIA FERNANDA,,0001225208-19-013650,2019-10-17,F,3134.0000,62.2100,27857.0000,D
0000055067,2019-10-18,K,BANATI AMIT,,0001225208-19-013649,2019-10-17,A,8390.0000,0.0000,33194.0000,D
0000055067,2019-10-18,K,BANATI AMIT,,0001225208-19-013649,2019-10-17,F,191.0000,62.2100,33003.0000,D
0000055067,2019-10-18,K,Hirst Alistair D,,0001225208-19-013648,2019-10-17,A,8930.0000,0.0000,40082.2006,D
0000055067,2019-10-18,K,Hirst Alistair D,,0001225208-19-013648,2019-10-17,F,3939.0000,62.2100,36143.2006,D
0000055067,2019-10-18,K,PILNICK GARY H,,0001225208-19-013647,2019-10-17,A,10660.0000,0.0000,75554.2214,D
0000055067,2019-10-18,K,PILNICK GARY H,,0001225208-19-013647,2019-10-17,F,4702.0000,62.2100,70852.2214,D
0000055067,2019-10-21,K,KELLOGG W K FOUNDATION TRUST,,0001209191-19-053697,2019-10-21,S,100000,62.5602,63131838,D
0000055067,2019-11-01,K,Hirst Alistair D,,0001225208-19-013998,2019-10-31,S,2500.0000,63.8800,33643.2006,D
0000055067,2019-11-01,K,PILNICK GARY H,,0001225208-19-013997,2019-10-31,S,20655.0000,63.7306,50197.2214,D
0000055067,2019-11-06,K,MEJIA MARIA FERNANDA,,0001225208-19-014199,2019-11-05,S,2136.0000,63.7000,25721.0000,D
0000055067,2019-11-12,K,KELLOGG W K FOUNDATION TRUST,,0001209191-19-055928,2019-11-11,S,100000,63.3945,63031838,D
0000055067,2019-11-20,K,KELLOGG W K FOUNDATION TRUST,,0001209191-19-057449,2019-11-20,S,100000,65.1855,62931838,D
0000055067,2019-12-10,K,KELLOGG W K FOUNDATION TRUST,,0001209191-19-059901,2019-12-10,S,100000,66.7117,62831838,D
0000055067,2019-12-20,K,KELLOGG W K FOUNDATION TRUST,,0001209191-19-061500,2019-12-20,S,100000,68.2751,62731838,D
0000055067,2020-01-10,K,KELLOGG W K FOUNDATION TRUST,,0001209191-20-003061,2020-01-10,S,100000,69.3262,62631838,D
0000055067,2020-01-21,K,KELLOGG W K FOUNDATION TRUST,,0001209191-20-004287,2020-01-21,S,100000,70.6145,62531838,D
0000055067,2020-02-10,K,KELLOGG W K FOUNDATION TRUST,,0001209191-20-008033,2020-02-10,S,100000,63.9761,62431838,D
0000055067,2020-02-12,K,CAHILLANE STEVEN A,,0001225208-20-001963,2020-02-10,P,16810.0000,65.3336,50565.0000,D
0000055067,2020-02-19,K,PILNICK GARY H,,0001225208-20-002757,2020-02-17,M,2400.0000,0,52440.7210,D
0000055067,2020-02-19,K,PILNICK GARY H,,0001225208-20-002757,2020-02-17,F,706.0000,67.7100,51734.7210,D
0000055067,2020-02-19,K,Howell Melissa A,,0001225208-20-002756,2020-02-17,M,1400.0000,0,9563.0000,D
0000055067,2020-02-19,K,Howell Melissa A,,0001225208-20-002756,2020-02-17,F,444.0000,67.7100,9119.0000,D
