cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1811210,2021-07-27,LCID,Bach Eric,,0000950103-21-011284,2021-07-23,A,1173177,,1173177,D,,,,,,
1811210,2021-07-27,LCID,Rawlinson Peter Dore,,0000950103-21-011283,2021-07-23,A,537919,,537919,D,,,,,,
1811210,2021-07-27,LCID,Ayar Third Investment Co,"isDirector,isTenPercentOwner",0001567619-21-014049,2021-07-23,A,1015252523,0.0,1015252523,D,,,,,,
1811210,2021-07-27,LCID,Alnowaiser Turqi A.,"isDirector,isTenPercentOwner",0001567619-21-014047,2021-07-23,A,2070138,0.0,2070138,D,,,,,,
1811210,2021-07-27,LCID,House Sherry Ann,,0000950103-21-011282,2021-07-23,A,661000,,661000,D,,,,,,
1811210,2021-07-27,LCID,LIVERIS ANDREW N,,0000950103-21-011281,2021-07-23,A,535275,,535275,D,,,,,,
1811210,2021-07-27,LCID,Bell Michael,,0000950103-21-011280,2021-07-23,A,100364,,100364,D,,,,,,
1811210,2021-07-27,LCID,Posawatz Anthony L,,0000950103-21-011279,2021-07-23,A,52880,,52880,D,,,,,,
1811210,2021-10-08,LCID,Bach Eric,,0000950103-21-015704,2021-10-08,D,195557,24.15,1638620,D,,,,,,
1811210,2021-10-08,LCID,Posawatz Anthony L,,0000950103-21-015703,2021-10-08,D,14511,24.15,38369,D,,,,,,
1811210,2021-10-08,LCID,Rawlinson Peter Dore,,0000950103-21-015702,2021-10-08,D,178796,24.15,30218282,D,,,,,,
1811210,2021-10-08,LCID,Bell Michael,,0000950103-21-015701,2021-10-08,D,33526,24.15,1388838,D,,,,,,
1811210,2021-10-27,LCID,LIVERIS ANDREW N,,0000950103-21-016694,2021-10-25,A,11206,,546481,D,,,,,,
1811210,2021-10-27,LCID,Alnowaiser Turqi A.,,0000950103-21-016708,2021-10-25,A,11206,,2081344,D,,,,,,
1811210,2021-10-27,LCID,Posawatz Anthony L,,0000950103-21-016705,2021-10-25,A,11206,,49575,D,,,,,,
1811210,2021-10-27,LCID,Lindenberg Frank,,0000950103-21-016703,2021-10-25,A,11206,,11206,D,,,,,,
1811210,2021-10-27,LCID,Gioia Nancy Lee,,0000950103-21-016701,2021-10-25,A,11206,,11206,D,,,,,,
1811210,2021-10-27,LCID,Wong Janet S.,,0000950103-21-016697,2021-10-25,A,11206,,11206,D,,,,,,
