cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
920760,2016-01-05,"LEN, LEN.B",JAFFE JONATHAN M,,0001209191-16-089207,2015-12-28,G,30877,0.0,513496,I,,,,,,
920760,2016-01-05,"LEN, LEN.B",JAFFE JONATHAN M,,0001209191-16-089207,2016-01-04,S,20000,48.1,493496,I,,,,,,
920760,2016-03-01,"LEN, LEN.B",BOLOTIN IRVING,,0001209191-16-104186,2016-02-29,A,268,0.0,66321,D,,,,,,
920760,2016-03-01,"LEN, LEN.B",GERARD STEVEN L,,0001209191-16-104184,2016-02-29,A,268,0.0,29119,D,,,,,,
920760,2016-03-30,"LEN, LEN.B",LAPIDUS SIDNEY,,0001209191-16-111090,2016-03-28,M,2500,39.51,37193,D,,,,,,
920760,2016-04-04,"LEN, LEN.B",GERARD STEVEN L,,0001209191-16-112309,2016-04-01,M,2500,39.51,31619,D,,,,,,
920760,2016-04-04,"LEN, LEN.B",GERARD STEVEN L,,0001209191-16-112309,2016-04-01,S,2077,47.87,29542,D,,,,,,
920760,2016-04-04,"LEN, LEN.B",SONNENFELD JEFFREY,,0001209191-16-112300,2016-03-31,M,2500,39.51,27666,D,,,,,,
920760,2016-04-04,"LEN, LEN.B",SONNENFELD JEFFREY,,0001209191-16-112300,2016-03-31,S,2094,47.97,25572,D,,,,,,
920760,2016-04-04,"LEN, LEN.B",BOLOTIN IRVING,,0001209191-16-112291,2016-03-31,M,2500,39.51,68821,D,,,,,,
920760,2016-04-04,"LEN, LEN.B",BOLOTIN IRVING,,0001209191-16-112291,2016-03-31,S,2099,47.84,66722,D,,,,,,
920760,2016-04-05,"LEN, LEN.B",JAFFE JONATHAN M,,0001209191-16-113053,2016-04-01,S,20000,47.8,473496,I,,,,,,
920760,2016-04-08,"LEN, LEN.B",HUDSON SHERRILL W,,0001209191-16-113745,2016-04-07,M,2500,39.51,23500,D,,,,,,
920760,2016-04-08,"LEN, LEN.B",HUDSON SHERRILL W,,0001209191-16-113745,2016-04-07,S,2500,47.54,21000,D,,,,,,
920760,2016-04-08,"LEN, LEN.B",Gilliam Theron I,,0001209191-16-113743,2016-04-06,M,2500,39.51,17210,D,,,,,,
920760,2016-04-08,"LEN, LEN.B",Gilliam Theron I,,0001209191-16-113743,2016-04-06,S,2091,47.84,15119,D,,,,,,
920760,2016-04-15,"LEN, LEN.B",OLIVERA ARMANDO J,,0001209191-16-114434,2016-04-13,A,2000,0.0,4460,D,,,,,,
920760,2016-04-15,"LEN, LEN.B",SONNENFELD JEFFREY,,0001209191-16-114429,2016-04-13,A,2000,0.0,27572,D,,,,,,
920760,2016-04-15,"LEN, LEN.B",McClure Teri P,,0001209191-16-114423,2016-04-13,A,2000,0.0,8633,D,,,,,,
920760,2016-04-15,"LEN, LEN.B",LAPIDUS SIDNEY,,0001209191-16-114420,2016-04-13,A,2000,0.0,39193,D,,,,,,
920760,2016-04-15,"LEN, LEN.B",HUDSON SHERRILL W,,0001209191-16-114418,2016-04-13,A,2000,0.0,23000,D,,,,,,
920760,2016-04-15,"LEN, LEN.B",Gilliam Theron I,,0001209191-16-114416,2016-04-13,A,2000,0.0,17119,D,,,,,,
920760,2016-04-15,"LEN, LEN.B",GERARD STEVEN L,,0001209191-16-114414,2016-04-13,A,2000,0.0,31542,D,,,,,,
920760,2016-04-15,"LEN, LEN.B",BOLOTIN IRVING,,0001209191-16-114412,2016-04-13,A,2000,0.0,68722,D,,,,,,
920760,2016-04-29,"LEN, LEN.B",McClure Teri P,,0001209191-16-116480,2016-04-28,M,2500,34.99,11133,D,,,,,,
920760,2016-04-29,"LEN, LEN.B",McClure Teri P,,0001209191-16-116480,2016-04-28,F,1880,46.55,9253,D,,,,,,
920760,2016-06-02,"LEN, LEN.B",GERARD STEVEN L,,0001209191-16-125188,2016-05-31,A,356,0.0,31898,D,,,,,,
920760,2016-06-02,"LEN, LEN.B",BOLOTIN IRVING,,0001209191-16-125177,2016-05-12,G,63274,0.0,7448,D,,,,,,
920760,2016-06-02,"LEN, LEN.B",BOLOTIN IRVING,,0001209191-16-125177,2016-05-26,G,7530,0.0,14978,D,,,,,,
920760,2016-06-02,"LEN, LEN.B",BOLOTIN IRVING,,0001209191-16-125177,2016-05-31,A,356,0.0,15334,D,,,,,,
920760,2016-06-02,"LEN, LEN.B",BOLOTIN IRVING,,0001209191-16-125177,2016-04-25,G,7530,0.0,8225,I,,,,,,
920760,2016-06-24,"LEN, LEN.B",BESSETTE DIANE J,,0001209191-16-129583,2016-06-22,A,17000,0.0,237009,D,,,,,,
920760,2016-06-24,"LEN, LEN.B",SUSTANA MARK,,0001209191-16-129581,2016-06-22,A,19000,0.0,184001,D,,,,,,
920760,2016-06-24,"LEN, LEN.B",Collins David M,,0001209191-16-129585,2016-06-22,A,10500,0.0,121542,D,,,,,,
920760,2016-06-24,"LEN, LEN.B",GROSS BRUCE E,,0001209191-16-129579,2015-12-10,G,300,0.0,555552,D,,,,,,
920760,2016-06-24,"LEN, LEN.B",BECKWITT RICHARD,,0001209191-16-129574,2016-06-22,A,87000,0.0,1131613,D,,,,,,
920760,2016-06-24,"LEN, LEN.B",MILLER STUART A,,0001209191-16-129572,2016-06-22,A,104000,0.0,1157267,D,,,,,,
920760,2016-06-24,"LEN, LEN.B",GROSS BRUCE E,,0001209191-16-129579,2016-06-22,A,40000,0.0,370552,D,,,,,,
920760,2016-06-24,"LEN, LEN.B",GROSS BRUCE E,,0001209191-16-129579,2014-12-04,G,325,0.0,555852,D,,,,,,
920760,2016-06-24,"LEN, LEN.B",JAFFE JONATHAN M,,0001209191-16-129577,2016-06-22,A,49500,0.0,151000,D,,,,,,
920760,2016-07-06,"LEN, LEN.B",BESSETTE DIANE J,,0001209191-16-131719,2016-07-02,F,2046,46.42,234963,D,,,,,,
920760,2016-07-06,"LEN, LEN.B",GROSS BRUCE E,,0001209191-16-131698,2016-07-02,F,4520,46.42,366032,D,,,,,,
920760,2016-07-06,"LEN, LEN.B",SUSTANA MARK,,0001209191-16-131703,2016-07-02,F,1965,46.42,182036,D,,,,,,
