cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1707925,2018-11-20,LIN,Hoyt Kelcey E,,0001707925-18-000035,2018-11-16,F,3.456,165.47,1847.107,D,,,,,,
1707925,2018-11-20,LIN,Roby Anne K,,0001707925-18-000034,2018-11-16,F,1755.429,165.47,24992.522,D,,,,,,
1707925,2018-11-21,LIN,Menezes Eduardo F,,0001707925-18-000038,2018-11-16,F,424.3,165.47,59449.692,D,,,,,,
1707925,2018-11-26,LIN,Bruch Christian,,0001707925-18-000039,2018-11-23,P,693.0,156.49,8458.0,D,,,,,,
1707925,2018-11-30,LIN,Menezes Eduardo F,,0001707925-18-000040,2018-11-29,S,6335.0,156.0,53114.692,D,,,,,,
1707925,2018-12-03,LIN,Menezes Eduardo F,,0001707925-18-000041,2018-11-29,S,3852.387,148.019,0.0,I,,,,,,
1707925,2018-12-21,LIN,WOOD ROBERT L,,0001707925-18-000042,2018-12-19,S,1800.0,158.0349,13843.928,D,,,,,,
1707925,2019-02-05,LIN,White Matthew J,,0001707925-19-000001,2019-02-01,M,20290.0,60.92,36901.0,D,,,,,,
1707925,2019-02-05,LIN,White Matthew J,,0001707925-19-000001,2019-02-01,F,12541.0,165.0,24360.0,D,,,,,,
1707925,2019-02-05,LIN,White Matthew J,,0001707925-19-000001,2019-02-01,S,7749.0,164.99,16611.0,D,,,,,,
1707925,2019-02-27,LIN,Roby Anne K,,0001707925-19-000005,2019-02-25,F,1627.0,173.5,26875.522,D,,,,,,
1707925,2019-02-27,LIN,White Matthew J,,0001707925-19-000006,2019-02-25,M,6054.0,0.0,22665.0,D,,,,,,
1707925,2019-02-27,LIN,White Matthew J,,0001707925-19-000006,2019-02-25,S,2421.0,174.97,24889.0,D,,,,,,
1707925,2019-02-27,LIN,Roby Anne K,,0001707925-19-000005,2019-02-25,M,3510.0,0.0,28502.522,D,,,,,,
1707925,2019-02-27,LIN,Hoyt Kelcey E,,0001707925-19-000003,2019-02-25,M,666.0,0.0,2513.107,D,,,,,,
1707925,2019-02-27,LIN,Menezes Eduardo F,,0001707925-19-000004,2019-02-25,M,6330.0,0.0,59449.67,D,,,,,,
1707925,2019-02-27,LIN,Menezes Eduardo F,,0001707925-19-000004,2019-02-25,F,2934.0,173.5,56515.67,D,,,,,,
1707925,2019-02-27,LIN,Hoyt Kelcey E,,0001707925-19-000003,2019-02-25,F,209.0,173.5,2304.107,D,,,,,,
1707925,2019-02-27,LIN,White Matthew J,,0001707925-19-000006,2019-02-25,F,2806.0,173.5,19859.0,D,,,,,,
1707925,2019-03-22,LIN,Roby Anne K,,0001707925-19-000024,2019-03-20,M,13195.0,97.84,41995.522,D,,,,,,
1707925,2019-03-22,LIN,Roby Anne K,,0001707925-19-000024,2019-03-20,F,10036.0,176.77,31959.502,D,,,,,,
1707925,2019-03-22,LIN,Roby Anne K,,0001707925-19-000024,2019-03-20,S,3159.0,176.77,28800.522,D,,,,,,
1707925,2019-03-27,LIN,Enders Thomas,,0001707925-19-000028,2019-03-22,P,6600.0,172.16,6600.0,D,,,,,,
1707925,2019-04-08,LIN,White Matthew J,,0001707925-19-000032,2019-04-05,F,11095.0,185.01,26931.0,D,,,,,,
1707925,2019-04-08,LIN,White Matthew J,,0001707925-19-000032,2019-04-05,S,1000.0,184.99,25931.0,D,,,,,,
1707925,2019-04-08,LIN,White Matthew J,,0001707925-19-000032,2019-04-05,M,14845.0,97.84,38026.0,D,,,,,,
1707925,2019-04-10,LIN,ANGEL STEPHEN F,,0001707925-19-000033,2019-04-08,M,218175.0,97.84,389258.0,D,,,,,,
1707925,2019-04-10,LIN,ANGEL STEPHEN F,,0001707925-19-000033,2019-04-08,F,163181.0,184.62,226077.0,D,,,,,,
1707925,2019-04-10,LIN,ANGEL STEPHEN F,,0001707925-19-000033,2019-04-08,S,54994.0,184.46,171083.0,D,,,,,,
1707925,2019-05-17,LIN,Lamba Sanjiv,,0001707925-19-000042,2019-05-15,P,1900.0,179.21,25579.0,D,,,,,,
1707925,2019-05-17,LIN,Eulitz Bernd Hugo,,0001707925-19-000041,2019-05-15,P,1496.0,179.21,10542.0,D,,,,,,
1707925,2019-05-17,LIN,Bruch Christian,,0001707925-19-000040,2019-05-15,P,1474.0,179.21,9932.0,D,,,,,,
1707925,2019-05-21,LIN,Menezes Eduardo F,,0001707925-19-000043,2019-05-17,S,19056.0,188.23,40927.67,D,,,,,,
1707925,2019-06-04,LIN,Bruch Christian,,0001707925-19-000045,2019-06-04,M,106.0,0.0,10038.0,D,,,,,,
1707925,2019-06-04,LIN,Bruch Christian,,0001707925-19-000045,2019-06-04,F,55.0,180.55,9983.0,D,,,,,,
1707925,2019-06-04,LIN,Lamba Sanjiv,,0001707925-19-000047,2019-06-04,M,142.0,0.0,25721.0,D,,,,,,
1707925,2019-06-04,LIN,Eulitz Bernd Hugo,,0001707925-19-000046,2019-06-04,M,106.0,0.0,10648.0,D,,,,,,
1707925,2019-06-04,LIN,Eulitz Bernd Hugo,,0001707925-19-000046,2019-06-04,F,55.0,180.55,10593.0,D,,,,,,
1707925,2019-06-10,LIN,ANGEL STEPHEN F,,0001707925-19-000048,2019-06-06,S,56574.0,197.27,194952.0,D,,,,,,
1707925,2019-06-10,LIN,ANGEL STEPHEN F,,0001707925-19-000048,2019-06-06,M,236510.0,109.68,431462.0,D,,,,,,
1707925,2019-06-10,LIN,ANGEL STEPHEN F,,0001707925-19-000048,2019-06-06,F,179936.0,198.0,251526.0,D,,,,,,
1707925,2019-08-16,LIN,Eulitz Bernd Hugo,,0001707925-19-000061,2019-08-15,M,646.0,1.92,11239.0,D,,,,,,
1707925,2019-08-16,LIN,Eulitz Bernd Hugo,,0001707925-19-000061,2019-08-15,S,335.0,186.43,10904.0,D,,,,,,
1707925,2019-11-19,LIN,Roby Anne K,,0001707925-19-000078,2019-11-18,S,1583.0,209.7059,27217.522,D,,,,,,
1707925,2019-11-20,LIN,Roby Anne K,,0001707925-19-000079,2019-11-19,M,9215.0,109.68,36432.522,D,,,,,,
1707925,2019-11-20,LIN,Roby Anne K,,0001707925-19-000079,2019-11-19,F,6860.0,209.49,29572.522,D,,,,,,
1707925,2019-11-20,LIN,Roby Anne K,,0001707925-19-000079,2019-11-19,S,2355.0,209.511,27217.522,D,,,,,,
1707925,2019-12-23,LIN,Roby Anne K,,0001707925-19-000082,2019-12-20,M,9215.0,109.68,36432.522,D,,,,,,
1707925,2019-12-23,LIN,Roby Anne K,,0001707925-19-000082,2019-12-20,F,6813.0,213.35,29619.522,D,,,,,,
1707925,2019-12-23,LIN,Roby Anne K,,0001707925-19-000082,2019-12-20,S,2402.0,212.17,27217.522,D,,,,,,
1707925,2020-02-20,LIN,Menezes Eduardo F,,0001707925-20-000003,2020-02-18,M,35220.0,110.58,76164.499,D,,,,,,
1707925,2020-02-20,LIN,White Matthew J,,0001707925-20-000002,2020-02-18,M,31090.0,128.8,54271.0,D,,,,,,
1707925,2020-02-20,LIN,White Matthew J,,0001707925-20-000002,2020-02-18,F,23336.0,224.07,30935.0,D,,,,,,
1707925,2020-02-20,LIN,Menezes Eduardo F,,0001707925-20-000003,2020-02-18,F,25649.0,224.06,50515.499,D,,,,,,
1707925,2020-02-20,LIN,White Matthew J,,0001707925-20-000002,2020-02-18,S,7754.0,223.99,23181.0,D,,,,,,
1707925,2020-03-02,LIN,Reitzle Wolfgang,,0001707925-20-000024,2020-02-27,M,1802.477,0.0,17879.477,D,,,,,,
1707925,2020-03-02,LIN,Reitzle Wolfgang,,0001707925-20-000024,2020-02-27,F,387.0,203.41,17492.477,D,,,,,,
1707925,2020-03-02,LIN,Ossadnik Victoria,,0001707925-20-000023,2020-02-27,M,772.927,0.0,772.927,D,,,,,,
1707925,2020-03-02,LIN,McVay Larry D,,0001707925-20-000022,2020-02-27,M,772.927,0.0,12026.786,D,,,,,,
1707925,2020-03-02,LIN,McVay Larry D,,0001707925-20-000022,2020-02-27,F,54.0,203.41,11972.786,D,,,,,,
1707925,2020-03-02,LIN,GALANTE EDWARD G,,0001707925-20-000021,2020-02-27,M,772.927,0.0,14001.927,D,,,,,,
1707925,2020-03-02,LIN,WOOD ROBERT L,,0001707925-20-000026,2020-02-27,M,772.927,0.0,14616.855,D,,,,,,
1707925,2020-03-02,LIN,WOOD ROBERT L,,0001707925-20-000026,2020-02-27,F,58.0,203.41,14558.855,D,,,,,,
1707925,2020-03-02,LIN,RICHENHAGEN MARTIN,,0001707925-20-000025,2020-02-27,M,772.927,0.0,4886.468,D,,,,,,
1707925,2020-03-02,LIN,RICHENHAGEN MARTIN,,0001707925-20-000025,2020-02-27,F,54.0,203.41,4832.468,D,,,,,,
1707925,2020-03-02,LIN,DICCIANI NANCE K,,0001707925-20-000018,2020-02-27,F,62.0,203.41,18497.188,D,,,,,,
1707925,2020-03-02,LIN,BOERSIG CLEMENS A H,,0001707925-20-000017,2020-02-27,M,772.927,0.0,1751.927,D,,,,,,
1707925,2020-03-02,LIN,BOERSIG CLEMENS A H,,0001707925-20-000017,2020-02-27,F,56.0,203.41,1695.927,D,,,,,,
1707925,2020-03-02,LIN,Achleitner Ann-Kristin,,0001707925-20-000016,2020-02-27,M,772.927,0.0,1751.927,D,,,,,,
1707925,2020-03-02,LIN,GALANTE EDWARD G,,0001707925-20-000021,2020-02-27,F,58.0,203.41,13943.927,D,,,,,,
1707925,2020-03-02,LIN,Fehrenbach Franz,,0001707925-20-000020,2020-02-27,M,772.927,0.0,1751.927,D,,,,,,
1707925,2020-03-02,LIN,Fehrenbach Franz,,0001707925-20-000020,2020-02-27,F,39.0,203.41,1712.927,D,,,,,,
1707925,2020-03-02,LIN,Enders Thomas,,0001707925-20-000019,2020-02-27,M,772.927,0.0,7372.927,D,,,,,,
1707925,2020-03-02,LIN,Enders Thomas,,0001707925-20-000019,2020-02-27,F,195.0,203.41,7177.927,D,,,,,,
1707925,2020-03-02,LIN,DICCIANI NANCE K,,0001707925-20-000018,2020-02-27,M,772.927,0.0,18559.188,D,,,,,,
1707925,2020-03-03,LIN,White Matthew J,,0001707925-20-000030,2020-03-02,M,7960.0,0.0,31141.0,D,,,,,,
1707925,2020-03-03,LIN,Roby Anne K,,0001707925-20-000029,2020-03-02,M,4328.0,0.0,31545.522,D,,,,,,
1707925,2020-03-03,LIN,Roby Anne K,,0001707925-20-000029,2020-03-02,F,1841.0,191.01,29704.522,D,,,,,,
1707925,2020-03-03,LIN,White Matthew J,,0001707925-20-000030,2020-03-02,F,3689.0,191.01,27452.0,D,,,,,,
1707925,2020-03-03,LIN,Hoyt Kelcey E,,0001707925-20-000027,2020-03-02,F,362.0,191.01,3562.107,D,,,,,,
1707925,2020-03-03,LIN,Menezes Eduardo F,,0001707925-20-000028,2020-03-02,M,7808.0,0.0,70752.499,D,,,,,,
1707925,2020-03-03,LIN,Hoyt Kelcey E,,0001707925-20-000027,2020-03-02,M,1152.0,0.0,3924.107,D,,,,,,
1707925,2020-03-03,LIN,Menezes Eduardo F,,0001707925-20-000028,2020-03-02,F,3435.0,191.01,67317.499,D,,,,,,
1707925,2020-03-09,LIN,ANGEL STEPHEN F,,0001707925-20-000031,2020-03-09,P,3000.0,175.927,197952.0,D,,,,,,
1707925,2020-03-12,LIN,ANGEL STEPHEN F,,0001707925-20-000040,2020-03-12,P,2000.0,162.4,199952.0,D,,,,,,
1707925,2020-03-13,LIN,Bruch Christian,,0001707925-20-000041,2020-03-12,M,646.0,1.92,10629.0,D,,,,,,
1707925,2020-03-13,LIN,Bruch Christian,,0001707925-20-000041,2020-03-12,S,336.0,162.99,10293.0,D,,,,,,
1707925,2020-03-17,LIN,ANGEL STEPHEN F,,0001707925-20-000043,2020-03-16,P,2000.0,152.47,201952.0,D,,,,,,
1707925,2020-03-17,LIN,Fehrenbach Franz,,0001707925-20-000042,2020-03-17,P,1400.0,158.72,3112.927,D,,,,,,
1707925,2020-03-19,LIN,Enders Thomas,,0001707925-20-000044,2020-03-13,P,3400.0,160.31,10577.927,D,,,,,,
1707925,2020-05-19,LIN,Lamba Sanjiv,,0001707925-20-000048,2020-05-18,M,862.0,1.92,26583.0,D,,,,,,
1707925,2020-05-19,LIN,Lamba Sanjiv,,0001707925-20-000048,2020-05-18,S,862.0,191.965,25721.0,D,,,,,,
1707925,2020-06-04,LIN,Roby Anne K,,0001707925-20-000052,2020-06-03,M,9405.0,102.22,40697.522,D,,,,,,
1707925,2020-06-04,LIN,Roby Anne K,,0001707925-20-000052,2020-06-03,F,6792.0,212.02,33905.522,D,,,,,,
1707925,2020-06-04,LIN,Roby Anne K,,0001707925-20-000052,2020-06-03,S,6671.0,211.97,31292.522,D,,,,,,
1707925,2020-06-04,LIN,Opfermann Andreas,,0001707925-20-000051,2020-06-02,M,75.0,0.0,85.0,D,,,,,,
1707925,2020-06-04,LIN,Opfermann Andreas,,0001707925-20-000051,2020-06-02,F,39.0,205.22,46.0,D,,,,,,
1707925,2020-06-04,LIN,Nowicki Juergen,,0001707925-20-000050,2020-06-02,M,125.0,0.0,1125.0,D,,,,,,
1707925,2020-06-04,LIN,Nowicki Juergen,,0001707925-20-000050,2020-06-02,F,64.0,205.22,1061.0,D,,,,,,
1707925,2020-06-04,LIN,Lamba Sanjiv,,0001707925-20-000049,2020-06-02,M,502.0,0.0,26223.0,D,,,,,,
1707925,2020-08-05,LIN,ANGEL STEPHEN F,,0001707925-20-000055,2020-08-03,M,187015.0,110.58,388967.0,D,,,,,,
1707925,2020-08-05,LIN,ANGEL STEPHEN F,,0001707925-20-000055,2020-08-03,F,131080.0,246.46,257887.0,D,,,,,,
