cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1065696,2016-01-12,LKQ,Zarcone Dominick P,isOfficer,0001214659-16-008844,2016-01-08,A,42228.0,0.0,228491.0,D,,,,,,
1065696,2016-01-12,LKQ,CASINI VICTOR M,isOfficer,0001214659-16-008843,2016-01-08,A,29338.0,0.0,190612.0,D,,,,,,
1065696,2016-01-12,LKQ,Jude Justin L,isOfficer,0001214659-16-008842,2016-01-08,A,14386.0,0.0,54660.0,D,,,,,,
1065696,2016-01-12,LKQ,Greenspan Steven,isOfficer,0001214659-16-008841,2016-01-08,A,13458.0,0.0,75770.0,D,,,,,,
1065696,2016-01-12,LKQ,ALBERICO ROBERT A,isOfficer,0001214659-16-008840,2016-01-08,A,6239.0,0.0,21181.0,D,,,,,,
1065696,2016-01-12,LKQ,HOLSTEN JOSEPH M,isDirector,0001214659-16-008839,2016-01-08,A,5381.0,0.0,278110.0,D,,,,,,
1065696,2016-01-12,LKQ,Clark Michael S.,isOfficer,0001214659-16-008838,2016-01-08,A,9849.0,0.0,56125.0,D,,,,,,
1065696,2016-01-12,LKQ,Hanley Walter P,isOfficer,0001214659-16-008837,2016-01-08,A,38464.0,0.0,188589.0,D,,,,,,
1065696,2016-01-12,LKQ,Wagman Robert L,"isDirector,isOfficer",0001214659-16-008836,2016-01-08,A,60223.0,0.0,439805.0,D,,,,,,
1065696,2016-01-12,LKQ,Quinn John S,isOfficer,0001214659-16-008835,2016-01-08,A,42228.0,0.0,297194.0,D,,,,,,
1065696,2016-01-15,LKQ,HOLSTEN JOSEPH M,isDirector,0001214659-16-008908,2016-01-14,S,9587.0,25.7908,266155.0,D,,,,,,
1065696,2016-01-15,LKQ,ALBERICO ROBERT A,isOfficer,0001214659-16-008907,2016-01-14,S,517.0,25.6685,20664.0,D,,,,,,
1065696,2016-01-15,LKQ,HOLSTEN JOSEPH M,isDirector,0001214659-16-008908,2016-01-13,S,2368.0,25.95,275742.0,D,,,,,,
1065696,2016-01-19,LKQ,Hanley Walter P,isOfficer,0001214659-16-008925,2016-01-14,F,10293.0,25.6725,178296.0,D,,,,,,
1065696,2016-01-19,LKQ,Greenspan Steven,isOfficer,0001214659-16-008924,2016-01-14,F,3213.0,25.6725,72557.0,D,,,,,,
1065696,2016-01-19,LKQ,CASINI VICTOR M,isOfficer,0001214659-16-008923,2016-01-14,F,9868.0,25.6725,180744.0,D,,,,,,
1065696,2016-01-19,LKQ,CASINI VICTOR M,isOfficer,0001214659-16-008923,2016-01-15,S,8000.0,25.67,239766.0,I,,,,,,
1065696,2016-01-19,LKQ,Quinn John S,isOfficer,0001214659-16-008922,2016-01-14,F,9271.0,25.6725,287923.0,D,,,,,,
1065696,2016-01-19,LKQ,Clark Michael S.,isOfficer,0001214659-16-008921,2016-01-14,F,2.156,25.6725,53969.0,D,,,,,,
1065696,2016-01-19,LKQ,Wagman Robert L,"isDirector,isOfficer",0001214659-16-008920,2016-01-14,F,22317.0,25.6725,417488.0,D,,,,,,
1065696,2016-01-19,LKQ,Jude Justin L,isOfficer,0001214659-16-008919,2016-01-14,F,1458.0,25.6725,53202.0,D,,,,,,
1065696,2016-01-22,LKQ,Jude Justin L,isOfficer,0001214659-16-008995,2016-01-20,F,257.0,25.66,52945.0,D,,,,,,
1065696,2016-02-17,LKQ,CASINI VICTOR M,isOfficer,0001214659-16-009659,2016-02-16,S,8000.0,25.56,231766.0,I,,,,,,
1065696,2016-03-01,LKQ,Greenspan Steven,isOfficer,0001214659-16-009963,2016-02-26,F,1948.0,27.78,70609.0,D,,,,,,
1065696,2016-03-01,LKQ,ALBERICO ROBERT A,isOfficer,0001214659-16-009960,2016-02-26,S,1070.0,27.486,19594.0,D,,,,,,
1065696,2016-03-01,LKQ,Clark Michael S.,isOfficer,0001214659-16-009962,2016-02-26,F,952.0,27.78,53017.0,D,,,,,,
1065696,2016-03-01,LKQ,Wagman Robert L,"isDirector,isOfficer",0001214659-16-009959,2016-02-26,F,9665.0,27.78,407823.0,D,,,,,,
1065696,2016-03-01,LKQ,CASINI VICTOR M,isOfficer,0001214659-16-009957,2016-02-26,F,4893.0,27.78,175851.0,D,,,,,,
1065696,2016-03-01,LKQ,Quinn John S,isOfficer,0001214659-16-009958,2016-02-26,F,5195.0,27.78,282728.0,D,,,,,,
1065696,2016-03-01,LKQ,Hanley Walter P,isOfficer,0001214659-16-009961,2016-02-26,F,5077.0,27.78,173219.0,D,,,,,,
1065696,2016-03-09,LKQ,MCGARVIE BLYTHE J,isDirector,0001214659-16-010172,2016-03-07,P,3000.0,30.313,19808.0,D,,,,,,
1065696,2016-03-09,LKQ,ALLEN A CLINTON,isDirector,0001214659-16-010171,2015-07-09,G,450.0,0.0,199124.0,D,,,,,,
1065696,2016-03-09,LKQ,ALLEN A CLINTON,isDirector,0001214659-16-010171,2015-08-11,G,450.0,0.0,198674.0,D,,,,,,
1065696,2016-03-09,LKQ,ALLEN A CLINTON,isDirector,0001214659-16-010171,2015-12-15,G,1500.0,0.0,197174.0,D,,,,,,
1065696,2016-03-09,LKQ,ALLEN A CLINTON,isDirector,0001214659-16-010171,2015-12-18,G,875.0,0.0,196299.0,D,,,,,,
1065696,2016-03-09,LKQ,ALLEN A CLINTON,isDirector,0001214659-16-010171,2016-03-07,P,3000.0,30.087,199299.0,D,,,,,,
1065696,2016-03-09,LKQ,WEBSTER WILLIAM M IV,isDirector,0001214659-16-010170,2016-03-07,P,2500.0,30.3367,397150.0,D,,,,,,
1065696,2016-03-11,LKQ,OBRIEN JOHN F,isDirector,0001214659-16-010250,2016-03-09,P,1000.0,30.4,121592.0,D,,,,,,
1065696,2016-03-17,LKQ,CASINI VICTOR M,isOfficer,0001214659-16-010359,2016-03-15,S,8000.0,30.5,223766.0,I,,,,,,
1065696,2016-03-24,LKQ,MEISTER PAUL M,isDirector,0001214659-16-010445,2016-03-24,P,10000.0,30.039,184998.0,D,,,,,,
1065696,2016-04-04,LKQ,HOLSTEN JOSEPH M,isDirector,0001214659-16-010656,2016-03-31,M,16000.0,5.9775,282155.0,D,,,,,,
1065696,2016-04-04,LKQ,HOLSTEN JOSEPH M,isDirector,0001214659-16-010656,2016-03-31,S,16000.0,31.5,266155.0,D,,,,,,
1065696,2016-04-14,LKQ,HOLSTEN JOSEPH M,isDirector,0001214659-16-010884,2016-04-13,M,16000.0,9.9825,282155.0,D,,,,,,
1065696,2016-04-14,LKQ,HOLSTEN JOSEPH M,isDirector,0001214659-16-010884,2016-04-13,S,16000.0,32.5,266155.0,D,,,,,,
1065696,2016-04-28,LKQ,HOLSTEN JOSEPH M,isDirector,0001214659-16-011071,2016-04-26,M,16000.0,9.9825,282155.0,D,,,,,,
