cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
59478,2021-02-03,LLY,Smiley Joshua L,,0000059478-21-000038,2021-02-01,M,19266.0,0.0,60702.0,D,,,,,,
59478,2021-02-03,LLY,Smiley Joshua L,,0000059478-21-000038,2021-02-01,F,8452.0,207.97,52250.0,D,,,,,,
59478,2021-02-03,LLY,Zulueta Alfonso G,,0000059478-21-000036,2021-02-01,M,16754.0,0.0,35400.0,D,,,,,,
59478,2021-02-03,LLY,Zulueta Alfonso G,,0000059478-21-000036,2021-02-01,F,7490.0,207.97,27910.0,D,,,,,,
59478,2021-02-03,LLY,Shah Aarti S.,,0000059478-21-000032,2021-02-01,M,6282.0,0.0,23369.0,D,,,,,,
59478,2021-02-03,LLY,Shah Aarti S.,,0000059478-21-000032,2021-02-01,F,2780.0,207.97,20589.0,D,,,,,,
59478,2021-02-03,LLY,Ricks David A,,0000059478-21-000030,2021-02-01,M,75387.0,0.0,343639.0,D,,,,,,
59478,2021-02-03,LLY,Ricks David A,,0000059478-21-000030,2021-02-01,F,33738.0,207.97,309901.0,D,,,,,,
59478,2021-02-03,LLY,Pusey Leigh Ann,,0000059478-21-000028,2021-02-01,M,6282.0,0.0,10592.0,D,,,,,,
59478,2021-02-03,LLY,Pusey Leigh Ann,,0000059478-21-000028,2021-02-01,F,2854.0,207.97,7738.0,D,,,,,,
59478,2021-02-03,LLY,O'Neill Myles,,0000059478-21-000026,2021-02-01,M,12146.0,0.0,56919.0,D,,,,,,
59478,2021-02-03,LLY,O'Neill Myles,,0000059478-21-000026,2021-02-01,F,5438.0,207.97,51481.0,D,,,,,,
59478,2021-02-03,LLY,Norton Johna,,0000059478-21-000024,2021-02-01,M,3435.0,0.0,20953.0,D,,,,,,
59478,2021-02-03,LLY,Norton Johna,,0000059478-21-000024,2021-02-01,F,1529.0,207.97,19424.0,D,,,,,,
59478,2021-02-03,LLY,Fry Stephen F,,0000059478-21-000022,2021-02-01,M,15078.0,0.0,115289.0,D,,,,,,
59478,2021-02-03,LLY,Fry Stephen F,,0000059478-21-000022,2021-02-01,F,6746.0,207.97,108543.0,D,,,,,,
59478,2021-02-03,LLY,Barnes Melissa S,,0000059478-21-000020,2021-02-01,M,5445.0,0.0,27425.0,D,,,,,,
59478,2021-02-03,LLY,Barnes Melissa S,,0000059478-21-000020,2021-02-01,F,2403.0,207.97,25022.0,D,,,,,,
59478,2021-02-10,LLY,Shah Aarti S.,,0000059478-21-000060,2021-02-08,A,11033.0,205.77,31622.0,D,,,,,,
59478,2021-02-10,LLY,Zakrowski Donald A,,0000059478-21-000070,2021-02-08,A,4247.0,205.77,8987.0,D,,,,,,
59478,2021-02-10,LLY,Yuffa Ilya,,0000059478-21-000068,2021-02-08,A,3536.0,205.77,10349.0,D,,,,,,
59478,2021-02-10,LLY,Ricks David A,,0000059478-21-000058,2021-02-08,A,130343.0,205.77,440244.0,D,,,,,,
59478,2021-02-10,LLY,Smiley Joshua L,,0000059478-21-000064,2021-02-08,A,25409.0,205.77,77659.0,D,,,,,,
59478,2021-02-10,LLY,White Anne E.,,0000059478-21-000066,2021-02-08,A,4718.0,205.77,33840.0,D,,,,,,
59478,2021-02-10,LLY,Skovronsky Daniel,,0000059478-21-000062,2021-02-08,A,18521.0,205.77,115680.0,D,,,,,,
59478,2021-02-10,LLY,Zulueta Alfonso G,,0000059478-21-000072,2021-02-08,A,29037.0,205.77,56947.0,D,,,,,,
59478,2021-02-10,LLY,O'Neill Myles,,0000059478-21-000054,2021-02-08,A,21052.0,205.77,72533.0,D,,,,,,
59478,2021-02-10,LLY,Mason Michael B,,0000059478-21-000050,2021-02-08,A,6350.0,205.77,24894.0,D,,,,,,
59478,2021-02-10,LLY,Norton Johna,,0000059478-21-000052,2021-02-08,A,6040.0,205.77,25464.0,D,,,,,,
59478,2021-02-10,LLY,Fry Stephen F,,0000059478-21-000046,2021-02-08,A,26133.0,205.77,134676.0,D,,,,,,
59478,2021-02-10,LLY,Jonsson Patrik,,0000059478-21-000048,2021-02-08,A,5595.0,205.77,30674.0,D,,,,,,
59478,2021-02-10,LLY,Pusey Leigh Ann,,0000059478-21-000056,2021-02-08,A,10791.0,205.77,18529.0,D,,,,,,
59478,2021-02-10,LLY,Ashkenazi Anat,,0000059478-21-000042,2021-02-08,A,7975.0,205.77,25675.0,D,,,,,,
59478,2021-02-10,LLY,Barnes Melissa S,,0000059478-21-000044,2021-02-08,A,9594.0,205.77,34616.0,D,,,,,,
59478,2021-02-18,LLY,TAI JACKSON P,,0000059478-21-000088,2021-02-16,A,10.0,205.76,59750.0,D,,,,,,
59478,2021-02-18,LLY,Alvarez Ralph,,0000059478-21-000086,2021-02-16,A,53.0,207.76,49198.0,D,,,,,,
59478,2021-03-03,LLY,Hakim Anat,,0000059478-21-000094,2021-03-01,M,7928.0,0.0,7928.0,D,,,,,,
59478,2021-03-03,LLY,Hakim Anat,,0000059478-21-000094,2021-03-01,F,3493.0,204.89,4435.0,D,,,,,,
59478,2021-03-09,LLY,LILLY ENDOWMENT INC,,0001209191-21-018870,2021-03-08,S,64410.0,209.29,110422933.0,D,,,,,,
59478,2021-03-10,LLY,LILLY ENDOWMENT INC,,0001209191-21-019413,2021-03-09,S,33243.0,209.122,110328816.0,D,,,,,,
59478,2021-03-17,LLY,Alvarez Ralph,,0000059478-21-000100,2021-03-15,A,58.0,189.16,49459.0,D,,,,,,
59478,2021-03-17,LLY,TAI JACKSON P,,0000059478-21-000098,2021-03-15,A,10.0,189.16,59819.0,D,,,,,,
59478,2021-03-17,LLY,JOHNSON KIMBERLY H,,0000059478-21-000096,2021-03-15,A,51.0,189.16,51.0,D,,,,,,
59478,2021-04-21,LLY,TAI JACKSON P,,0000059478-21-000115,2021-04-19,A,10.0,189.64,59829.0,D,,,,,,
59478,2021-04-21,LLY,JOHNSON KIMBERLY H,,0000059478-21-000113,2021-04-19,A,51.0,189.64,102.0,D,,,,,,
59478,2021-04-21,LLY,Alvarez Ralph,,0000059478-21-000111,2021-04-19,A,58.0,189.64,49517.0,D,,,,,,
59478,2021-04-29,LLY,Zakrowski Donald A,,0000059478-21-000120,2021-04-28,S,3000.0,181.38,5987.0,D,,,,,,
59478,2021-05-03,LLY,TAI JACKSON P,,0000059478-21-000124,2021-04-30,P,820.0,182.74,60649.0,D,,,,,,
59478,2021-05-19,LLY,TAI JACKSON P,,0000059478-21-000137,2021-05-17,A,10.0,195.53,61205.0,D,,,,,,
59478,2021-05-19,LLY,JOHNSON KIMBERLY H,,0000059478-21-000135,2021-05-17,A,49.0,195.53,151.0,D,,,,,,
59478,2021-05-19,LLY,Alvarez Ralph,,0000059478-21-000133,2021-05-17,A,56.0,195.53,49573.0,D,,,,,,
59478,2021-05-21,LLY,LILLY ENDOWMENT INC,,0001209191-21-034809,2021-05-20,S,97731.0,200.464,110204369.0,D,,,,,,
