cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
59558,2017-11-13,LNC,Solon Kenneth S.,isOfficer,0001214659-17-006633,2017-11-10,F,155.0,73.49,19583.79,D,,,,,,
59558,2017-11-13,LNC,Freitag Randal J,isOfficer,0001214659-17-006632,2017-11-10,F,988.0,73.49,129688.93,D,,,,,,
59558,2017-11-13,LNC,Fuller Wilford H.,isOfficer,0001214659-17-006631,2017-11-10,F,336.0,73.49,209246.81,D,,,,,,
59558,2017-11-13,LNC,Buckingham Lisa,isOfficer,0001214659-17-006630,2017-11-10,F,214.0,73.49,54526.38,D,,,,,,
59558,2018-02-06,LNC,Freitag Randal J,isOfficer,0001214659-18-000968,2018-02-02,M,6478.0,25.78,136295.11,D,,,,,,
59558,2018-02-06,LNC,Freitag Randal J,isOfficer,0001214659-18-000968,2018-02-02,S,31657.0,84.3196,129817.11,D,,,,,,
59558,2018-02-06,LNC,Freitag Randal J,isOfficer,0001214659-18-000968,2018-02-05,M,229.0,,130046.11,D,,,,,,
59558,2018-02-06,LNC,Buckingham Lisa,isOfficer,0001214659-18-000967,2018-02-02,M,9462.0,29.54,64078.07,D,,,,,,
59558,2018-02-06,LNC,Buckingham Lisa,isOfficer,0001214659-18-000967,2018-02-02,S,9462.0,84.514,54616.07,D,,,,,,
59558,2018-02-06,LNC,GLASS DENNIS R,"isDirector,isOfficer",0001214659-18-000966,2018-02-02,S,27741.0,85.0126,718032.42,D,,,,,,
59558,2018-02-06,LNC,Cooper Ellen,isOfficer,0001214659-18-000965,2018-02-02,M,1300.0,22.7,78970.81,D,,,,,,
59558,2018-02-06,LNC,Cooper Ellen,isOfficer,0001214659-18-000965,2018-02-02,S,7300.0,85.0093,71670.81,D,,,,,,
59558,2018-02-23,LNC,Fuller Wilford H.,isOfficer,0001214659-18-001514,2018-02-21,A,15666.0,0.0,225029.4,D,,,,,,
59558,2018-02-23,LNC,Solon Kenneth S.,isOfficer,0001214659-18-001517,2018-02-21,F,1468.0,78.32,22353.08,D,,,,,,
59558,2018-02-23,LNC,GLASS DENNIS R,"isDirector,isOfficer",0001214659-18-001520,2018-02-21,A,64193.0,0.0,707599.42,D,,,,,,
59558,2018-02-23,LNC,Janofsky Christine A,isOfficer,0001214659-18-001516,2018-02-21,A,1379.0,0.0,7364.25,D,,,,,,
59558,2018-02-23,LNC,Solon Kenneth S.,isOfficer,0001214659-18-001517,2018-02-21,A,4200.0,0.0,23821.08,D,,,,,,
59558,2018-02-23,LNC,Freitag Randal J,isOfficer,0001214659-18-001513,2018-02-21,A,18021.0,0.0,148067.11,D,,,,,,
59558,2018-02-23,LNC,Solon Kenneth S.,isOfficer,0001214659-18-001517,2018-02-22,S,1875.0,78.53,23831.08,D,,,,,,
59558,2018-02-23,LNC,Hicks Kirkland L,isOfficer,0001214659-18-001515,2018-02-21,A,3455.0,0.0,42102.28,D,,,,,,
59558,2018-02-23,LNC,GLASS DENNIS R,"isDirector,isOfficer",0001214659-18-001520,2018-02-21,F,25357.0,78.32,682242.42,D,,,,,,
59558,2018-02-23,LNC,Buckingham Lisa,isOfficer,0001214659-18-001510,2018-02-22,F,452.0,77.03,66605.6,D,,,,,,
59558,2018-02-23,LNC,Freitag Randal J,isOfficer,0001214659-18-001513,2018-02-22,S,1875.0,78.481,146882.11,D,,,,,,
59558,2018-02-23,LNC,Cooper Ellen,isOfficer,0001214659-18-001512,2018-02-21,F,2851.0,78.32,79199.81,D,,,,,,
59558,2018-02-23,LNC,Fuller Wilford H.,isOfficer,0001214659-18-001514,2018-02-21,F,4749.0,78.32,220280.4,D,,,,,,
59558,2018-02-23,LNC,Chakraborty Raj,isOfficer,0001214659-18-001511,2018-02-21,A,3250.0,0.0,29750.57,D,,,,,,
59558,2018-02-23,LNC,Cooper Ellen,isOfficer,0001214659-18-001512,2018-02-21,A,10380.0,0.0,82050.81,D,,,,,,
59558,2018-02-23,LNC,Buckingham Lisa,isOfficer,0001214659-18-001510,2018-02-21,F,4013.0,78.32,62209.07,D,,,,,,
59558,2018-02-23,LNC,Cooper Ellen,isOfficer,0001214659-18-001512,2018-02-22,F,260.0,77.03,85252.22,D,,,,,,
59558,2018-02-23,LNC,Freitag Randal J,isOfficer,0001214659-18-001513,2018-02-21,F,7656.0,78.32,140411.11,D,,,,,,
59558,2018-02-23,LNC,Buckingham Lisa,isOfficer,0001214659-18-001510,2018-02-21,A,11606.0,0.0,66222.07,D,,,,,,
59558,2018-02-27,LNC,Buckingham Lisa,isOfficer,0001214659-18-001624,2018-02-23,F,2466.0,78.02,64139.23,D,,,,,,
59558,2018-02-27,LNC,GLASS DENNIS R,"isDirector,isOfficer",0001214659-18-001621,2018-02-23,F,28250.0,78.02,712830.43,D,,,,,,
59558,2018-02-27,LNC,Cooper Ellen,isOfficer,0001214659-18-001626,2018-02-23,F,2142.0,78.02,83109.95,D,,,,,,
59558,2018-02-27,LNC,Freitag Randal J,isOfficer,0001214659-18-001622,2018-02-23,F,3463.0,78.02,143419.01,D,,,,,,
59558,2018-02-27,LNC,Janofsky Christine A,isOfficer,0001214659-18-001627,2018-02-23,F,474.0,78.02,6889.82,D,,,,,,
59558,2018-02-27,LNC,Fuller Wilford H.,isOfficer,0001214659-18-001625,2018-02-23,F,2804.0,78.02,225116.24,D,,,,,,
59558,2018-02-27,LNC,Solon Kenneth S.,isOfficer,0001214659-18-001623,2018-02-23,F,649.0,78.02,23181.78,D,,,,,,
59558,2018-03-13,LNC,Buckingham Lisa,isOfficer,0001214659-18-002078,2018-03-12,M,12996.0,29.54,77135.23,D,,,,,,
59558,2018-03-13,LNC,Buckingham Lisa,isOfficer,0001214659-18-002078,2018-03-12,S,24537.0,78.3906,52598.23,D,,,,,,
59558,2018-05-03,LNC,Fuller Wilford H.,isOfficer,0001214659-18-003294,2018-05-01,F,528.0,70.2,224730.12,D,,,,,,
59558,2018-05-22,LNC,Connelly Deirdre P,isDirector,0001214659-18-003948,2018-05-04,P,1000.0,67.0859,1000.0,D,,,,,,
59558,2018-11-13,LNC,Ohl Jamie,isOfficer,0001214659-18-007065,2018-11-09,F,3314.0,65.08,14331.82,D,,,,,,
59558,2018-11-28,LNC,Solon Kenneth S.,isOfficer,0001214659-18-007324,2018-11-26,F,187.0,62.46,23267.73,D,,,,,,
59558,2018-11-28,LNC,Fuller Wilford H.,isOfficer,0001214659-18-007323,2018-11-26,F,445.0,62.46,224598.67,D,,,,,,
59558,2018-11-28,LNC,Freitag Randal J,isOfficer,0001214659-18-007322,2018-11-26,F,488.0,62.46,143431.2,D,,,,,,
59558,2018-11-28,LNC,Buckingham Lisa,isOfficer,0001214659-18-007321,2018-11-26,F,284.0,62.46,52636.81,D,,,,,,
59558,2018-12-07,LNC,Ohl Jamie,isOfficer,0001214659-18-007554,2018-12-06,S,1600.0,58.003,12731.82,D,,,,,,
59558,2018-12-18,LNC,Roday Leon E,isOfficer,0001214659-18-007723,2018-12-14,A,9964.0,0.0,9964.0,D,,,,,,
59558,2019-02-14,LNC,GLASS DENNIS R,"isDirector,isOfficer",0001214659-19-001151,2019-02-12,S,10000.0,60.4857,706129.91,D,,,,,,
59558,2019-02-26,LNC,GLASS DENNIS R,"isDirector,isOfficer",0001214659-19-001517,2019-02-24,F,48337.0,62.81,657791.68,D,,,,,,
59558,2019-02-26,LNC,Freitag Randal J,isOfficer,0001214659-19-001516,2019-02-24,F,6513.0,62.81,137126.74,D,,,,,,
59558,2019-02-26,LNC,Solon Kenneth S.,isOfficer,0001214659-19-001515,2019-02-24,F,1648.0,62.81,21688.33,D,,,,,,
59558,2019-02-26,LNC,Ohl Jamie,isOfficer,0001214659-19-001514,2019-02-24,F,1948.0,62.81,10311.29,D,,,,,,
59558,2019-02-26,LNC,Mucci Richard L.,isOfficer,0001214659-19-001513,2019-02-24,F,2249.0,62.81,25531.63,D,,,,,,
59558,2019-02-26,LNC,Janofsky Christine A,isOfficer,0001214659-19-001512,2019-02-24,F,709.0,62.81,6285.29,D,,,,,,
59558,2019-02-26,LNC,Fuller Wilford H.,isOfficer,0001214659-19-001511,2019-02-24,F,6074.0,62.81,217682.0,D,,,,,,
59558,2019-02-26,LNC,Cooper Ellen,isOfficer,0001214659-19-001510,2019-02-22,F,411.0,62.81,83241.84,D,,,,,,
59558,2019-02-26,LNC,Cooper Ellen,isOfficer,0001214659-19-001510,2019-02-24,F,4649.0,62.81,78592.42,D,,,,,,
59558,2019-02-26,LNC,Buckingham Lisa,isOfficer,0001214659-19-001509,2019-02-22,F,462.0,62.81,52309.53,D,,,,,,
59558,2019-02-26,LNC,Buckingham Lisa,isOfficer,0001214659-19-001509,2019-02-24,F,3797.0,62.81,48511.43,D,,,,,,
59558,2019-03-01,LNC,Ohl Jamie,isOfficer,0001214659-19-001696,2019-02-27,A,11940.0,0.0,22251.29,D,,,,,,
59558,2019-03-01,LNC,Ohl Jamie,isOfficer,0001214659-19-001696,2019-02-27,F,5193.0,63.01,17058.29,D,,,,,,
59558,2019-03-01,LNC,Mucci Richard L.,isOfficer,0001214659-19-001695,2019-02-27,A,14926.0,0.0,40457.63,D,,,,,,
59558,2019-03-01,LNC,Mucci Richard L.,isOfficer,0001214659-19-001695,2019-02-27,F,6629.0,63.01,33828.63,D,,,,,,
59558,2019-03-01,LNC,Janofsky Christine A,isOfficer,0001214659-19-001694,2019-02-27,A,6126.0,0.0,12411.29,D,,,,,,
59558,2019-03-01,LNC,Solon Kenneth S.,isOfficer,0001214659-19-001697,2019-02-27,A,14328.0,0.0,36016.33,D,,,,,,
59558,2019-03-01,LNC,Solon Kenneth S.,isOfficer,0001214659-19-001697,2019-02-27,F,7066.0,63.01,28950.33,D,,,,,,
59558,2019-03-01,LNC,Janofsky Christine A,isOfficer,0001214659-19-001694,2019-02-27,F,1746.0,63.01,10665.29,D,,,,,,
59558,2019-03-01,LNC,GLASS DENNIS R,"isDirector,isOfficer",0001214659-19-001693,2019-02-27,A,145198.0,0.0,802989.68,D,,,,,,
