cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
92380,2016-01-29,LUV,Romo Tammy,,0000092380-16-000173,2016-01-27,A,22204,0.0,95679.0,D,,,,,,
92380,2016-01-29,LUV,Van de Ven Michael G,,0000092380-16-000171,2016-01-27,A,38214,0.0,204697.0,D,,,,,,
92380,2016-01-29,LUV,KELLY GARY C,,0000092380-16-000169,2016-01-27,A,70595,0.0,544087.0,D,,,,,,
92380,2016-01-29,LUV,Jordan Robert E,,0000092380-16-000167,2016-01-27,A,35921,0.0,138620.0,D,,,,,,
92380,2016-01-29,LUV,RICKS RON,,0000092380-16-000165,2016-01-27,A,13408,0.0,204335.0,D,,,,,,
92380,2016-01-29,LUV,Nealon Thomas M,,0000092380-16-000163,2016-01-27,A,18504,0.0,43197.0,D,,,,,,
92380,2016-01-29,LUV,Lamb Jeff,,0000092380-16-000161,2016-01-27,A,33307,0.0,175926.0,D,,,,,,
92380,2016-02-23,LUV,Lamb Jeff,,0000092380-16-000184,2016-02-21,F,2509,39.31,173417.0,D,,,,,,
92380,2016-02-23,LUV,Van de Ven Michael G,,0000092380-16-000188,2016-02-21,F,3159,39.31,201538.0,D,,,,,,
92380,2016-02-23,LUV,Romo Tammy,,0000092380-16-000190,2016-02-21,F,1430,39.31,94249.0,D,,,,,,
92380,2016-02-23,LUV,RICKS RON,,0000092380-16-000186,2016-02-21,F,3125,39.31,201210.0,D,,,,,,
92380,2016-02-23,LUV,Jordan Robert E,,0000092380-16-000194,2016-02-21,F,2907,39.31,135713.0,D,,,,,,
92380,2016-02-23,LUV,Shaw Mark R,,0000092380-16-000196,2016-02-21,F,142,39.31,7626.0,D,,,,,,
92380,2016-02-23,LUV,KELLY GARY C,,0000092380-16-000192,2016-02-21,F,5256,39.31,538831.0,D,,,,,,
92380,2016-02-26,LUV,Lamb Jeff,,0000092380-16-000198,2016-02-24,S,6662,40.67,166755.0,D,,,,,,
92380,2016-02-26,LUV,Lamb Jeff,,0000092380-16-000198,2016-02-26,G,507,0.0,166248.0,D,,,,,,
92380,2016-04-27,LUV,Shaw Mark R,,0000092380-16-000211,2016-04-26,S,100,47.314,7526.0,D,,,,,,
92380,2016-04-27,LUV,BIEGLER DAVID W,,0000092380-16-000209,2016-04-25,M,8000,14.42,43608.0,D,,,,,,
92380,2016-04-27,LUV,BIEGLER DAVID W,,0000092380-16-000209,2016-04-25,S,8000,46.944,35608.0,D,,,,,,
92380,2016-05-17,LUV,Shaw Mark R,,0001492322-16-000006,2016-05-14,F,206,41.56,7320.0,D,,,,,,
92380,2016-05-17,LUV,Shaw Mark R,,0001492322-16-000006,2016-05-15,F,318,41.56,7002.0,D,,,,,,
92380,2016-05-17,LUV,Romo Tammy,,0001492322-16-000004,2016-05-15,F,4827,41.56,87592.0,D,,,,,,
92380,2016-05-17,LUV,Romo Tammy,,0001492322-16-000004,2016-05-14,F,1830,41.56,92419.0,D,,,,,,
92380,2016-05-17,LUV,Lamb Jeff,,0001492322-16-000002,2016-05-15,F,9752,41.56,152587.0,D,,,,,,
92380,2016-05-17,LUV,RICKS RON,,0001492322-16-000008,2016-05-15,F,11673,41.56,182817.0,D,,,,,,
92380,2016-05-17,LUV,Lamb Jeff,,0001492322-16-000002,2016-05-14,F,3909,41.56,162339.0,D,,,,,,
92380,2016-05-17,LUV,Jordan Robert E,,0001492322-16-000010,2016-05-15,F,11673,41.56,117320.0,D,,,,,,
92380,2016-05-17,LUV,Van de Ven Michael G,,0001492322-16-000014,2016-05-14,F,6720,41.56,194818.0,D,,,,,,
92380,2016-05-17,LUV,Jordan Robert E,,0001492322-16-000010,2016-05-14,F,6720,41.56,128993.0,D,,,,,,
92380,2016-05-17,LUV,KELLY GARY C,,0001492322-16-000012,2016-05-15,F,21941,41.56,505119.0,D,,,,,,
92380,2016-05-17,LUV,KELLY GARY C,,0001492322-16-000012,2016-05-14,F,11771,41.56,527060.0,D,,,,,,
