cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1300514,2016-01-04,LVS,TANASIJEVICH GEORGE,,0000950142-16-002748,2015-12-31,M,6800,39.84,31520,D,,,,,,
1300514,2016-01-04,LVS,TANASIJEVICH GEORGE,,0000950142-16-002748,2015-12-31,S,6341,43.768,25179,D,,,,,,
1300514,2016-01-06,LVS,Goldstein Robert G,,0000950142-16-002791,2016-01-04,S,97943,42.25,127057,D,,,,,,
1300514,2016-01-28,LVS,Adelson Sheldon G,,0000950142-16-002889,2016-01-26,A,44434,0.0,65999258,D,,,,,,
1300514,2016-06-07,LVS,Ader Jason,,0000950142-16-003908,2016-06-03,A,2139,0.0,17094,D,,,,,,
1300514,2016-06-07,LVS,Chau Micheline,,0000950142-16-003907,2016-06-03,A,2139,0.0,3957,D,,,,,,
1300514,2016-06-07,LVS,Forman Charles D,,0000950142-16-003906,2016-06-03,A,2139,0.0,206940,D,,,,,,
1300514,2016-06-07,LVS,GERARD STEVEN L,,0000950142-16-003905,2016-06-03,A,2139,0.0,4957,D,,,,,,
1300514,2016-06-07,LVS,KOPPELMAN CHARLES,,0000950142-16-003904,2016-06-03,A,2139,0.0,7889,D,,,,,,
1300514,2016-06-07,LVS,LEVI DAVID F,,0000950142-16-003903,2016-06-03,A,2139,0.0,3957,D,,,,,,
1300514,2016-06-07,LVS,Jamieson George,,0000950142-16-003902,2016-06-03,A,2139,0.0,4941,D,,,,,,
1300514,2016-06-07,LVS,Chafetz Irwin,,0000950142-16-003901,2016-06-03,A,2139,0.0,73561,D,,,,,,
1300514,2016-11-09,LVS,Adelson Sheldon G,,0000950142-16-004678,2016-11-07,M,12856,49.8,66012114,D,,,,,,
1300514,2016-11-29,LVS,Goldstein Robert G,,0000950142-16-004846,2016-11-28,S,119111,62.8437,127057,I,,,,,,
1300514,2016-11-29,LVS,Goldstein Robert G,,0000950142-16-004846,2016-11-25,S,50000,62.8327,246168,I,,,,,,
1300514,2016-12-16,LVS,KOPPELMAN CHARLES,,0000950142-16-004953,2016-12-14,M,2930,40.72,10819,D,,,,,,
1300514,2017-01-25,LVS,Adelson Sheldon G,,0000950142-17-000158,2017-01-23,A,24894,0.0,66088826,D,,,,,,
1300514,2017-06-08,LVS,LEVI DAVID F,,0001300514-17-000043,2017-06-08,A,1547,0.0,5504,D,,,,,,
1300514,2017-06-08,LVS,Kramer Lewis,,0001300514-17-000042,2017-06-08,A,1547,0.0,1547,D,,,,,,
1300514,2017-06-08,LVS,Jamieson George,,0001300514-17-000041,2017-06-08,A,1547,0.0,6488,D,,,,,,
1300514,2017-06-08,LVS,GERARD STEVEN L,,0001300514-17-000040,2017-06-08,A,1547,0.0,6504,D,,,,,,
1300514,2017-06-08,LVS,Chau Micheline,,0001300514-17-000039,2017-06-08,A,1547,0.0,5504,D,,,,,,
1300514,2017-06-08,LVS,Forman Charles D,,0001300514-17-000038,2017-06-08,A,1547,0.0,208487,D,,,,,,
