cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1489393,2017-02-09,LYB,AI New Holdings 2 LLC,,0001209191-17-009209,2017-02-07,S,345895.0,92.4167,14681406.0,D,,,,,,
1489393,2017-02-09,LYB,AI New Holdings 2 LLC,,0001209191-17-009209,2017-02-08,S,1124828.0,91.5908,12908892.0,D,,,,,,
1489393,2017-02-09,LYB,AI New Holdings 2 LLC,,0001209191-17-009209,2017-02-09,S,894223.0,92.2855,12014669.0,D,,,,,,
1489393,2017-02-14,LYB,AI New Holdings 2 LLC,,0001209191-17-010670,2017-02-10,S,303738.0,92.4496,11710931.0,D,,,,,,
1489393,2017-02-14,LYB,AI New Holdings 2 LLC,,0001209191-17-010670,2017-02-13,S,856670.0,92.2435,10854261.0,D,,,,,,
1489393,2017-02-21,LYB,Wolf Jacquelyn H,,0001225208-17-004033,2017-02-16,A,4190.0,0.0,18122.0,D,,,,,,
1489393,2017-02-21,LYB,Wolf Jacquelyn H,,0001225208-17-004033,2017-02-16,F,1167.0,92.69,16955.0,D,,,,,,
1489393,2017-02-21,LYB,Sumruld Michael W,,0001225208-17-004032,2017-02-16,A,945.0,0.0,945.0,D,,,,,,
1489393,2017-02-21,LYB,Patel Bhavesh V.,,0001225208-17-004031,2017-02-16,A,30344.0,0.0,170998.0,D,,,,,,
1489393,2017-02-21,LYB,Patel Bhavesh V.,,0001225208-17-004031,2017-02-16,F,1908.0,92.69,173637.0,D,,,,,,
1489393,2017-02-21,LYB,Kaplan Jeffrey A,,0001225208-17-004030,2017-02-16,A,3324.0,0.0,14297.0,D,,,,,,
1489393,2017-02-21,LYB,Kaplan Jeffrey A,,0001225208-17-004030,2017-02-16,F,320.0,92.69,15058.0,D,,,,,,
