cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1335258,2016-01-08,LYV,Capo Brian,,0001335258-16-000141,2016-01-06,F,409,23.77,3682,D,,,,,,
1335258,2016-01-20,LYV,Berchtold Joe,,0001335258-16-000147,2016-01-15,F,18090,22.5,140285,D,,,,,,
1335258,2016-01-20,LYV,Willard Elizabeth Kathleen,,0001335258-16-000146,2016-01-15,F,3245,22.5,255724,D,,,,,,
1335258,2016-01-20,LYV,Rowles Michael,,0001335258-16-000145,2016-01-15,F,2620,22.5,229683,D,,,,,,
1335258,2016-01-26,LYV,Capo Brian,,0001335258-16-000149,2016-01-22,F,164,22.12,3518,D,,,,,,
1335258,2016-02-11,LYV,Willard Elizabeth Kathleen,,0001335258-16-000155,2016-02-09,A,10976,0.0,266700,D,,,,,,
1335258,2016-02-11,LYV,Rowles Michael,,0001335258-16-000154,2016-02-09,A,9685,0.0,239368,D,,,,,,
1335258,2016-02-11,LYV,Berchtold Joe,,0001335258-16-000157,2016-02-09,A,14205,0.0,154490,D,,,,,,
1335258,2016-02-11,LYV,Rapino Michael,,0001335258-16-000156,2016-02-09,A,29700,0.0,845910,D,,,,,,
1335258,2016-04-04,LYV,Rapino Michael,,0001335258-16-000173,2016-03-31,F,50146,22.31,795764,D,,,,,,
1335258,2016-04-04,LYV,Berchtold Joe,,0001335258-16-000172,2016-03-31,F,1309,22.31,153181,D,,,,,,
1335258,2016-04-04,LYV,Willard Elizabeth Kathleen,,0001335258-16-000171,2016-03-31,F,1002,22.31,265698,D,,,,,,
1335258,2016-06-15,LYV,Johnson Margaret L,,0001335258-16-000213,2016-06-14,A,6337,0.0,11700,D,,,,,,
1335258,2016-06-15,LYV,Emanuel Ariel,,0001335258-16-000217,2016-06-14,A,6337,0.0,71348,D,,,,,,
1335258,2016-06-15,LYV,MAYS RANDALL THOMAS,,0001335258-16-000215,2016-06-14,A,6337,0.0,112158,D,,,,,,
1335258,2016-06-15,LYV,ENLOE ROBERT TED III,,0001335258-16-000221,2016-06-14,A,6337,0.0,25398,D,,,,,,
1335258,2016-06-15,LYV,HINSON JEFFREY T.,,0001335258-16-000211,2016-06-14,A,6337,0.0,63030,D,,,,,,
1335258,2016-06-15,LYV,SHAPIRO MARK S,,0001335258-16-000214,2016-06-14,A,6337,0.0,59571,D,,,,,,
1335258,2016-06-15,LYV,Dolgen Jonathan L,,0001335258-16-000219,2016-06-14,A,6337,0.0,96699,D,,,,,,
1335258,2016-06-15,LYV,Rowles Michael,,0001335258-16-000220,2016-06-13,F,1208,23.29,238160,D,,,,,,
1335258,2016-06-15,LYV,Carleton Mark D,,0001335258-16-000212,2016-06-14,A,6337,0.0,39034,D,,,,,,
1335258,2016-06-15,LYV,ENLOE ROBERT TED III,,0001335258-16-000221,2016-06-13,S,5363,23.54,19061,D,,,,,,
1335258,2016-06-15,LYV,KAHAN JAMES S,,0001335258-16-000210,2016-06-14,A,6337,0.0,72605,D,,,,,,
1335258,2016-06-15,LYV,Iovine Jimmy,,0001335258-16-000218,2016-06-14,A,6337,0.0,14699,D,,,,,,
1335258,2016-06-15,LYV,MAFFEI GREGORY B,,0001335258-16-000216,2016-06-14,A,12421,0.0,69066,D,,,,,,
