cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
60086,2017-05-11,L,WELTERS ANTHONY,,0001140361-17-019594,2017-05-10,M,2534.0,,5534.0,D,,,,,,
60086,2017-05-11,L,DAVIDSON CHARLES D,,0001140361-17-019590,2017-05-10,M,2534.0,,12534.0,D,,,,,,
60086,2017-05-11,L,DIKER CHARLES M,,0001140361-17-019584,2017-05-10,M,2534.0,,5534.0,D,,,,,,
60086,2017-05-11,L,FRENKEL JACOB A,,0001140361-17-019582,2017-05-10,M,2534.0,,2534.0,D,,,,,,
60086,2017-05-11,L,HARRIS WALTER L,,0001140361-17-019576,2017-05-09,M,2534.0,,8534.0,D,,,,,,
60086,2017-07-26,L,BOWER JOSEPH L,,0001140361-17-028733,2017-07-25,M,1500.0,48.04,7437.0,D,,,,,,
60086,2017-07-26,L,BOWER JOSEPH L,,0001140361-17-028733,2017-07-25,D,1487.0,48.45,5950.0,D,,,,,,
60086,2017-07-26,L,BOWER JOSEPH L,,0001140361-17-028733,2017-07-25,S,13.0,48.44,5937.0,D,,,,,,
60086,2017-08-08,L,TISCH JAMES S,,0001140361-17-030572,2017-08-07,G,32752.0,0.0,10440111.0,I,,,,,,
60086,2017-08-08,L,TISCH ANDREW H,,0001140361-17-030571,2017-08-07,G,32752.0,0.0,11775532.0,I,,,,,,
60086,2017-09-07,L,TISCH ANDREW H,,0001140361-17-034565,2017-09-05,G,98959.0,0.0,11874491.0,I,,,,,,
60086,2017-09-07,L,TISCH JAMES S,,0001140361-17-034562,2017-09-05,G,98959.0,0.0,10539070.0,I,,,,,,
60086,2017-11-02,L,TISCH JONATHAN M,,0001140361-17-040763,2017-10-31,S,1394935.0,48.4,5014857.0,I,,,,,,
60086,2017-11-02,L,BOWER JOSEPH L,,0001140361-17-040764,2017-11-01,M,1500.0,49.42,7437.0,D,,,,,,
60086,2017-11-02,L,BOWER JOSEPH L,,0001140361-17-040764,2017-11-01,D,1492.0,49.67,5945.0,D,,,,,,
60086,2017-11-02,L,BOWER JOSEPH L,,0001140361-17-040764,2017-11-01,S,8.0,49.67,5937.0,D,,,,,,
60086,2017-11-09,L,SCHWARTZ MARK S,,0001140361-17-041836,2017-11-08,M,3750.0,49.17,3750.0,D,,,,,,
60086,2017-11-09,L,SCHWARTZ MARK S,,0001140361-17-041836,2017-11-08,D,7311.0,49.68,189.0,D,,,,,,
60086,2017-11-09,L,SCHWARTZ MARK S,,0001140361-17-041836,2017-11-08,S,189.0,49.53,0.0,D,,,,,,
60086,2017-11-14,L,TISCH ANDREW H,,0001140361-17-042866,2017-11-13,G,34304.0,0.0,11908795.0,I,,,,,,
60086,2017-11-14,L,TISCH JAMES S,,0001140361-17-042869,2017-11-13,G,34304.0,0.0,10573374.0,I,,,,,,
60086,2017-11-15,L,SCOTT RICHARD WALDO,,0001140361-17-042935,2017-11-13,M,11250.0,33.12,11250.0,D,,,,,,
60086,2017-11-15,L,SCOTT RICHARD WALDO,,0001140361-17-042935,2017-11-13,D,16029.0,49.4,6471.0,D,,,,,,
60086,2017-11-15,L,SCOTT RICHARD WALDO,,0001140361-17-042935,2017-11-13,S,6471.0,49.8,0.0,D,,,,,,
60086,2017-11-22,L,TISCH JAMES S,"isDirector,isOfficer",0001140361-17-043626,2017-11-20,G,48810.0,0.0,12622184.0,I,,,,,,
60086,2017-11-22,L,TISCH ANDREW H,"isDirector,isOfficer",0001140361-17-043624,2017-11-20,G,48810.0,0.0,11957605.0,I,,,,,,
60086,2017-11-29,L,SIEGEL KENNETH I,,0001140361-17-044110,2017-11-28,S,4907.0,49.69,0.0,D,,,,,,
60086,2017-11-29,L,SIEGEL KENNETH I,,0001140361-17-044110,2017-11-28,M,5625.0,35.52,5625.0,D,,,,,,
60086,2017-11-29,L,SIEGEL KENNETH I,,0001140361-17-044110,2017-11-28,D,17593.0,49.57,4907.0,D,,,,,,
60086,2017-11-30,L,BERMAN ANN E,,0001140361-17-044385,2017-11-29,M,1500.0,40.34,1500.0,D,,,,,,
60086,2017-11-30,L,BERMAN ANN E,,0001140361-17-044385,2017-11-29,D,4617.0,49.86,1383.0,D,,,,,,
60086,2017-11-30,L,BERMAN ANN E,,0001140361-17-044385,2017-11-29,S,1383.0,50.3,0.0,D,,,,,,
60086,2017-12-01,L,SCHWARTZ MARK S,,0001140361-17-044598,2017-11-30,M,5000.0,39.81,5000.0,D,,,,,,
60086,2017-12-01,L,SCHWARTZ MARK S,,0001140361-17-044598,2017-11-30,D,23511.0,50.41,6489.0,D,,,,,,
60086,2017-12-01,L,EDELSON DAVID B,,0001140361-17-044553,2017-11-30,D,39191.0,50.41,5809.0,D,,,,,,
60086,2017-12-01,L,FRIBOURG PAUL J,,0001140361-17-044597,2017-11-30,M,1500.0,49.42,1500.0,D,,,,,,
60086,2017-12-01,L,SCHWARTZ MARK S,,0001140361-17-044598,2017-11-30,S,6489.0,50.25,0.0,D,,,,,,
60086,2017-12-01,L,FRIBOURG PAUL J,,0001140361-17-044597,2017-11-30,S,33.0,50.3,0.0,D,,,,,,
60086,2017-12-01,L,EDELSON DAVID B,,0001140361-17-044553,2017-11-30,M,11250.0,49.17,11250.0,D,,,,,,
60086,2017-12-01,L,FRIBOURG PAUL J,,0001140361-17-044597,2017-11-30,D,1467.0,50.53,33.0,D,,,,,,
60086,2017-12-01,L,EDELSON DAVID B,,0001140361-17-044553,2017-11-30,S,5809.0,50.25,0.0,D,,,,,,
60086,2017-12-05,L,LASKAWY PHILIP A,,0001140361-17-044976,2017-12-01,M,1500.0,49.42,1500.0,D,,,,,,
60086,2017-12-05,L,LASKAWY PHILIP A,,0001140361-17-044976,2017-12-01,D,1468.0,50.48,32.0,D,,,,,,
60086,2017-12-05,L,LASKAWY PHILIP A,,0001140361-17-044976,2017-12-01,S,32.0,50.07,0.0,D,,,,,,
60086,2017-12-05,L,HARRIS WALTER L,,0001140361-17-044975,2017-12-01,M,1500.0,49.42,10034.0,D,,,,,,
60086,2017-12-05,L,HARRIS WALTER L,,0001140361-17-044975,2017-12-01,D,1468.0,50.48,8566.0,D,,,,,,
60086,2017-12-05,L,HARRIS WALTER L,,0001140361-17-044975,2017-12-01,S,32.0,50.07,8534.0,D,,,,,,
60086,2017-12-05,L,DIKER CHARLES M,,0001140361-17-044974,2017-12-01,M,1500.0,49.42,7034.0,D,,,,,,
60086,2017-12-05,L,DIKER CHARLES M,,0001140361-17-044974,2017-12-01,D,1468.0,50.48,5566.0,D,,,,,,
60086,2017-12-05,L,DIKER CHARLES M,,0001140361-17-044974,2017-12-01,S,32.0,50.07,5534.0,D,,,,,,
60086,2017-12-05,L,BERMAN ANN E,,0001140361-17-044973,2017-12-01,M,1500.0,49.42,1500.0,D,,,,,,
60086,2017-12-05,L,BERMAN ANN E,,0001140361-17-044973,2017-12-01,D,1468.0,50.48,32.0,D,,,,,,
60086,2017-12-05,L,BERMAN ANN E,,0001140361-17-044973,2017-12-01,S,32.0,50.07,0.0,D,,,,,,
60086,2017-12-26,L,SIEGEL KENNETH I,,0001140361-17-047295,2017-12-21,S,1940.0,49.86,0.0,D,,,,,,
60086,2017-12-26,L,SIEGEL KENNETH I,,0001140361-17-047295,2017-12-21,M,11250.0,41.14,11250.0,D,,,,,,
60086,2017-12-26,L,SIEGEL KENNETH I,,0001140361-17-047295,2017-12-21,D,9310.0,49.71,1940.0,D,,,,,,
60086,2018-01-03,L,TISCH JONATHAN M,,0001140361-18-000447,2018-01-02,M,15000.0,49.17,2992381.0,D,,,,,,
60086,2018-01-03,L,TISCH JONATHAN M,,0001140361-18-000447,2018-01-02,D,52426.0,50.24,2984955.0,D,,,,,,
60086,2018-01-03,L,TISCH JAMES S,,0001140361-18-000442,2018-01-02,M,15000.0,49.17,2924189.0,D,,,,,,
60086,2018-01-03,L,TISCH JAMES S,,0001140361-18-000442,2018-01-02,D,52426.0,50.24,2916763.0,D,,,,,,
60086,2018-01-03,L,TISCH ANDREW H,,0001140361-18-000437,2018-01-02,M,15000.0,49.17,2493672.0,D,,,,,,
60086,2018-01-03,L,TISCH ANDREW H,,0001140361-18-000437,2018-01-02,D,52426.0,50.24,2486246.0,D,,,,,,
60086,2018-02-13,L,TISCH ANDREW H,,0001140361-18-007349,2018-02-11,M,12641.0,0.0,2491313.0,D,,,,,,
