cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
912595,2016-01-15,MAA,DelPriore Robert J.,,0001127602-16-037068,2016-01-13,F,286.0,89.3,10975.3167,D,,,,,,
912595,2016-01-15,MAA,Grimes Thomas L Jr,,0001127602-16-037065,2016-01-13,F,303.0,89.3,32822.0,D,,,,,,
912595,2016-01-15,MAA,Campbell Albert M III,,0001127602-16-037063,2016-01-13,F,412.0,89.3,32791.0,D,,,,,,
912595,2016-01-15,MAA,Wright Edward Thomas,,0001127602-16-037059,2016-01-13,F,247.0,89.3,28481.0,D,,,,,,
912595,2016-01-26,MAA,Wright Edward Thomas,,0001127602-16-037904,2016-01-23,F,606.0,91.48,27875.0,D,,,,,,
912595,2016-01-26,MAA,Wright Edward Thomas,,0001127602-16-037904,2016-01-24,F,218.0,91.48,27657.0,D,,,,,,
912595,2016-01-26,MAA,Wright Edward Thomas,,0001127602-16-037904,2016-01-25,F,88.0,92.53,27569.0,D,,,,,,
912595,2016-01-26,MAA,Grimes Thomas L Jr,,0001127602-16-037899,2016-01-22,F,348.0,91.48,32474.0,D,,,,,,
912595,2016-01-26,MAA,Campbell Albert M III,,0001127602-16-037897,2016-01-22,F,412.0,91.48,32379.0,D,,,,,,
912595,2016-01-26,MAA,BOLTON H ERIC JR,,0001127602-16-037895,2016-01-22,F,977.0,91.48,172446.374,D,,,,,,
912595,2016-02-22,MAA,Wright Edward Thomas,,0001127602-16-042679,2016-02-19,G,82.0,0.0,27487.0,D,,,,,,
912595,2016-03-02,MAA,Wright Edward Thomas,,0001127602-16-044528,2016-02-29,A,6412.0,0.0,33899.0,D,,,,,,
912595,2016-03-14,MAA,BOLTON H ERIC JR,,0001127602-16-046257,2016-03-10,A,15878.0,0.0,188324.374,D,,,,,,
912595,2016-03-14,MAA,Campbell Albert M III,,0001127602-16-046258,2016-03-10,F,370.0,94.06,37567.0,D,,,,,,
912595,2016-03-14,MAA,Campbell Albert M III,,0001127602-16-046258,2016-03-10,A,5558.0,0.0,37937.0,D,,,,,,
912595,2016-03-14,MAA,DelPriore Robert J.,,0001127602-16-046259,2016-03-10,F,317.0,94.06,13850.8948,D,,,,,,
912595,2016-03-14,MAA,BOLTON H ERIC JR,,0001127602-16-046257,2016-03-10,F,1457.0,94.06,186867.374,D,,,,,,
912595,2016-03-14,MAA,Grimes Thomas L Jr,,0001127602-16-046260,2016-03-10,F,380.0,94.06,35907.0,D,,,,,,
912595,2016-03-14,MAA,Grimes Thomas L Jr,,0001127602-16-046260,2016-03-10,A,3813.0,0.0,36287.0,D,,,,,,
912595,2016-03-14,MAA,Wright Edward Thomas,,0001127602-16-046261,2016-03-12,F,877.0,95.54,32603.0,D,,,,,,
912595,2016-03-14,MAA,Wright Edward Thomas,,0001127602-16-046261,2016-03-10,F,419.0,94.06,33480.0,D,,,,,,
912595,2016-03-14,MAA,DelPriore Robert J.,,0001127602-16-046259,2016-03-10,A,3178.0,0.0,14167.8948,D,,,,,,
912595,2016-03-29,MAA,Wright Edward Thomas,,0001127602-16-047737,2016-03-25,A,3490.0,0.0,36093.0,D,,,,,,
912595,2016-03-29,MAA,Grimes Thomas L Jr,,0001127602-16-047736,2016-03-25,A,3750.0,0.0,39657.0,D,,,,,,
912595,2016-03-29,MAA,DelPriore Robert J.,,0001127602-16-047735,2016-03-25,A,3473.0,0.0,17323.8948,D,,,,,,
912595,2016-03-29,MAA,Campbell Albert M III,,0001127602-16-047733,2016-03-25,A,3646.0,0.0,41213.0,D,,,,,,
912595,2016-03-29,MAA,BOLTON H ERIC JR,,0001127602-16-047731,2016-03-25,A,9375.0,0.0,196242.374,D,,,,,,
912595,2016-05-09,MAA,SANDERS WILLIAM REID,,0001127602-16-051529,2016-05-06,J,500.0,0.0,0.0,I,,,,,,
912595,2016-05-10,MAA,Wright Edward Thomas,,0001127602-16-051683,2016-05-09,G,74.0,0.0,36019.0,D,,,,,,
912595,2016-05-19,MAA,SANSOM WILLIAM B,,0001127602-16-052827,2016-05-17,A,1038.0,0.0,8274.0,D,,,,,,
912595,2016-05-19,MAA,LOWDER THOMAS H,,0001127602-16-052822,2016-05-17,A,1038.0,0.0,3972.0,D,,,,,,
912595,2016-05-19,MAA,Norwood Philip W,,0001127602-16-052825,2016-05-17,A,1038.0,0.0,6510.883,D,,,,,,
912595,2016-05-19,MAA,SANDERS WILLIAM REID,,0001127602-16-052826,2016-05-17,A,1038.0,0.0,6911.0,D,,,,,,
912595,2016-05-19,MAA,GRAF ALAN B JR,,0001127602-16-052819,2016-05-17,A,1038.0,0.0,9130.0,D,,,,,,
912595,2016-06-30,MAA,BOLTON H ERIC JR,,0001127602-16-056669,2016-06-30,P,60.0,82.8768,196302.374,D,,,,,,
912595,2016-12-12,MAA,Wright Edward Thomas,,0001127602-16-069707,2016-12-05,G,82.0,0.0,35937.0,D,,,,,,
912595,2016-12-12,MAA,STOCKERT DAVID P,,0001127602-16-069705,2016-12-08,A,854.0,0.0,91562.0,D,,,,,,
912595,2016-12-12,MAA,JENNINGS TONI,,0001127602-16-069699,2016-12-08,A,854.0,0.0,3539.0,D,,,,,,
