cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1507605,2017-05-23,MARA,FEINBERG JEFF,,0000919574-17-004490,2017-04-03,S,29726,0.922,2638558,I,,,,,,
1507605,2017-05-23,MARA,FEINBERG JEFF,,0000919574-17-004490,2017-04-05,S,1178,0.93,2637380,I,,,,,,
1507605,2017-05-23,MARA,FEINBERG JEFF,,0000919574-17-004490,2017-04-10,S,24100,0.8527,2613280,I,,,,,,
1507605,2017-05-23,MARA,FEINBERG JEFF,,0000919574-17-004490,2017-04-13,S,16183,0.85,2597097,I,,,,,,
1507605,2017-05-23,MARA,FEINBERG JEFF,,0000919574-17-004490,2017-04-19,S,15800,0.5699,2581297,I,,,,,,
1507605,2017-05-23,MARA,FEINBERG JEFF,,0000919574-17-004490,2017-05-16,S,51962,0.3086,2529335,I,,,,,,
1507605,2017-05-23,MARA,FEINBERG JEFF,,0000919574-17-004490,2017-05-19,S,180533,0.2706,2348802,I,,,,,,
1507605,2017-05-23,MARA,FEINBERG JEFF,,0000919574-17-004490,2017-05-22,S,100000,0.1725,2248802,I,,,,,,
1507605,2018-02-20,MARA,CROXALL DOUGLAS B,,0001493152-18-002379,2018-02-16,D,34609,2.83,819237,I,,,,,,
1507605,2018-10-16,MARA,OKAMOTO MERRICK D,,0001493152-18-014546,2017-09-29,A,87500,0.0,87500,D,,,,,,
1507605,2018-10-16,MARA,LIEBERMAN DAVID PHILIP,,0001493152-18-014567,2017-09-29,A,37500,0.0,37500,D,,,,,,
1507605,2018-12-27,MARA,GLOBAL BIT VENTURES INC.,,0001213900-18-017913,2018-12-24,J,687674,,2312326,D,,,,,,
1507605,2019-08-30,MARA,OKAMOTO MERRICK D,,0001493152-19-013533,2019-08-29,P,2000,1.606,23875,I,,,,,,
1507605,2019-09-03,MARA,OKAMOTO MERRICK D,,0001493152-19-013602,2019-08-30,P,5000,1.5613,28875,I,,,,,,
1507605,2019-11-22,MARA,OKAMOTO MERRICK D,,0001493152-19-018217,2019-11-22,P,25000,0.9894,53875,I,,,,,,
1507605,2020-10-13,MARA,OKAMOTO MERRICK D,,0001493152-20-019394,2020-09-30,C,357486,1.96,767824,D,,,,,,
1507605,2020-10-13,MARA,OKAMOTO MERRICK D,,0001493152-20-019394,2020-06-30,C,356463,0.91,410338,D,,,,,,
1507605,2020-10-19,MARA,Crawford James,,0001493152-20-019631,2020-09-30,C,42512,1.96,84675,D,,,,,,
1507605,2020-10-19,MARA,Crawford James,,0001493152-20-019631,2020-06-30,C,42163,0.91,42163,D,,,,,,
1507605,2020-12-01,MARA,LIEBERMAN DAVID PHILIP,,0001493152-20-022795,2020-12-01,S,7500,6.1456,137574,D,,,,,,
1507605,2020-12-01,MARA,LIEBERMAN DAVID PHILIP,,0001493152-20-022795,2020-09-30,C,72765,1.96,145074,D,,,,,,
1507605,2020-12-01,MARA,LIEBERMAN DAVID PHILIP,,0001493152-20-022795,2020-06-30,C,72309,0.91,72309,D,,,,,,
1507605,2020-12-02,MARA,Rudolph Michael,,0001493152-20-022853,2020-09-30,C,10121,1.96,20146,D,,,,,,
1507605,2020-12-02,MARA,Rudolph Michael,,0001493152-20-022853,2020-11-30,S,9000,6.0912,11146,D,,,,,,
1507605,2020-12-02,MARA,Rudolph Michael,,0001493152-20-022853,2020-06-30,C,10025,0.91,10025,D,,,,,,
1507605,2020-12-03,MARA,Berg Michael Carroll,,0001493152-20-022914,2020-06-30,C,9900,0.91,9900,D,,,,,,
1507605,2020-12-03,MARA,Berg Michael Carroll,,0001493152-20-022914,2020-09-30,C,10081,1.96,19981,D,,,,,,
1507605,2020-12-03,MARA,Berg Michael Carroll,,0001493152-20-022914,2020-12-01,S,7500,6.1456,12481,D,,,,,,
1507605,2020-12-04,MARA,Rudolph Michael,,0001493152-20-022967,2020-11-30,S,3000,6.15,8146,D,,,,,,
1507605,2020-12-17,MARA,Rudolph Michael,,0001493152-20-023868,2020-12-15,S,3000,6.3967,5146,D,,,,,,
1507605,2021-01-11,MARA,OKAMOTO MERRICK D,,0001493152-21-000676,2021-01-07,S,32000,19.76,1079888,D,,,,,,
