cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1048286,2017-02-23,MAR,Grissen David,,0001225208-17-004271,2017-02-21,A,9684.0,0.0,21153.0,D,,,,,,
1048286,2017-02-23,MAR,Bauduin Val,,0001225208-17-004247,2017-02-21,A,6232.0,0.0,28431.0,D,,,,,,
1048286,2017-02-23,MAR,Marriott David S,,0001225208-17-004249,2017-02-21,A,7080.0,0.0,19044.0,D,,,,,,
1048286,2017-02-23,MAR,Capuano Anthony,,0001225208-17-004262,2017-02-21,A,11265.0,0.0,48171.0,D,,,,,,
1048286,2017-02-23,MAR,Kyriakidis Argiris,,0001225208-17-004263,2017-02-21,A,4077.0,0.0,12948.0,D,,,,,,
1048286,2017-02-23,MAR,Linnartz Stephanie,,0001225208-17-004264,2017-02-21,A,9684.0,0.0,19601.0,D,,,,,,
1048286,2017-02-23,MAR,Oberg Kathleen K.,,0001225208-17-004265,2017-02-21,A,8835.0,0.0,17272.0,D,,,,,,
1048286,2017-02-23,MAR,Harrison Deborah Marriott,,0001225208-17-004248,2017-02-21,A,3400.0,0.0,6910.0,D,,,,,,
1048286,2017-02-23,MAR,Rodriguez David A,,0001225208-17-004267,2017-02-21,A,4758.0,0.0,10361.0,D,,,,,,
1048286,2017-02-23,MAR,Ryan Edward A,,0001225208-17-004268,2017-02-21,A,5946.0,0.0,11783.0,D,,,,,,
1048286,2017-02-23,MAR,SORENSON ARNE M,,0001225208-17-004269,2017-02-21,A,21234.0,0.0,49243.0,D,,,,,,
1048286,2017-02-23,MAR,Smith Craig S.,,0001225208-17-004270,2017-02-21,A,5436.0,0.0,15005.0,D,,,,,,
1048286,2017-02-23,MAR,Grissen David,,0001225208-17-004271,2017-02-21,S,17125.0,88.11,47790.0,D,,,,,,
1048286,2017-02-23,MAR,McPherson Amy,,0001225208-17-004266,2017-02-21,A,4758.0,0.0,10361.0,D,,,,,,
1048286,2017-02-28,MAR,Ryan Edward A,,0001225208-17-004847,2017-02-27,A,10033.0,0.0,94810.0,D,,,,,,
1048286,2017-02-28,MAR,Ryan Edward A,,0001225208-17-004847,2017-02-27,S,10033.0,87.4,84777.0,D,,,,,,
1048286,2017-02-28,MAR,MARRIOTT J W JR,,0001225208-17-004848,2017-02-27,S,33892.0,87.4,240024.0,D,,,,,,
1048286,2017-02-28,MAR,MARRIOTT J W JR,,0001225208-17-004848,2017-02-27,A,33892.0,0.0,273916.0,D,,,,,,
1048286,2017-02-28,MAR,LEE DEBRA L,,0001225208-17-004849,2017-02-28,S,2020.0,87.37,640.0,D,,,,,,
1048286,2017-03-01,MAR,Rodriguez David A,,0001225208-17-005037,2017-02-28,A,10676.0,0.0,53113.0,D,,,,,,
1048286,2017-03-01,MAR,Rodriguez David A,,0001225208-17-005037,2017-02-28,S,10676.0,87.59,42437.0,D,,,,,,
1048286,2017-03-01,MAR,Capuano Anthony,,0001225208-17-005036,2017-02-28,S,30000.0,87.56,61405.0,D,,,,,,
1048286,2017-03-02,MAR,Ryan Edward A,,0001225208-17-005215,2017-03-01,S,10095.0,88.77,84777.0,D,,,,,,
1048286,2017-03-02,MAR,Ryan Edward A,,0001225208-17-005215,2017-03-01,A,10095.0,0.0,94872.0,D,,,,,,
1048286,2017-03-08,MAR,MARRIOTT JOHN W III,,0001225208-17-005871,2017-03-06,G,20837.0,0.0,543907.0,D,,,,,,
1048286,2017-03-08,MAR,MARRIOTT J W JR,,0001225208-17-005870,2017-03-06,G,20837.0,0.0,1689363.0,I,,,,,,
1048286,2017-03-08,MAR,Kyriakidis Argiris,,0001225208-17-005869,2017-03-07,S,4000.0,86.35,22879.0,D,,,,,,
1048286,2017-03-16,MAR,Linnartz Stephanie,,0001225208-17-006352,2017-03-15,F,809.0,87.38,18013.0,D,,,,,,
1048286,2017-03-17,MAR,Marriott Juliana B.,,0001225208-17-006545,2017-03-16,D,24000.0,88.06,18000.0,D,,,,,,
1048286,2017-03-17,MAR,Marriott David S,,0001225208-17-006544,2017-03-16,D,68322.0,87.82,221678.0,I,,,,,,
1048286,2017-03-22,MAR,DUNCAN BRUCE W,,0001225208-17-006685,2017-03-21,M,4863.0,32.13,47587.0,D,,,,,,
1048286,2017-03-22,MAR,DUNCAN BRUCE W,,0001225208-17-006685,2017-03-21,S,4863.0,90.0,42724.0,D,,,,,,
1048286,2017-03-22,MAR,Rodriguez David A,,0001225208-17-006684,2017-03-21,S,11112.0,90.0,31325.0,D,,,,,,
1048286,2017-03-24,MAR,MARRIOTT J W JR,,0001225208-17-006773,2017-03-23,A,35059.0,0.0,275083.0,D,,,,,,
1048286,2017-03-24,MAR,MARRIOTT J W JR,,0001225208-17-006773,2017-03-23,S,35059.0,93.42,240024.0,D,,,,,,
1048286,2017-03-24,MAR,Linnartz Stephanie,,0001225208-17-006772,2017-03-23,A,8620.0,0.0,36596.0,D,,,,,,
1048286,2017-03-29,MAR,Ryan Edward A,,0001225208-17-007014,2017-03-28,A,7378.0,0.0,92155.0,D,,,,,,
1048286,2017-03-29,MAR,Ryan Edward A,,0001225208-17-007014,2017-03-28,S,7378.0,93.44,84777.0,D,,,,,,
