cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
62996,2016-01-19,MAS,Sznewajs John G,,0001225208-16-024393,2016-01-14,F,9571.0,24.95,190631.0,D,,,,,,
62996,2016-01-19,MAS,Straber Renee,,0001225208-16-024392,2016-01-14,F,3107.0,24.95,42383.0,D,,,,,,
62996,2016-01-19,MAS,O'Reagan Richard A.,,0001225208-16-024391,2016-01-14,F,6964.0,24.95,66250.0,D,,,,,,
62996,2016-01-19,MAS,Lindow John P,,0001225208-16-024390,2016-01-14,F,3992.0,24.95,68031.0,D,,,,,,
62996,2016-01-19,MAS,Kastner Christopher K.,,0001225208-16-024389,2016-01-14,F,2183.0,24.95,29099.0,D,,,,,,
62996,2016-01-19,MAS,Cole Kenneth G.,,0001225208-16-024388,2016-01-14,F,2664.0,24.95,58227.0,D,,,,,,
62996,2016-01-19,MAS,Bhargava Amit,,0001225208-16-024387,2016-01-14,F,2011.0,24.95,26480.0,D,,,,,,
62996,2016-01-19,MAS,Allman Keith J.,,0001225208-16-024386,2016-01-14,F,15902.0,24.95,196606.0,D,,,,,,
62996,2016-02-12,MAS,Cole Kenneth G.,,0001225208-16-026254,2016-02-10,A,15230.0,0.0,73457.0,D,,,,,,
62996,2016-02-12,MAS,Allman Keith J.,,0001225208-16-026250,2016-02-10,A,93140.0,0.0,289746.0,D,,,,,,
62996,2016-02-12,MAS,Sznewajs John G,,0001225208-16-026251,2016-02-10,A,27260.0,0.0,217891.0,D,,,,,,
62996,2016-02-12,MAS,O'Reagan Richard A.,,0001225208-16-026252,2016-02-10,A,19620.0,0.0,85870.0,D,,,,,,
62996,2016-02-12,MAS,Kastner Christopher K.,,0001225208-16-026257,2016-02-10,A,9880.0,0.0,38979.0,D,,,,,,
62996,2016-02-12,MAS,Lindow John P,,0001225208-16-026258,2016-02-10,A,9540.0,0.0,77571.0,D,,,,,,
62996,2016-02-12,MAS,Straber Renee,,0001225208-16-026255,2016-02-10,A,11560.0,0.0,53943.0,D,,,,,,
62996,2016-02-12,MAS,Bhargava Amit,,0001225208-16-026256,2016-02-10,A,9880.0,0.0,36360.0,D,,,,,,
