cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
827054,2018-05-16,MCHP,SIMONCIC RICHARD J,,0000827054-18-000100,2018-05-15,M,3266,93.36,52074,I,,,,,,
827054,2018-05-16,MCHP,SIMONCIC RICHARD J,,0000827054-18-000100,2018-05-15,F,933,93.36,51141,I,,,,,,
827054,2018-05-16,MCHP,SANGHI STEVE,,0000827054-18-000099,2018-05-15,M,20320,93.36,4587387,I,,,,,,
827054,2018-05-16,MCHP,MOORTHY GANESH,,0000827054-18-000098,2018-05-15,M,8467,93.36,233634,I,,,,,,
827054,2018-05-16,MCHP,MOORTHY GANESH,,0000827054-18-000098,2018-05-15,F,3637,93.36,229997,I,,,,,,
827054,2018-05-16,MCHP,LITTLE MITCHELL R,,0000827054-18-000097,2018-05-15,M,3991,93.36,13760,D,,,,,,
827054,2018-05-16,MCHP,LITTLE MITCHELL R,,0000827054-18-000097,2018-05-15,F,1176,93.36,12584,D,,,,,,
827054,2018-05-16,MCHP,DREHOBL STEPHEN V,,0000827054-18-000096,2018-05-15,M,4596,93.36,20916,D,,,,,,
827054,2018-05-16,MCHP,DREHOBL STEPHEN V,,0000827054-18-000096,2018-05-15,F,1477,93.36,19439,D,,,,,,
827054,2018-05-16,MCHP,Bjornholt James Eric,,0000827054-18-000095,2018-05-15,M,2903,93.36,21198,I,,,,,,
827054,2018-05-16,MCHP,Bjornholt James Eric,,0000827054-18-000095,2018-05-15,F,829,93.36,20369,I,,,,,,
827054,2018-05-18,MCHP,MEYERCORD WADE F,,0000827054-18-000105,2018-05-18,G,310,92.8,28502,I,,,,,,
827054,2018-05-18,MCHP,MEYERCORD WADE F,,0000827054-18-000105,2018-05-28,G,150,92.8,27432,I,,,,,,
827054,2018-05-22,MCHP,DREHOBL STEPHEN V,,0000827054-18-000111,2018-05-22,S,1577,93.55,19711,D,,,,,,
827054,2018-05-22,MCHP,Bjornholt James Eric,,0000827054-18-000110,2018-05-22,S,159,93.55,21710,I,,,,,,
827054,2018-05-22,MCHP,LITTLE MITCHELL R,,0000827054-18-000112,2018-05-22,S,145,93.55,14066,D,,,,,,
827054,2018-05-22,MCHP,SIMONCIC RICHARD J,,0000827054-18-000113,2018-05-22,S,173,93.55,52714,I,,,,,,
827054,2018-08-10,MCHP,MEYERCORD WADE F,,0000827054-18-000151,2018-08-10,M,578,87.41,28010,I,,,,,,
827054,2018-08-10,MCHP,Johnson Esther,,0000827054-18-000150,2018-08-10,M,686,87.41,6687,D,,,,,,
827054,2018-08-10,MCHP,DAY L B,,0000827054-18-000149,2018-08-10,M,578,87.41,11545,D,,,,,,
