cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
927653,2016-01-05,MCK,HAMMERGREN JOHN H,,0001443873-16-000035,2016-01-04,M,101833.0,40.46,101833.0,D,,,,,,
927653,2016-01-05,MCK,HAMMERGREN JOHN H,,0001443873-16-000035,2016-01-04,S,101833.0,194.1068,0.0,D,,,,,,
927653,2016-01-25,MCK,Schechter Lori A.,,0001444054-16-000024,2016-01-24,M,13064.0,0.0,13872.982,D,,,,,,
927653,2016-01-25,MCK,Schechter Lori A.,,0001444054-16-000024,2016-01-24,F,5987.0,170.81,7885.98,D,,,,,,
927653,2016-02-02,MCK,Schechter Lori A.,,0001443873-16-000036,2016-02-01,S,2476.0,159.7341,5548.3788,D,,,,,,
927653,2016-02-03,MCK,SALKA SUSAN R,,0001443873-16-000037,2016-02-02,P,1000.0,156.2114,1000.0,I,,,,,,
927653,2016-03-16,MCK,REES NIGEL A,,0001444054-16-000025,2016-03-15,M,11000.0,40.46,11000.0,D,,,,,,
927653,2016-03-16,MCK,REES NIGEL A,,0001444054-16-000025,2016-03-15,S,6000.0,157.5901,5000.0,D,,,,,,
927653,2016-04-05,MCK,HAMMERGREN JOHN H,,0001444054-16-000026,2016-04-04,M,45300.0,40.46,45300.0,D,,,,,,
927653,2016-04-05,MCK,HAMMERGREN JOHN H,,0001444054-16-000026,2016-04-04,S,45300.0,159.0044,0.0,D,,,,,,
927653,2016-04-26,MCK,HAMMERGREN JOHN H,,0001444054-16-000027,2016-04-25,S,101833.0,176.8149,0.0,D,,,,,,
927653,2016-04-26,MCK,HAMMERGREN JOHN H,,0001444054-16-000027,2016-04-25,M,101833.0,40.46,101833.0,D,,,,,,
927653,2016-05-10,MCK,HAMMERGREN JOHN H,,0001443873-16-000038,2016-05-10,M,101833.0,40.46,101833.0,D,,,,,,
927653,2016-05-10,MCK,HAMMERGREN JOHN H,,0001443873-16-000038,2016-05-10,S,101833.0,170.7146,0.0,D,,,,,,
927653,2016-05-23,MCK,HAMMERGREN JOHN H,,0001444054-16-000029,2016-05-21,M,94000.0,0.0,94000.0,D,,,,,,
927653,2016-05-23,MCK,Blake Patrick,,0001444054-16-000028,2016-05-23,S,3162.0,179.3337,8488.6074,D,,,,,,
927653,2016-05-23,MCK,Blake Patrick,,0001444054-16-000028,2016-05-21,F,8516.0,182.29,11650.6074,D,,,,,,
927653,2016-05-23,MCK,Blake Patrick,,0001444054-16-000028,2016-05-21,M,18000.0,0.0,20166.6074,D,,,,,,
