cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1059556,2018-02-02,MCO,Almeida Mark,,0001209191-18-006808,2017-11-22,G,1000.0,0.0,144826.0,D,,,,,,
1059556,2018-02-02,MCO,Almeida Mark,,0001209191-18-006808,2018-01-31,M,62500.0,38.07,207326.0,D,,,,,,
1059556,2018-02-02,MCO,Almeida Mark,,0001209191-18-006808,2018-01-31,S,9671.0,161.285,197655.0,D,,,,,,
1059556,2018-02-20,MCO,VAN SAUN BRUCE,,0001209191-18-011283,2018-02-16,A,1075.0,0.0,4330.0,D,,,,,,
1059556,2018-02-20,MCO,Seidman Leslie,,0001209191-18-011281,2018-02-16,A,1075.0,0.0,8111.0,D,,,,,,
1059556,2018-02-20,MCO,MCKINNELL HENRY A,,0001209191-18-011278,2018-02-16,A,1493.0,0.0,84822.0,D,,,,,,
1059556,2018-02-20,MCO,Kist Ewald,,0001209191-18-011273,2018-02-16,A,1075.0,0.0,28179.0,D,,,,,,
1059556,2018-02-20,MCO,Hill Kathryn,,0001209191-18-011272,2018-02-16,A,1075.0,0.0,15027.0,D,,,,,,
1059556,2018-02-20,MCO,Duffie Darrell,,0001209191-18-011267,2018-02-16,A,1075.0,0.0,22411.0,D,,,,,,
1059556,2018-02-20,MCO,Bermudez Jorge A.,,0001209191-18-011261,2018-02-16,A,1075.0,0.0,17266.0,D,,,,,,
1059556,2018-02-20,MCO,ANDERSON BASIL,,0001209191-18-011258,2018-02-16,A,1075.0,0.0,41866.0,D,,,,,,
1059556,2018-02-21,MCO,Crimmins Michael S,,0001209191-18-011993,2018-02-16,A,351.0,167.5,4786.0,D,,,,,,
1059556,2018-02-21,MCO,Almeida Mark,,0001209191-18-011989,2018-02-16,A,2006.0,167.5,146862.0,D,,,,,,
1059556,2018-02-21,MCO,Fauber Robert,,0001209191-18-011996,2018-02-16,A,1731.0,167.5,44941.0,D,,,,,,
1059556,2018-02-21,MCO,Cantor Richard,,0001209191-18-011992,2018-02-16,A,5284.0,167.5,61506.0,D,,,,,,
