cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1441816,2018-06-22,MDB,Bull Thomas,,0001441816-18-000060,2018-06-21,C,8000,0.0,16000,D,,,,,,
1441816,2018-06-22,MDB,Bull Thomas,,0001441816-18-000060,2018-06-21,S,8000,58.8,8000,D,,,,,,
1441816,2018-06-28,MDB,Horowitz Eliot,,0001209191-18-039939,2018-06-26,C,2161,,92161,D,,,,,,
1441816,2018-07-05,MDB,Bull Thomas,,0001209191-18-041779,2018-07-02,C,9000,0.0,17000,D,,,,,,
1441816,2018-07-05,MDB,Bull Thomas,,0001209191-18-041779,2018-07-02,S,5670,49.13,11330,D,,,,,,
1441816,2018-07-05,MDB,Horowitz Eliot,,0001209191-18-041732,2018-07-02,C,7100,,99261,D,,,,,,
1441816,2018-07-05,MDB,Horowitz Eliot,,0001209191-18-041732,2018-07-02,S,6100,48.89,93161,D,,,,,,
1441816,2018-07-05,MDB,Ittycheria Dev,,0001441816-18-000066,2018-07-02,S,1206,49.4,138794,D,,,,,,
1441816,2018-07-05,MDB,Gordon Michael Lawrence,,0001441816-18-000065,2018-07-02,S,721,49.4,75872,D,,,,,,
1441816,2018-07-05,MDB,Eisenberg Meagen,,0001441816-18-000064,2018-07-02,S,375,49.4,31495,D,,,,,,
1441816,2018-07-13,MDB,RYAN KEVIN P,,0001441816-18-000068,2018-07-11,C,16000,0.0,16000,D,,,,,,
1441816,2018-07-13,MDB,RYAN KEVIN P,,0001441816-18-000068,2018-07-11,S,16000,52.94,0,D,,,,,,
1441816,2018-07-13,MDB,RYAN KEVIN P,,0001441816-18-000068,2018-07-11,A,3133,0.0,3133,D,,,,,,
1441816,2018-07-16,MDB,Killalea Peter Thomas,,0001441816-18-000073,2018-07-12,A,3133,0.0,3133,D,,,,,,
1441816,2018-07-16,MDB,Cochran Hope F,,0001441816-18-000075,2018-07-12,A,737,52.66,737,D,,,,,,
1441816,2018-07-16,MDB,BOTHA ROELOF,,0001441816-18-000071,2018-07-12,A,560,52.66,560,D,,,,,,
1441816,2018-07-16,MDB,Hazard Charles M Jr,,0001441816-18-000076,2018-07-12,A,3133,0.0,8440,D,,,,,,
1441816,2018-07-16,MDB,McMahon John Dennis,,0001441816-18-000077,2018-07-12,A,489,52.66,45489,D,,,,,,
1441816,2018-08-03,MDB,Eisenberg Meagen,,0001441816-18-000079,2018-08-01,C,41250,0.0,72745,D,,,,,,
1441816,2018-08-03,MDB,Eisenberg Meagen,,0001441816-18-000079,2018-08-01,S,40750,53.89,31995,D,,,,,,
1441816,2018-08-03,MDB,Horowitz Eliot,,0001441816-18-000078,2018-08-01,C,7100,0.0,97099,D,,,,,,
1441816,2018-08-03,MDB,Horowitz Eliot,,0001441816-18-000078,2018-08-01,S,7100,54.12,89999,D,,,,,,
1441816,2018-08-17,MDB,RYAN KEVIN P,,0001441816-18-000081,2018-08-16,C,16000,0.0,19133,D,,,,,,
1441816,2018-08-17,MDB,RYAN KEVIN P,,0001441816-18-000081,2018-08-16,S,7044,63.75,12089,D,,,,,,
1441816,2018-09-06,MDB,Horowitz Eliot,,0001209191-18-049913,2018-09-04,C,7100,0.0,94938,D,,,,,,
1441816,2018-09-06,MDB,Horowitz Eliot,,0001209191-18-049913,2018-09-04,S,2641,70.91,92297,D,,,,,,
1441816,2018-09-06,MDB,Eisenberg Meagen,,0001209191-18-049909,2018-09-04,C,46250,0.0,77745,D,,,,,,
1441816,2018-09-06,MDB,Eisenberg Meagen,,0001209191-18-049909,2018-09-04,S,5983,70.89,71762,D,,,,,,
1441816,2018-09-06,MDB,Horowitz Eliot,,0001209191-18-049913,2018-07-02,G,2161,0.0,87838,D,,,,,,
1441816,2018-09-13,MDB,Gordon Michael Lawrence,,0001441816-18-000090,2018-09-11,C,100000,0.0,175872,D,,,,,,
1441816,2018-09-13,MDB,Gordon Michael Lawrence,,0001441816-18-000090,2018-09-11,S,15810,82.31,160062,D,,,,,,
