cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1103982,2016-01-05,MDLZ,Shi Christiana Smith,,0001209191-16-089166,2016-01-04,A,1523,0.0,1523,D,,,,,,
1103982,2016-01-05,MDLZ,BREARTON DAVID A,,0001209191-16-089155,2015-12-31,F,7025,44.84,32735,D,,,,,,
1103982,2016-01-05,MDLZ,BREARTON DAVID A,,0001209191-16-089155,2015-12-31,D,5798,0.0,21573,D,,,,,,
1103982,2016-02-08,MDLZ,Weber Hubert,,0001209191-16-096385,2016-02-05,M,9600,27.05,95412,D,,,,,,
1103982,2016-02-17,MDLZ,BOOTH LEWIS W K,,0001209191-16-099175,2016-02-17,P,5430,39.37,27915,D,,,,,,
1103982,2016-02-24,MDLZ,Brusadelli Maurizio,,0001209191-16-101865,2016-02-22,A,16125,0.0,53437,D,,,,,,
1103982,2016-02-24,MDLZ,Hargrove Robin S.,,0001209191-16-101887,2016-02-22,F,8123,39.7,16977,D,,,,,,
1103982,2016-02-24,MDLZ,Cofer Timothy P.,,0001209191-16-101872,2016-02-22,F,22620,39.7,281147,D,,,,,,
1103982,2016-02-24,MDLZ,Clouse Mark A.,,0001209191-16-101867,2016-02-22,A,44610,0.0,256769,D,,,,,,
1103982,2016-02-24,MDLZ,Clouse Mark A.,,0001209191-16-101867,2016-02-22,F,21564,39.7,235205,D,,,,,,
1103982,2016-02-24,MDLZ,ROSENFELD IRENE B,,0001209191-16-101860,2016-02-22,F,141756,39.7,1952544,D,,,,,,
1103982,2016-02-24,MDLZ,Brusadelli Maurizio,,0001209191-16-101865,2016-02-22,F,3692,39.7,49745,D,,,,,,
1103982,2016-02-24,MDLZ,ABELENDA GUSTAVO H,,0001209191-16-101863,2016-02-22,A,48315,0.0,246726,D,,,,,,
1103982,2016-02-24,MDLZ,ABELENDA GUSTAVO H,,0001209191-16-101863,2016-02-22,F,18225,39.7,228501,D,,,,,,
1103982,2016-02-24,MDLZ,Cofer Timothy P.,,0001209191-16-101872,2016-02-22,A,52035,0.0,303767,D,,,,,,
1103982,2016-02-24,MDLZ,Hargrove Robin S.,,0001209191-16-101887,2016-02-22,A,17280,0.0,25100,D,,,,,,
1103982,2016-02-24,MDLZ,ROSENFELD IRENE B,,0001209191-16-101860,2016-02-22,A,310185,0.0,2094300,D,,,,,,
1103982,2016-02-24,MDLZ,MacDougall Lawrence C.,,0001209191-16-101893,2016-02-22,A,33270,0.0,123866,D,,,,,,
1103982,2016-02-24,MDLZ,Zaramella Luca,,0001209191-16-101917,2016-02-22,F,6279,39.7,52409,D,,,,,,
1103982,2016-02-24,MDLZ,MAY KAREN J,,0001209191-16-101898,2016-02-22,F,18276,39.7,325211,D,,,,,,
1103982,2016-02-24,MDLZ,MAY KAREN J,,0001209191-16-101898,2016-02-22,A,39990,0.0,343487,D,,,,,,
1103982,2016-02-24,MDLZ,Myers Daniel P.,,0001209191-16-101901,2016-02-22,F,18172,39.7,106622,D,,,,,,
1103982,2016-02-24,MDLZ,Myers Daniel P.,,0001209191-16-101901,2016-02-22,A,44610,0.0,124794,D,,,,,,
1103982,2016-02-24,MDLZ,Pleuhs Gerhard W.,,0001209191-16-101905,2016-02-22,F,11474,39.7,161334,D,,,,,,
1103982,2016-02-24,MDLZ,Pleuhs Gerhard W.,,0001209191-16-101905,2016-02-22,A,30480,0.0,172808,D,,,,,,
1103982,2016-02-24,MDLZ,Weber Hubert,,0001209191-16-101911,2016-02-22,F,6762,39.7,106320,D,,,,,,
1103982,2016-02-24,MDLZ,Weber Hubert,,0001209191-16-101911,2016-02-22,A,17670,0.0,113082,D,,,,,,
1103982,2016-02-24,MDLZ,MacDougall Lawrence C.,,0001209191-16-101893,2016-02-22,F,13641,39.7,110225,D,,,,,,
1103982,2016-02-24,MDLZ,Zaramella Luca,,0001209191-16-101917,2016-02-22,A,17220,0.0,58688,D,,,,,,
1103982,2016-03-10,MDLZ,de Oliveira Marques Roberto,,0001209191-16-107568,2016-03-09,F,20362,41.95,110538,D,,,,,,
1103982,2016-05-09,MDLZ,Clouse Mark A.,,0001209191-16-118448,2016-05-05,M,12240,19.3,242288,D,,,,,,
1103982,2016-05-09,MDLZ,Clouse Mark A.,,0001209191-16-118448,2016-05-05,F,8937,43.92,233351,D,,,,,,
1103982,2016-05-12,MDLZ,Clouse Mark A.,,0001209191-16-119513,2016-05-11,M,69320,27.05,331800,D,,,,,,
1103982,2016-05-12,MDLZ,Clouse Mark A.,,0001209191-16-119513,2016-05-11,F,56279,44.4,275521,D,,,,,,
1103982,2016-05-20,MDLZ,KETCHUM MARK D,,0001209191-16-122130,2016-05-18,A,3701,0.0,44332,D,,,,,,
1103982,2016-05-20,MDLZ,Mesquita Jorge S.,,0001209191-16-122132,2016-05-18,A,3701,0.0,26611,D,,,,,,
1103982,2016-05-20,MDLZ,BOLLENBACH STEPHEN F,,0001209191-16-122115,2016-05-18,A,3701,0.0,19779,D,,,,,,
1103982,2016-05-20,MDLZ,BOOTH LEWIS W K,,0001209191-16-122118,2016-05-18,A,3701,0.0,31679,D,,,,,,
1103982,2016-05-20,MDLZ,NEUBAUER JOSEPH,,0001209191-16-122134,2016-05-18,A,3701,0.0,34919,D,,,,,,
1103982,2016-05-20,MDLZ,JULIBER LOIS D,,0001209191-16-122125,2016-05-18,A,3701,0.0,42183,D,,,,,,
1103982,2016-05-20,MDLZ,SIMMONS RUTH J,,0001209191-16-122144,2016-05-18,A,3701,0.0,19779,D,,,,,,
1103982,2016-05-20,MDLZ,Reynolds Fredric G,,0001209191-16-122137,2016-05-18,A,3701,0.0,159671,D,,,,,,
1103982,2016-05-20,MDLZ,Siewert Patrick,,0001209191-16-122142,2016-05-18,A,3701,0.0,19920,D,,,,,,
1103982,2016-05-20,MDLZ,van Boxmeer Jean Francois M L,,0001209191-16-122146,2016-05-18,A,3701,0.0,27628,D,,,,,,
1103982,2016-05-20,MDLZ,PELTZ NELSON,,0001209191-16-122177,2016-05-18,A,3701,0.0,13495,D,,,,,,
1103982,2016-05-20,MDLZ,Shi Christiana Smith,,0001209191-16-122140,2016-05-18,A,3701,0.0,5230,D,,,,,,
1103982,2016-09-01,MDLZ,ROSENFELD IRENE B,,0001209191-16-139430,2016-08-31,M,300000,21.169,2211515,D,,,,,,
1103982,2016-09-01,MDLZ,ROSENFELD IRENE B,,0001209191-16-139430,2016-08-31,F,215590,45.02,1995925,D,,,,,,
1103982,2016-09-06,MDLZ,Myers Daniel P.,,0001209191-16-140085,2016-09-01,F,11782,43.95,91821,D,,,,,,
1103982,2016-09-06,MDLZ,BUNCH CHARLES E,,0001209191-16-140080,2016-09-01,A,2731,0.0,6404,D,,,,,,
1103982,2016-09-15,MDLZ,PELTZ NELSON,,0001209191-16-141672,2016-09-13,X,932925,27.6896,48951334,I,,,,,,
1103982,2016-09-15,MDLZ,PELTZ NELSON,,0001209191-16-141672,2016-09-13,J,932925,42.7257,48018409,I,,,,,,
1103982,2016-09-15,MDLZ,PELTZ NELSON,,0001209191-16-141672,2016-09-14,X,201075,27.6896,48219484,I,,,,,,
1103982,2016-09-15,MDLZ,PELTZ NELSON,,0001209191-16-141672,2016-09-14,J,201075,42.6152,48018409,I,,,,,,
1103982,2016-11-03,MDLZ,PELTZ NELSON,,0001209191-16-148249,2016-11-03,X,140000,28.0233,44358409,I,,,,,,
1103982,2016-11-03,MDLZ,PELTZ NELSON,,0001209191-16-148249,2016-11-02,S,1300000,44.2191,45418409,I,,,,,,
1103982,2016-11-03,MDLZ,PELTZ NELSON,,0001209191-16-148249,2016-11-03,S,1200000,43.5836,44218409,I,,,,,,
1103982,2016-11-03,MDLZ,PELTZ NELSON,,0001209191-16-148249,2016-11-01,S,1297500,44.42,46720909,I,,,,,,
1103982,2016-11-03,MDLZ,PELTZ NELSON,,0001209191-16-148249,2016-11-03,J,140000,43.5091,44218409,I,,,,,,
1103982,2016-11-04,MDLZ,Brusadelli Maurizio,,0001209191-16-148404,2016-11-02,M,4080,19.2987,7971,I,,,,,,
1103982,2016-11-04,MDLZ,Brusadelli Maurizio,,0001209191-16-148404,2016-11-02,F,1780,44.47,6191,I,,,,,,
1103982,2016-11-14,MDLZ,BOOTH LEWIS W K,,0001209191-16-149716,2016-11-11,P,2500,41.61,34343,D,,,,,,
1103982,2017-01-04,MDLZ,Lorenzo Alejandro,,0001209191-17-000806,2017-01-02,F,982,44.85,55572,D,,,,,,
1103982,2017-02-03,MDLZ,Brusadelli Maurizio,,0001209191-17-007552,2016-04-01,D,740,0.0,3151,I,,,,,,
1103982,2017-02-10,MDLZ,Weber Hubert,,0001209191-17-009521,2017-02-09,M,18130,27.05,122326,D,,,,,,
1103982,2017-02-10,MDLZ,BUNCH CHARLES E,,0001209191-17-009516,2017-02-09,P,2000,44.95,8742,D,,,,,,
