cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1326801,2016-06-02,FB,Koum Jan,,0001127602-16-054557,2016-06-01,S,162590,118.5229,24130902,I,non_derivative,Class A Common Stock,,,,
1326801,2016-06-02,FB,Schroepfer Michael Todd,,0001127602-16-054562,2016-06-01,C,20000,1.854,579862,D,non_derivative,Class A Common Stock,,,,
1326801,2016-06-02,FB,Schroepfer Michael Todd,,0001127602-16-054562,2016-06-01,S,20000,118.45,559862,D,non_derivative,Class A Common Stock,,,,
1326801,2016-06-02,FB,Schroepfer Michael Todd,,0001127602-16-054562,2016-06-01,M,20000,0.0,138130,D,derivative,Stock Option (Right to Buy Class B Common Stock),Class B Common Stock,20000.0,1.854,2019-01-11
1326801,2016-06-02,FB,Schroepfer Michael Todd,,0001127602-16-054562,2016-06-01,M,20000,0.0,20000,D,derivative,Class B Common Stock,Class A Common Stock,20000.0,,
1326801,2016-06-02,FB,Schroepfer Michael Todd,,0001127602-16-054562,2016-06-01,C,20000,0.0,0,D,derivative,Class B Common Stock,Class A Common Stock,20000.0,,
1326801,2016-06-02,FB,Wehner David M.,,0001127602-16-054561,2016-05-31,S,5265,119.9,58389,D,non_derivative,Class A Common Stock,,,,
1326801,2016-06-02,FB,Cox Christopher K,,0001127602-16-054559,2016-05-31,S,10098,118.6949,412851,D,non_derivative,Class A Common Stock,,,,
1326801,2016-06-02,FB,Koum Jan,,0001127602-16-054557,2016-05-31,S,1142847,118.6372,24585175,I,non_derivative,Class A Common Stock,,,,
1326801,2016-06-10,FB,Sandberg Sheryl,,0001127602-16-055361,2016-06-08,M,52404,0.0,3080768,D,derivative,Stock Option (Right to Buy Class B Common Stock),Class B Common Stock,52404.0,10.388,2020-07-22
1326801,2016-06-10,FB,Sandberg Sheryl,,0001127602-16-055361,2016-06-08,C,52404,10.388,4866440,D,non_derivative,Class A Common Stock,,,,
1326801,2016-06-10,FB,Sandberg Sheryl,,0001127602-16-055361,2016-06-08,C,52404,0.0,0,D,derivative,Class B Common Stock,Class A Common Stock,52404.0,,
1326801,2016-06-10,FB,Sandberg Sheryl,,0001127602-16-055361,2016-06-08,S,20754,117.8439,4845686,D,non_derivative,Class A Common Stock,,,,
1326801,2016-06-10,FB,Sandberg Sheryl,,0001127602-16-055361,2016-06-08,M,52404,0.0,52404,D,derivative,Class B Common Stock,Class A Common Stock,52404.0,,
1326801,2016-06-15,FB,FISCHER DAVID B.,,0001127602-16-055597,2016-06-13,S,13125,115.0,261356,D,non_derivative,Class A Common Stock,,,,
1326801,2016-06-15,FB,Cox Christopher K,,0001127602-16-055596,2016-06-13,S,15600,115.0,391749,D,non_derivative,Class A Common Stock,,,,
1326801,2016-06-15,FB,FISCHER DAVID B.,,0001127602-16-055597,2016-06-14,S,10500,114.07,250856,D,non_derivative,Class A Common Stock,,,,
1326801,2016-06-15,FB,Schroepfer Michael Todd,,0001127602-16-055598,2016-06-14,S,20000,114.07,559862,D,non_derivative,Class A Common Stock,,,,
1326801,2016-06-15,FB,Koum Jan,,0001127602-16-055595,2016-06-13,S,582269,113.9307,23424317,I,non_derivative,Class A Common Stock,,,,
1326801,2016-06-15,FB,Schroepfer Michael Todd,,0001127602-16-055598,2016-06-14,M,20000,0.0,118130,D,derivative,Stock Option (Right to Buy Class B Common Stock),Class B Common Stock,20000.0,1.854,2019-01-11
1326801,2016-06-15,FB,Schroepfer Michael Todd,,0001127602-16-055598,2016-06-14,C,20000,1.854,579862,D,non_derivative,Class A Common Stock,,,,
1326801,2016-06-15,FB,Schroepfer Michael Todd,,0001127602-16-055598,2016-06-14,C,20000,0.0,0,D,derivative,Class B Common Stock,Class A Common Stock,20000.0,,
1326801,2016-06-15,FB,Schroepfer Michael Todd,,0001127602-16-055598,2016-06-14,M,20000,0.0,20000,D,derivative,Class B Common Stock,Class A Common Stock,20000.0,,
1326801,2016-06-17,FB,Koum Jan,,0001127602-16-055831,2016-06-15,S,267372,115.0947,22304684,I,non_derivative,Class A Common Stock,,,,
1326801,2016-06-17,FB,Cox Christopher K,,0001127602-16-055832,2016-06-15,M,11371,0.0,11371,D,derivative,Class B Common Stock,Class A Common Stock,11371.0,,
1326801,2016-06-17,FB,Cox Christopher K,,0001127602-16-055832,2016-06-15,M,11371,0.0,159186,D,derivative,Restricted Stock Unit (RSU) (Class B),Class B Common Stock,11371.0,,2019-08-25
1326801,2016-06-17,FB,Cox Christopher K,,0001127602-16-055832,2016-06-15,C,11371,0.0,0,D,derivative,Class B Common Stock,Class A Common Stock,11371.0,,
1326801,2016-06-17,FB,Cox Christopher K,,0001127602-16-055832,2016-06-15,C,11371,0.0,403120,D,non_derivative,Class A Common Stock,,,,
1326801,2016-06-17,FB,Cox Christopher K,,0001127602-16-055832,2016-06-15,S,5334,114.7919,397786,D,non_derivative,Class A Common Stock,,,,
