cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
789570,2019-05-03,MGM,Swartz Janet,,0001127602-19-017341,2019-05-01,M,4880.0,0.0,5931.0,D,,,,,,
789570,2019-05-03,MGM,Mckinney-James Rose,,0001127602-19-017332,2019-05-01,M,3416.0,0.0,7286.0,D,,,,,,
789570,2019-05-03,MGM,HERMAN ALEXIS,,0001127602-19-017318,2019-05-01,M,4880.0,0.0,4880.0,D,,,,,,
789570,2019-05-03,MGM,GAY MARY CHRISTINE,,0001127602-19-017314,2019-05-01,M,4880.0,0.0,22916.0,D,,,,,,
789570,2019-05-10,MGM,SALEM PAUL J,,0001127602-19-018172,2019-05-08,P,800000.0,25.4028,800000.0,D,,,,,,
789570,2019-06-07,MGM,Meister Keith A.,,0000899243-19-016035,2019-06-05,P,1139138.0,25.82,16831910.0,I,,,,,,
789570,2019-06-07,MGM,Meister Keith A.,,0000899243-19-016035,2019-06-06,P,953821.0,26.379,17785731.0,I,,,,,,
789570,2019-06-07,MGM,Meister Keith A.,,0000899243-19-016035,2019-06-07,P,781619.0,26.4468,18567350.0,I,,,,,,
789570,2019-06-12,MGM,Meister Keith A.,,0000899243-19-016656,2019-06-12,P,165093.0,27.7862,19203685.0,I,,,,,,
789570,2019-06-12,MGM,Meister Keith A.,,0000899243-19-016656,2019-06-10,P,264889.0,27.5816,18832239.0,I,,,,,,
789570,2019-06-12,MGM,Meister Keith A.,,0000899243-19-016656,2019-06-11,P,206353.0,27.9719,19038592.0,I,,,,,,
789570,2019-06-17,MGM,Meister Keith A.,,0000899243-19-017234,2019-06-13,P,186947.0,27.8531,19390632.0,I,,,,,,
789570,2019-06-17,MGM,Meister Keith A.,,0000899243-19-017234,2019-06-14,P,137021.0,27.6116,19527653.0,I,,,,,,
