cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
851968,2016-01-06,MHK,BRUCKMANN BRUCE,,0000851968-16-000110,2016-01-04,A,471.0,0.0,281547,D,,,,,,
851968,2016-01-06,MHK,FIEDLER JOHN F,,0000851968-16-000109,2016-01-04,A,471.0,0.0,10882,D,,,,,,
851968,2016-01-06,MHK,ILL RICHARD C,,0000851968-16-000108,2016-01-04,A,471.0,0.0,5480,D,,,,,,
851968,2016-01-06,MHK,SMITH- PILKINGTON KAREN A,,0000851968-16-000106,2016-01-04,A,471.0,0.0,5840,D,,,,,,
851968,2016-01-06,MHK,RUNGE WILLIAM HENRY III,,0000851968-16-000105,2016-01-04,A,471.0,0.0,1059,D,,,,,,
851968,2016-02-23,MHK,Turner John C JR,,0000851968-16-000114,2016-02-22,F,1375.0,166.47,24439,D,,,,,,
851968,2016-02-23,MHK,Carson Brian,,0000851968-16-000113,2016-02-22,F,1670.0,166.47,215,D,,,,,,
851968,2016-02-23,MHK,Brunk James,,0000851968-16-000112,2016-02-21,F,100.0,165.68,5118,D,,,,,,
851968,2016-02-23,MHK,Brunk James,,0000851968-16-000112,2016-02-22,F,125.0,166.47,185,D,,,,,,
851968,2016-03-01,MHK,Turner John C JR,,0000851968-16-000122,2016-02-29,S,3625.0,181.5398,20814,D,,,,,,
851968,2016-03-03,MHK,Carson Brian,,0000851968-16-000124,2016-03-01,A,7039.0,0.0,36386,D,,,,,,
851968,2016-03-03,MHK,Boykin Frank H,,0000851968-16-000123,2016-03-02,G,215.0,0.0,38638,D,,,,,,
851968,2016-03-03,MHK,De Cock Frans Georges,,0000851968-16-000125,2016-03-01,A,2000.0,0.0,8000,D,,,,,,
851968,2016-03-03,MHK,LORBERBAUM JEFFREY S,,0000851968-16-000126,2016-03-01,A,17863.0,0.0,113116,D,,,,,,
