cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
63754,2019-10-07,MKC,Conway Michael Aaron,,0000063754-19-000177,2019-10-07,M,5000.0,78.83,9501.0,D,,,,,,
63754,2019-10-07,MKC,Conway Michael Aaron,,0000063754-19-000177,2019-10-07,S,5000.0,168.5949,4501.0,D,,,,,,
63754,2019-10-07,MKC,Manzone Lisa,,0000063754-19-000176,2019-10-03,M,2800.0,71.1,11260.0,D,,,,,,
63754,2019-10-07,MKC,Manzone Lisa,,0000063754-19-000176,2019-10-03,S,2800.0,167.0454,8460.0,D,,,,,,
63754,2019-10-31,MKC,Foley Brendan M,,0000063754-19-000183,2019-10-23,J,48.003,162.5663,13738.546,D,,,,,,
63754,2019-10-31,MKC,Foley Brendan M,,0000063754-19-000181,2019-10-23,J,48.003,162.5663,13738.546,D,,,,,,
63754,2019-11-14,MKC,Tapiero Jacques,,0000063754-19-000184,2019-10-21,J,29.339,162.5663,8396.848,D,,,,,,
63754,2019-11-14,MKC,HRABOWSKI FREEMAN A III,,0000063754-19-000186,2019-10-21,J,80.588,162.5663,42377.729,D,,,,,,
63754,2019-11-14,MKC,Swift Malcolm,,0000063754-19-000185,2019-10-21,J,68.069,162.5663,22907.56,D,,,,,,
63754,2019-11-14,MKC,PRESTON MARGARET M V,,0000063754-19-000189,2019-10-21,J,101.147,162.5663,32221.55,D,,,,,,
63754,2019-11-14,MKC,Smith Michael R,,0000063754-19-000187,2019-10-10,G,150.0,,2997.874,D,,,,,,
63754,2019-12-02,MKC,Smith Michael R,,0000063754-19-000202,2019-11-27,F,3377.0,167.565,24985.668,D,,,,,,
63754,2019-12-02,MKC,Schwartz Jeffery D,,0000063754-19-000201,2019-11-27,M,2337.0,,10074.0,D,,,,,,
63754,2019-12-02,MKC,Schwartz Jeffery D,,0000063754-19-000201,2019-11-27,F,1129.0,167.565,8945.0,D,,,,,,
63754,2019-12-02,MKC,Manzone Lisa,,0000063754-19-000204,2019-11-27,M,2337.0,,10797.0,D,,,,,,
63754,2019-12-02,MKC,Manzone Lisa,,0000063754-19-000204,2019-11-27,F,1126.0,167.565,9671.0,D,,,,,,
63754,2019-12-02,MKC,Kurzius Lawrence Erik,,0000063754-19-000203,2019-11-27,M,14020.0,,87208.0,D,,,,,,
63754,2019-12-02,MKC,Kurzius Lawrence Erik,,0000063754-19-000203,2019-11-27,F,6720.0,167.565,80488.0,D,,,,,,
63754,2019-12-02,MKC,Smith Michael R,,0000063754-19-000202,2019-11-27,M,7010.0,,28362.668,D,,,,,,
63754,2019-12-03,MKC,Foley Brendan M,,0000063754-19-000206,2019-12-01,F,1199.0,169.435,15039.546,D,,,,,,
63754,2019-12-03,MKC,Foley Brendan M,,0000063754-19-000206,2019-12-01,M,2500.0,,16238.546,D,,,,,,
63754,2020-01-03,MKC,Tapiero Jacques,,0000063754-20-000001,2020-01-02,M,248.9726,167.53,8645.8206,D,,,,,,
63754,2020-01-22,MKC,Foley Brendan M,,0000063754-20-000003,2020-01-20,A,3837.0,0.0,18932.814,D,,,,,,
63754,2020-01-22,MKC,Foley Brendan M,,0000063754-20-000003,2020-01-13,J,56.268,165.7172,15095.814,D,,,,,,
63754,2020-01-22,MKC,Manzone Lisa,,0000063754-20-000004,2020-01-20,A,1919.0,0.0,11590.0,D,,,,,,
