cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1278021,2016-01-20,MKTX,Themelis Nicholas,,0001012975-16-000928,2016-01-15,F,2183,101.77,71559,D,,,,,,
1278021,2016-01-20,MKTX,Themelis Nicholas,,0001012975-16-000928,2016-01-15,A,2446,0.0,72081,D,,,,,,
1278021,2016-01-20,MKTX,DELISE ANTONIO L,,0001012975-16-000925,2016-01-15,F,1203,101.77,53376,D,,,,,,
1278021,2016-01-20,MKTX,DELISE ANTONIO L,,0001012975-16-000925,2016-01-15,A,306,0.0,52630,D,,,,,,
1278021,2016-01-20,MKTX,McVey Richard M,,0001012975-16-000924,2016-01-15,F,6731,101.77,1087096,D,,,,,,
1278021,2016-01-20,MKTX,McVey Richard M,,0001012975-16-000924,2016-01-15,A,9033,0.0,1096129,D,,,,,,
1278021,2016-01-25,MKTX,Themelis Nicholas,,0001012975-16-000933,2016-01-22,A,8666,0.0,80747,D,,,,,,
1278021,2016-01-25,MKTX,DELISE ANTONIO L,,0001012975-16-000932,2016-01-22,A,5200,0.0,57830,D,,,,,,
1278021,2016-02-02,MKTX,DELISE ANTONIO L,,0001012975-16-000955,2016-01-31,F,257,116.23,59540,D,,,,,,
1278021,2016-02-02,MKTX,McVey Richard M,,0001012975-16-000954,2016-01-31,F,3812,116.23,1114419,D,,,,,,
1278021,2016-02-02,MKTX,McVey Richard M,,0001012975-16-000954,2016-01-29,A,22102,0.0,1118231,D,,,,,,
1278021,2016-02-02,MKTX,Themelis Nicholas,,0001012975-16-000956,2016-01-29,A,5900,0.0,86647,D,,,,,,
1278021,2016-02-02,MKTX,DELISE ANTONIO L,,0001012975-16-000955,2016-01-29,A,1967,0.0,59797,D,,,,,,
1278021,2016-02-02,MKTX,Themelis Nicholas,,0001012975-16-000956,2016-01-31,F,954,116.23,85693,D,,,,,,
