cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
916076,2016-02-05,MLM,Nye C Howard,,0001127602-16-039821,2016-02-04,A,4666.0,99.528,106397.0,D,,,,,,
916076,2016-02-05,MLM,McCunniff Donald A.,,0001127602-16-039709,2016-02-04,A,481.0,99.528,15542.0,D,,,,,,
916076,2016-02-05,MLM,LLOYD ANNE H,,0001127602-16-039707,2016-02-04,A,1003.0,99.528,55852.0,D,,,,,,
916076,2016-02-05,MLM,Guzzo Dana F.,,0001127602-16-039704,2016-02-04,A,549.0,99.528,14854.0,D,,,,,,
916076,2016-02-05,MLM,Grant Daniel L.,,0001127602-16-039702,2016-02-04,A,680.0,99.528,10589.0,D,,,,,,
916076,2016-02-05,MLM,BAR ROSELYN R,,0001127602-16-039699,2016-02-04,A,757.0,99.528,42614.0,D,,,,,,
916076,2016-02-24,MLM,VINROOT RICHARD A,,0001127602-16-043095,2016-02-23,M,3000.0,0.0,18718.0,D,,,,,,
916076,2016-02-24,MLM,VINROOT RICHARD A,,0001127602-16-043095,2016-02-23,S,3000.0,138.6973,15718.0,D,,,,,,
916076,2016-03-02,MLM,COLE SUE W,,0001127602-16-044372,2016-02-29,A,237.0,114.1,18853.0,D,,,,,,
916076,2016-03-02,MLM,MAFFUCCI DAVID G,,0001127602-16-044375,2016-02-29,A,53.0,114.1,16745.0,D,,,,,,
916076,2016-03-02,MLM,MCDONALD WILLIAM E,,0001127602-16-044377,2016-02-29,A,237.0,114.1,16703.0,D,,,,,,
916076,2016-03-02,MLM,MENAKER FRANK H JR,,0001127602-16-044381,2016-03-01,S,3000.0,147.6977,20576.0,D,,,,,,
916076,2016-03-02,MLM,MENAKER FRANK H JR,,0001127602-16-044381,2016-03-01,M,3000.0,0.0,23576.0,D,,,,,,
916076,2016-03-02,MLM,MENAKER FRANK H JR,,0001127602-16-044381,2016-02-29,A,231.0,114.1,20576.0,D,,,,,,
916076,2016-03-02,MLM,PEREZ LAREE E,,0001127602-16-044383,2016-02-29,A,50.0,114.1,12663.0,D,,,,,,
916076,2016-03-02,MLM,PEREZ LAREE E,,0001127602-16-044383,2016-02-29,S,3000.0,143.3534,12613.0,D,,,,,,
916076,2016-03-02,MLM,PEREZ LAREE E,,0001127602-16-044383,2016-02-29,M,3000.0,0.0,15613.0,D,,,,,,
916076,2016-03-02,MLM,Quillen Michael J,,0001127602-16-044385,2016-02-29,A,274.0,114.1,14687.0,D,,,,,,
916076,2016-03-02,MLM,REDIKER DENNIS L,,0001127602-16-044387,2016-02-29,A,47.0,114.1,15795.0,D,,,,,,
916076,2016-03-02,MLM,VINROOT RICHARD A,,0001127602-16-044389,2016-02-29,A,237.0,114.1,15955.0,D,,,,,,
916076,2016-03-02,MLM,ZELNAK STEPHEN P JR,,0001127602-16-044391,2016-02-29,A,110.0,114.1,36058.0,D,,,,,,
916076,2016-03-04,MLM,MCDONALD WILLIAM E,,0001127602-16-044998,2016-03-03,M,3000.0,0.0,19703.0,D,,,,,,
916076,2016-03-04,MLM,MCDONALD WILLIAM E,,0001127602-16-044998,2016-03-03,S,3000.0,148.0386,16703.0,D,,,,,,
916076,2016-03-09,MLM,ZELNAK STEPHEN P JR,,0001127602-16-045623,2016-03-07,M,10000.0,0.0,46058.0,D,,,,,,
916076,2016-03-09,MLM,ZELNAK STEPHEN P JR,,0001127602-16-045623,2016-03-07,S,10000.0,153.6611,36058.0,D,,,,,,
916076,2016-05-12,MLM,ZELNAK STEPHEN P JR,,0001127602-16-051921,2016-05-10,S,10953.0,187.1437,36058.0,D,,,,,,
916076,2016-05-12,MLM,BAR ROSELYN R,,0001127602-16-051925,2016-05-11,F,1035.0,187.85,52305.0,D,,,,,,
916076,2016-05-12,MLM,ZELNAK STEPHEN P JR,,0001127602-16-051921,2016-05-10,M,12500.0,0.0,48558.0,D,,,,,,
916076,2016-05-12,MLM,Guzzo Dana F.,,0001127602-16-051923,2016-05-11,S,879.0,187.641,16022.0,D,,,,,,
916076,2016-05-12,MLM,Guzzo Dana F.,,0001127602-16-051923,2016-05-11,F,121.0,185.54,16901.0,D,,,,,,
916076,2016-05-12,MLM,Guzzo Dana F.,,0001127602-16-051923,2016-05-11,M,1000.0,0.0,17022.0,D,,,,,,
916076,2016-05-12,MLM,BAR ROSELYN R,,0001127602-16-051925,2016-05-11,S,7342.0,187.9686,44963.0,D,,,,,,
916076,2016-05-12,MLM,ZELNAK STEPHEN P JR,,0001127602-16-051921,2016-05-10,F,1547.0,180.195,47011.0,D,,,,,,
916076,2016-05-12,MLM,BAR ROSELYN R,,0001127602-16-051925,2016-05-11,M,8377.0,0.0,53340.0,D,,,,,,
916076,2016-05-13,MLM,Nye C Howard,,0001127602-16-052142,2016-05-12,M,15707.0,0.0,132774.0,D,,,,,,
916076,2016-05-13,MLM,Nye C Howard,,0001127602-16-052142,2016-05-12,F,2348.0,186.72,130426.0,D,,,,,,
916076,2016-05-13,MLM,Nye C Howard,,0001127602-16-052142,2016-05-12,S,13359.0,186.9481,117067.0,D,,,,,,
916076,2016-05-16,MLM,COLE SUE W,,0001127602-16-052238,2016-05-12,M,3000.0,0.0,21853.0,D,,,,,,
916076,2016-05-16,MLM,COLE SUE W,,0001127602-16-052238,2016-05-12,S,3000.0,187.4361,18853.0,D,,,,,,
916076,2016-05-18,MLM,LLOYD ANNE H,,0001127602-16-052644,2016-05-16,M,10263.0,0.0,68624.0,D,,,,,,
916076,2016-05-18,MLM,LLOYD ANNE H,,0001127602-16-052644,2016-05-16,F,1232.0,184.75,67392.0,D,,,,,,
916076,2016-05-18,MLM,LLOYD ANNE H,,0001127602-16-052644,2016-05-16,S,9031.0,186.7579,58361.0,D,,,,,,
916076,2016-05-23,MLM,ZELNAK STEPHEN P JR,,0001127602-16-053053,2016-05-19,A,541.0,0.0,36599.0,D,,,,,,
916076,2016-05-23,MLM,SLAGER DONALD W,,0001127602-16-053051,2016-05-19,A,541.0,0.0,541.0,D,,,,,,
916076,2016-05-23,MLM,REDIKER DENNIS L,,0001127602-16-053049,2016-05-19,A,541.0,0.0,16336.0,D,,,,,,
916076,2016-05-23,MLM,Quillen Michael J,,0001127602-16-053047,2016-05-19,A,541.0,0.0,15228.0,D,,,,,,
916076,2016-05-23,MLM,PEREZ LAREE E,,0001127602-16-053045,2016-05-19,A,541.0,0.0,13204.0,D,,,,,,
916076,2016-05-23,MLM,MCDONALD WILLIAM E,,0001127602-16-053043,2016-05-19,A,541.0,0.0,17244.0,D,,,,,,
916076,2016-05-23,MLM,MAFFUCCI DAVID G,,0001127602-16-053041,2016-05-19,A,541.0,0.0,17286.0,D,,,,,,
916076,2016-05-23,MLM,COLE SUE W,,0001127602-16-053038,2016-05-19,A,541.0,0.0,19394.0,D,,,,,,
916076,2016-05-25,MLM,Guzzo Dana F.,,0001127602-16-053319,2016-05-24,S,213.0,189.2,15734.0,D,,,,,,
916076,2016-05-25,MLM,Guzzo Dana F.,,0001127602-16-053319,2016-05-24,F,31.0,188.79,15947.0,D,,,,,,
916076,2016-05-25,MLM,BAR ROSELYN R,,0001127602-16-053316,2016-05-23,F,811.0,188.79,44152.0,D,,,,,,
916076,2016-05-25,MLM,Guzzo Dana F.,,0001127602-16-053319,2016-05-24,M,244.0,0.0,15978.0,D,,,,,,
916076,2016-05-25,MLM,Guzzo Dana F.,,0001127602-16-053319,2016-05-23,F,288.0,188.79,15734.0,D,,,,,,
916076,2016-05-25,MLM,McCunniff Donald A.,,0001127602-16-053326,2016-05-23,F,534.0,188.79,16479.0,D,,,,,,
916076,2016-05-25,MLM,Nye C Howard,,0001127602-16-053328,2016-05-23,F,3453.0,188.79,113614.0,D,,,,,,
916076,2016-05-25,MLM,LLOYD ANNE H,,0001127602-16-053324,2016-05-23,F,1160.0,188.79,57201.0,D,,,,,,
