cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership
0000062709,2017-02-16,MMC,MILLS STEVEN A,,0001127602-17-006599,2017-02-15,A,470,71.71,27874.75,D
0000062709,2017-02-24,MMC,Gilbert E Scott,,0001127602-17-008207,2017-02-22,M,41474,0,74987,D
0000062709,2017-02-24,MMC,Gilbert E Scott,,0001127602-17-008207,2017-02-22,S,41474,72.769,33513,D
0000062709,2017-03-02,MMC,Zaffino Peter,,0001127602-17-009723,2017-02-28,M,36030,0,179446,D
0000062709,2017-03-02,MMC,Zaffino Peter,,0001127602-17-009723,2017-02-28,F,18108,73.28,161338,D
0000062709,2017-03-02,MMC,RAPPORT ROBERT J,,0001127602-17-009718,2017-02-28,M,3114,0,29035.854,D
0000062709,2017-03-02,MMC,RAPPORT ROBERT J,,0001127602-17-009718,2017-02-28,F,1264,73.28,27771.854,D
0000062709,2017-03-02,MMC,Portalatin Julio A,,0001127602-17-009713,2017-02-28,M,23560,0,73801,D
0000062709,2017-03-02,MMC,Portalatin Julio A,,0001127602-17-009713,2017-02-28,F,12218,73.28,61583,D
0000062709,2017-03-02,MMC,MCGIVNEY MARK C,,0001127602-17-009710,2017-02-28,M,11040,0,34391,D
0000062709,2017-03-02,MMC,MCGIVNEY MARK C,,0001127602-17-009710,2017-02-28,F,5726,73.28,28665,D
0000062709,2017-03-02,MMC,McDonald Scott,,0001127602-17-009706,2017-02-28,M,12436,0,44048.1498,D
0000062709,2017-03-02,MMC,McDonald Scott,,0001127602-17-009706,2017-02-28,F,5846,73.28,38202.1498,D
0000062709,2017-03-02,MMC,Ledford Laurie,,0001127602-17-009703,2017-02-28,M,10109,0,35402.5441,D
0000062709,2017-03-02,MMC,Ledford Laurie,,0001127602-17-009703,2017-02-28,F,5346,73.28,30056.5441,D
0000062709,2017-03-02,MMC,Glaser Daniel S,,0001127602-17-009700,2017-02-28,M,98561,0,378172.9999,D
0000062709,2017-03-02,MMC,Glaser Daniel S,,0001127602-17-009700,2017-02-28,F,55018,73.28,323154.9999,D
