cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
66740,2018-02-01,MMM,THULIN INGE G,,0001127602-18-003314,2018-01-31,S,10.0,252.28,194322.9578,D,,,,,,
66740,2018-02-01,MMM,THULIN INGE G,,0001127602-18-003304,2018-01-31,S,10.0,251.94,199760.9578,D,,,,,,
66740,2018-02-01,MMM,THULIN INGE G,,0001127602-18-003275,2018-01-31,S,200.0,251.6,218436.9578,D,,,,,,
66740,2018-02-01,MMM,THULIN INGE G,,0001127602-18-003263,2018-01-31,M,59584.0,54.11,253872.9578,D,,,,,,
66740,2018-02-01,MMM,THULIN INGE G,,0001127602-18-003263,2018-01-31,S,23375.0,251.07,230497.9578,D,,,,,,
66740,2018-02-02,MMM,Shin Hak Cheol,,0001127602-18-003538,2018-02-01,S,200.0,248.54,88448.2827,D,,,,,,
66740,2018-02-02,MMM,Shin Hak Cheol,,0001127602-18-003544,2018-02-01,S,800.0,249.11,81556.2827,D,,,,,,
66740,2018-02-02,MMM,Gangestad Nicholas C,,0001127602-18-003569,2018-02-01,G,1500.0,0.0,20380.7373,D,,,,,,
66740,2018-02-02,MMM,Keel Paul A,,0001127602-18-003611,2018-02-01,M,13480.0,54.11,19009.4529,D,,,,,,
66740,2018-02-02,MMM,Keel Paul A,,0001127602-18-003611,2018-02-01,S,5486.0,246.83,13523.4529,D,,,,,,
66740,2018-02-02,MMM,Keel Paul A,,0001127602-18-003611,2018-02-01,G,200.0,0.0,5529.4529,D,,,,,,
66740,2018-02-02,MMM,Shin Hak Cheol,,0001127602-18-003547,2018-02-01,S,200.0,249.62,74142.2827,D,,,,,,
66740,2018-02-02,MMM,Shin Hak Cheol,,0001127602-18-003535,2018-02-01,S,100.0,248.12,96021.2827,D,,,,,,
66740,2018-02-02,MMM,Vrohidis Ippocratis,,0001127602-18-003601,2018-02-01,M,225.0,101.49,230.0847,D,,,,,,
66740,2018-02-02,MMM,Gangestad Nicholas C,,0001127602-18-003569,2018-02-01,S,1681.0,249.7596,21880.7373,D,,,,,,
66740,2018-02-02,MMM,Shin Hak Cheol,,0001127602-18-003530,2018-02-01,S,400.0,247.77,104521.2827,D,,,,,,
66740,2018-02-02,MMM,Shin Hak Cheol,,0001127602-18-003526,2018-02-01,S,400.0,247.4,111320.2827,D,,,,,,
66740,2018-02-02,MMM,Shin Hak Cheol,,0001127602-18-003523,2018-02-01,M,58772.0,54.11,120105.2827,D,,,,,,
66740,2018-02-02,MMM,Shin Hak Cheol,,0001127602-18-003523,2018-02-01,S,300.0,246.955,119805.2827,D,,,,,,
66740,2018-02-02,MMM,Shin Hak Cheol,,0001127602-18-003553,2018-02-01,S,100.0,249.91,63133.2827,D,,,,,,
66740,2018-02-02,MMM,Gangestad Nicholas C,,0001127602-18-003569,2018-02-01,M,1681.0,78.72,23561.7373,D,,,,,,
66740,2018-02-02,MMM,Vrohidis Ippocratis,,0001127602-18-003601,2018-02-01,S,100.0,249.6704,130.0847,D,,,,,,
66740,2018-02-05,MMM,Bauman James L,,0001127602-18-003948,2018-02-02,S,1376.0,247.92,14065.94,D,,,,,,
66740,2018-02-05,MMM,Bauman James L,,0001127602-18-003940,2018-02-02,M,11660.0,54.11,24275.94,D,,,,,,
66740,2018-02-05,MMM,Bauman James L,,0001127602-18-003940,2018-02-02,S,989.0,246.84,23286.94,D,,,,,,
66740,2018-02-06,MMM,Vale Michael G.,,0001127602-18-004234,2018-02-02,M,3200.0,54.11,27081.0099,D,,,,,,
66740,2018-02-06,MMM,Roman Michael F,,0001127602-18-004239,2018-02-02,M,4146.0,77.18,16208.159,D,,,,,,
66740,2018-02-06,MMM,Roman Michael F,,0001127602-18-004239,2018-02-02,S,100.0,246.59,16108.159,D,,,,,,
66740,2018-02-06,MMM,Banovetz John Patrick,,0001127602-18-004227,2018-02-02,F,104.0,245.17,1928.4959,D,,,,,,
66740,2018-02-06,MMM,Vale Michael G.,,0001127602-18-004234,2018-02-02,S,3200.0,246.98,23881.0099,D,,,,,,
66740,2018-02-06,MMM,Banovetz John Patrick,,0001127602-18-004227,2018-02-02,M,204.0,245.17,2032.4959,D,,,,,,
66740,2018-02-06,MMM,PAGE GREGORY R,,0001127602-18-004347,2018-02-06,A,69.0,0.0,2537.0,I,,,,,,
66740,2018-02-06,MMM,HENKEL HERBERT L,,0001127602-18-004306,2018-02-06,A,138.0,0.0,31841.0,I,,,,,,
