cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
865752,2016-03-16,MNST,SACKS RODNEY C,,0001140361-16-058002,2015-12-30,G,6700,0.0,1582122,D,,,,,,
865752,2016-03-16,MNST,SACKS RODNEY C,,0001140361-16-058002,2016-03-14,A,2000,0.0,1584122,D,,,,,,
865752,2016-03-16,MNST,SACKS RODNEY C,,0001140361-16-058002,2016-03-14,M,12700,,1596822,D,,,,,,
865752,2016-03-16,MNST,SACKS RODNEY C,,0001140361-16-058002,2016-03-14,F,7117,131.96,1589705,D,,,,,,
865752,2016-03-16,MNST,SCHLOSBERG HILTON H,,0001140361-16-058000,2016-03-14,A,2000,0.0,1562020,D,,,,,,
865752,2016-03-16,MNST,SCHLOSBERG HILTON H,,0001140361-16-058000,2016-03-14,M,12700,,1574720,D,,,,,,
865752,2016-03-16,MNST,SCHLOSBERG HILTON H,,0001140361-16-058000,2016-03-14,F,7117,131.96,1567603,D,,,,,,
865752,2016-03-23,MNST,SCHLOSBERG HILTON H,,0001140361-16-058871,2016-03-21,J,84859,,1482744,D,,,,,,
865752,2016-03-23,MNST,SCHLOSBERG HILTON H,,0001140361-16-058871,2016-03-22,G,207350,0.0,1690094,D,,,,,,
865752,2016-03-23,MNST,SACKS RODNEY C,,0001140361-16-058869,2016-03-21,J,84859,,1504846,D,,,,,,
865752,2016-03-23,MNST,SACKS RODNEY C,,0001140361-16-058869,2016-03-22,G,207350,0.0,1714196,D,,,,,,
865752,2016-06-03,MNST,KELLY THOMAS J,,0001140361-16-068386,2016-06-01,M,1500,,15717,D,,,,,,
865752,2016-06-14,MNST,POLK BENJAMIN,,0001140361-16-069778,2016-06-13,M,972,,7936,D,,,,,,
865752,2016-06-14,MNST,Selati Sydney,,0001140361-16-069779,2016-06-13,M,972,,18172,D,,,,,,
865752,2016-06-14,MNST,TABER HAROLD C JR,,0001140361-16-069780,2016-06-13,M,972,,29656,D,,,,,,
865752,2016-06-14,MNST,FAYARD GARY P,,0001140361-16-069777,2016-06-13,M,972,,972,D,,,,,,
865752,2016-06-14,MNST,Waller Kathy N,,0001140361-16-069782,2016-06-13,M,972,,972,D,,,,,,
865752,2016-06-14,MNST,EPSTEIN NORMAN,,0001140361-16-069776,2016-06-13,M,972,,6271,D,,,,,,
865752,2016-06-14,MNST,Selati Sydney,,0001140361-16-069779,2015-11-16,G,201,0.0,17200,D,,,,,,
865752,2016-06-14,MNST,TABER HAROLD C JR,,0001140361-16-069780,2016-06-10,S,3000,153.65,30684,D,,,,,,
865752,2016-06-14,MNST,VIDERGAUZ MARK,,0001140361-16-069781,2016-06-13,M,972,,21460,D,,,,,,
865752,2016-06-17,MNST,SCHLOSBERG HILTON H,,0001140361-16-070194,2016-06-15,S,440495,156.0,1305501,D,,,,,,
865752,2016-06-17,MNST,SACKS RODNEY C,,0001140361-16-070193,2016-05-09,G,30955,0.0,1799053,D,,,,,,
865752,2016-06-17,MNST,SACKS RODNEY C,,0001140361-16-070193,2016-06-15,S,877005,156.0,922048,D,,,,,,
865752,2016-08-05,MNST,SACKS RODNEY C,,0001140361-16-075078,2016-08-03,J,15147,0.0,665764,I,,,,,,
865752,2016-08-11,MNST,KELLY THOMAS J,,0001140361-16-075790,2016-08-09,S,10000,159.66,5717,D,,,,,,
865752,2016-09-06,MNST,HALL MARK J,,0001140361-16-078871,2016-09-01,G,5000,0.0,263936,D,,,,,,
865752,2016-09-06,MNST,HALL MARK J,,0001140361-16-078871,2016-09-01,M,5000,,268936,D,,,,,,
865752,2016-10-14,MNST,SCHLOSBERG HILTON H,,0001140361-16-082784,2016-10-13,G,374865,0.0,1046772,D,,,,,,
865752,2016-10-14,MNST,SCHLOSBERG HILTON H,,0001140361-16-082784,2016-09-06,G,9574,0.0,480318,I,,,,,,
865752,2016-10-14,MNST,SACKS RODNEY C,,0001140361-16-082783,2016-10-03,G,569,0.0,921479,D,,,,,,
865752,2016-10-14,MNST,SACKS RODNEY C,,0001140361-16-082783,2016-10-13,G,374865,0.0,546614,D,,,,,,
865752,2016-12-05,MNST,KELLY THOMAS J,,0001140361-16-088834,2016-12-01,M,1500,,18651,D,,,,,,
865752,2017-02-03,MNST,Selati Sydney,,0001140361-17-004352,2016-09-06,G,516,0.0,54000,D,,,,,,
865752,2017-03-08,MNST,Selati Sydney,,0001140361-17-010984,2017-03-06,S,4000,47.1451,50000,D,,,,,,
865752,2017-03-10,MNST,TABER HAROLD C JR,,0001140361-17-011672,2017-03-10,S,5000,47.004,65001,D,,,,,,
865752,2017-03-10,MNST,TABER HAROLD C JR,,0001140361-17-011672,2017-03-08,S,10000,47.1183,70001,D,,,,,,
865752,2017-03-13,MNST,HALL MARK J,,0001140361-17-011831,2017-03-13,M,240000,5.94,1031808,D,,,,,,
865752,2017-03-13,MNST,HALL MARK J,,0001140361-17-011831,2017-03-13,S,487500,46.341,791808,D,,,,,,
865752,2017-03-15,MNST,SACKS RODNEY C,,0001140361-17-012198,2017-03-13,M,38100,,1677942,D,,,,,,
865752,2017-03-15,MNST,SACKS RODNEY C,,0001140361-17-012198,2017-03-14,A,5910,0.0,1683852,D,,,,,,
865752,2017-03-15,MNST,SACKS RODNEY C,,0001140361-17-012198,2017-03-14,M,39000,,1722852,D,,,,,,
865752,2017-03-15,MNST,SCHLOSBERG HILTON H,,0001140361-17-012197,2017-03-13,M,38100,,3178416,D,,,,,,
865752,2017-03-15,MNST,SCHLOSBERG HILTON H,,0001140361-17-012197,2017-03-14,A,5910,0.0,3184326,D,,,,,,
865752,2017-03-15,MNST,SCHLOSBERG HILTON H,,0001140361-17-012197,2017-03-14,M,39000,,3223326,D,,,,,,
865752,2017-06-05,MNST,KELLY THOMAS J,,0001140361-17-023749,2017-06-01,M,4500,,23151,D,,,,,,
865752,2017-06-20,MNST,Waller Kathy N,,0001140361-17-025632,2017-06-16,M,3237,,6153,D,,,,,,
865752,2017-06-20,MNST,VIDERGAUZ MARK,,0001140361-17-025631,2017-06-16,M,3237,,67617,D,,,,,,
865752,2017-06-20,MNST,TABER HAROLD C JR,,0001140361-17-025630,2017-06-16,M,3237,,68238,D,,,,,,
865752,2017-06-20,MNST,Selati Sydney,,0001140361-17-025629,2017-06-16,M,3237,,53237,D,,,,,,
865752,2017-06-20,MNST,FAYARD GARY P,,0001140361-17-025627,2017-06-16,M,3237,,6153,D,,,,,,
865752,2017-06-20,MNST,EPSTEIN NORMAN,,0001140361-17-025626,2017-06-16,M,3237,,22050,D,,,,,,
865752,2017-09-05,MNST,Selati Sydney,,0001140361-17-034362,2017-08-02,G,1237,0.0,52000,D,,,,,,
865752,2017-09-05,MNST,Selati Sydney,,0001140361-17-034362,2017-09-01,S,10000,56.0,42000,D,,,,,,
865752,2017-12-05,MNST,KELLY THOMAS J,,0001140361-17-044980,2017-12-01,M,1500,,24651,D,,,,,,
