cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1179929,2016-09-02,MOH,ROMNEY RONNA,,0001179929-16-000368,2016-09-02,S,250,55.0,22341.0,I,,,,,,
1179929,2016-09-14,MOH,Carruthers Garrey,,0001179929-16-000370,2016-09-13,S,1600,55.46,9508.0,D,,,,,,
1179929,2016-10-03,MOH,COOPERMAN DANIEL,,0001179929-16-000389,2016-10-01,A,943,58.32,17314.0,D,,,,,,
1179929,2016-10-03,MOH,ORLANDO STEVEN J,,0001179929-16-000388,2016-10-01,A,943,58.32,26821.0,I,,,,,,
1179929,2016-10-03,MOH,WOLF DALE B,,0001179929-16-000387,2016-10-01,A,943,58.32,19071.0,D,,,,,,
1179929,2016-10-03,MOH,Murray Frank E MD,,0001179929-16-000386,2016-10-01,A,943,58.32,12996.0,I,,,,,,
1179929,2016-10-03,MOH,Schapiro Richard M,,0001179929-16-000385,2016-10-01,A,943,58.32,6172.0,D,,,,,,
1179929,2016-10-03,MOH,Carruthers Garrey,,0001179929-16-000384,2016-10-01,A,943,58.32,10451.0,D,,,,,,
1179929,2016-10-03,MOH,ROMNEY RONNA,,0001179929-16-000383,2016-10-01,A,943,58.32,23284.0,I,,,,,,
1179929,2016-10-03,MOH,ROMNEY RONNA,,0001179929-16-000383,2016-10-03,S,250,57.91,23034.0,I,,,,,,
1179929,2016-10-03,MOH,FEDAK CHARLES Z,,0001179929-16-000382,2016-10-01,A,943,58.32,32971.0,D,,,,,,
1179929,2016-10-25,MOH,BAYER TERRY,,0001179929-16-000391,2016-10-24,S,7825,60.0,160758.5,D,,,,,,
1179929,2016-10-25,MOH,MOLINA JOHN C,,0001209191-16-146915,2016-10-24,S,25014,60.0,568225.0,D,,,,,,
1179929,2016-11-08,MOH,ROMNEY RONNA,,0001179929-16-000401,2016-11-07,S,250,55.0,22784.0,I,,,,,,
1179929,2016-11-08,MOH,WOLF DALE B,,0001179929-16-000400,2016-11-07,S,3000,57.63,16071.0,D,,,,,,
1179929,2016-11-30,MOH,FEDAK CHARLES Z,,0001179929-16-000405,2016-11-30,S,4875,53.0571,28096.0,D,,,,,,
1179929,2016-12-13,MOH,ROMNEY RONNA,,0001179929-16-000410,2016-12-13,S,250,55.0,22534.0,I,,,,,,
1179929,2016-12-30,MOH,MOLINA J MARIO MD,,0001209191-16-157112,2016-09-15,G,13000,0.0,642140.0,I,,,,,,
1179929,2016-12-30,MOH,MOLINA J MARIO MD,,0001209191-16-157112,2016-11-09,G,10000,0.0,632140.0,I,,,,,,
1179929,2016-12-30,MOH,MOLINA J MARIO MD,,0001209191-16-157112,2016-11-28,G,40000,0.0,469184.0,I,,,,,,
1179929,2016-12-30,MOH,MOLINA JOHN C,,0001209191-16-157108,2016-12-15,G,9200,0.0,559025.0,D,,,,,,
1179929,2017-01-03,MOH,ROMNEY RONNA,,0001179929-17-000019,2017-01-01,A,1014,54.26,23548.0,I,,,,,,
1179929,2017-01-03,MOH,WOLF DALE B,,0001179929-17-000023,2017-01-01,A,1014,54.26,17085.0,D,,,,,,
1179929,2017-01-03,MOH,COOPERMAN DANIEL,,0001179929-17-000022,2017-01-01,A,1014,54.26,18328.0,D,,,,,,
1179929,2017-01-03,MOH,ORLANDO STEVEN J,,0001179929-17-000018,2017-01-01,A,1014,54.26,27835.0,I,,,,,,
1179929,2017-01-03,MOH,FEDAK CHARLES Z,,0001179929-17-000016,2017-01-01,A,1014,54.26,29110.0,D,,,,,,
1179929,2017-01-03,MOH,Schapiro Richard M,,0001179929-17-000020,2017-01-01,A,1014,54.26,7186.0,D,,,,,,
1179929,2017-01-03,MOH,WHITE JOSEPH W CPA,,0001179929-17-000021,2017-01-01,A,77,42.3555,102282.0,D,,,,,,
1179929,2017-01-03,MOH,Carruthers Garrey,,0001179929-17-000015,2017-01-01,A,1014,54.26,11465.0,D,,,,,,
1179929,2017-01-03,MOH,Murray Frank E MD,,0001179929-17-000017,2017-01-01,A,1014,54.26,14010.0,I,,,,,,
1179929,2017-01-18,MOH,WHITE JOSEPH W CPA,,0001179929-17-000031,2017-01-16,F,1101,58.47,101181.0,D,,,,,,
1179929,2017-01-18,MOH,BAYER TERRY,,0001179929-17-000030,2017-01-16,F,1840,58.47,158918.5,D,,,,,,
1179929,2017-01-18,MOH,Barlow Jeff D.,,0001179929-17-000029,2017-01-16,F,906,58.47,73217.0,D,,,,,,
1179929,2017-01-18,MOH,MOLINA JOHN C,,0001209191-17-004273,2017-01-16,F,2753,58.47,563371.0,D,,,,,,
1179929,2017-01-18,MOH,MOLINA J MARIO MD,,0001209191-17-004271,2017-01-16,F,7547,58.47,477471.0,I,,,,,,
1179929,2017-01-24,MOH,MOLINA JOHN C,,0001209191-17-005401,2017-01-20,S,9,60.0,563362.0,D,,,,,,
1179929,2017-03-02,MOH,MOLINA JOHN C,,0001209191-17-016814,2017-02-28,M,54000,20.88,595391.0,D,,,,,,
1179929,2017-03-03,MOH,MOLINA J MARIO MD,,0001209191-17-017914,2017-03-01,D,133056,49.4,386370.0,I,,,,,,
1179929,2017-03-03,MOH,MOLINA J MARIO MD,,0001209191-17-017914,2017-03-01,F,9971,49.4,525800.0,I,,,,,,
