cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1285785,2016-02-16,MOS,Johnson Denise C,,0001243786-16-000206,2016-02-16,P,775,23.049,775,D,,,,,,
1285785,2016-02-17,MOS,Popowich James L.,,0001243786-16-000210,2016-02-16,P,3000,23.5699,14577,D,,,,,,
1285785,2016-02-17,MOS,Gitzel Timothy S.,,0001243786-16-000209,2016-02-16,P,10000,23.35,10000,D,,,,,,
1285785,2016-02-18,MOS,Isaacson Mark J.,,0001243786-16-000212,2016-02-18,P,1000,25.347,9827,D,,,,,,
1285785,2016-02-19,MOS,LUMPKINS ROBERT L,,0001243786-16-000216,2016-02-17,P,2000,24.97,5031,I,,,,,,
1285785,2016-02-19,MOS,LUMPKINS ROBERT L,,0001243786-16-000216,2016-02-19,P,1000,24.57,6031,I,,,,,,
1285785,2016-02-19,MOS,MONAHAN WILLIAM T,,0001243786-16-000215,2016-02-18,P,4000,25.214,29323,D,,,,,,
1285785,2016-02-24,MOS,BRAUSEN ANTHONY T,,0001243786-16-000220,2016-02-22,M,7800,16.03,34691,D,,,,,,
1285785,2016-02-24,MOS,BRAUSEN ANTHONY T,,0001243786-16-000220,2016-02-22,S,7800,24.69,26891,D,,,,,,
1285785,2016-02-24,MOS,O'Rourke James Calvin,,0001243786-16-000219,2016-02-22,P,3000,24.9756,3000,I,,,,,,
1285785,2016-03-16,MOS,EBEL GREGORY L,,0001243786-16-000262,2016-03-14,P,9000,29.5617,13443,D,,,,,,
1285785,2016-05-16,MOS,MACK RICHARD L,,0001243786-16-000285,2016-05-13,S,27129,25.2328,95714,D,,,,,,
1285785,2016-05-16,MOS,MACK RICHARD L,,0001243786-16-000285,2016-05-14,F,3527,24.84,99503,D,,,,,,
1285785,2016-05-16,MOS,MACK RICHARD L,,0001243786-16-000285,2016-05-14,M,7316,0.0,103030,D,,,,,,
1285785,2016-05-16,MOS,MACK RICHARD L,,0001243786-16-000285,2016-05-12,M,9500,15.45,94524,D,,,,,,
1285785,2016-05-16,MOS,MACK RICHARD L,,0001243786-16-000285,2016-05-13,M,37819,15.45,122843,D,,,,,,
1285785,2016-05-16,MOS,MACK RICHARD L,,0001243786-16-000285,2016-05-12,S,9500,26.001,85024,D,,,,,,
1285785,2016-05-23,MOS,LUMPKINS ROBERT L,,0001243786-16-000307,2016-04-11,G,7171,0.0,9279,I,,,,,,
1285785,2016-06-06,MOS,BRAUSEN ANTHONY T,,0001243786-16-000309,2016-06-02,M,19716,15.45,46607,D,,,,,,
1285785,2016-06-06,MOS,BRAUSEN ANTHONY T,,0001243786-16-000309,2016-06-02,S,19716,25.7192,26891,D,,,,,,
1285785,2016-07-20,MOS,Precourt Walter F. III,,0001243786-16-000333,2016-07-18,M,6169,0.0,12219,D,,,,,,
1285785,2016-07-20,MOS,Precourt Walter F. III,,0001243786-16-000333,2016-07-18,A,1424,0.0,13643,D,,,,,,
1285785,2016-07-20,MOS,Precourt Walter F. III,,0001243786-16-000333,2016-07-18,F,3235,29.28,10408,D,,,,,,
1285785,2016-07-20,MOS,Isaacson Mark J.,,0001243786-16-000335,2016-07-18,M,1666,0.0,11493,D,,,,,,
1285785,2016-07-20,MOS,Bodine Bruce M.,,0001243786-16-000329,2016-07-18,F,1968,29.28,3078,D,,,,,,
1285785,2016-07-20,MOS,Isaacson Mark J.,,0001243786-16-000335,2016-07-18,F,969,29.28,10908,D,,,,,,
1285785,2016-07-20,MOS,Bodine Bruce M.,,0001243786-16-000329,2016-07-18,M,3085,0.0,4334,D,,,,,,
1285785,2016-07-20,MOS,Ricard Corrine D.,,0001243786-16-000334,2016-07-18,A,1709,0.0,22344,D,,,,,,
1285785,2016-07-20,MOS,McLellan Richard N,,0001243786-16-000330,2016-07-18,A,2849,0.0,46419,D,,,,,,
1285785,2016-07-20,MOS,MACK RICHARD L,,0001243786-16-000332,2016-07-18,F,5608,29.28,104717,D,,,,,,
1285785,2016-07-20,MOS,Ricard Corrine D.,,0001243786-16-000334,2016-07-18,F,2804,29.28,19540,D,,,,,,
1285785,2016-07-20,MOS,MACK RICHARD L,,0001243786-16-000332,2016-07-18,M,7403,0.0,106906,D,,,,,,
1285785,2016-07-20,MOS,McLellan Richard N,,0001243786-16-000330,2016-07-18,M,6169,0.0,43570,D,,,,,,
1285785,2016-07-20,MOS,Ricard Corrine D.,,0001243786-16-000334,2016-07-18,M,3702,0.0,20635,D,,,,,,
