cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
764180,2016-01-28,MO,Willard Howard A.,,0001182489-16-000876,2016-01-26,A,28802,0.0,321468,D,,,,,,
764180,2016-01-28,MO,FLEET CLIFFORD B,,0001182489-16-000866,2016-01-26,A,11978,0.0,82974,D,,,,,,
764180,2016-01-28,MO,Mancuso Salvatore,,0001182489-16-000867,2016-01-26,A,11978,0.0,79247,D,,,,,,
764180,2016-01-28,MO,SURGNER W HILDEBRANDT JR,,0001182489-16-000868,2016-01-26,A,2542,0.0,29569,D,,,,,,
764180,2016-01-28,MO,Whitaker Charles N.,,0001182489-16-000869,2016-01-26,A,11860,0.0,141195,D,,,,,,
764180,2016-01-28,MO,Bryant Daniel J,,0001182489-16-000871,2016-01-26,A,2203,0.0,26676,D,,,,,,
764180,2016-01-28,MO,Barrington Martin J.,,0001182489-16-000870,2016-01-26,A,110123,0.0,926104,D,,,,,,
764180,2016-01-28,MO,Gifford William F. Jr.,,0001182489-16-000872,2016-01-26,A,28802,0.0,218267,D,,,,,,
764180,2016-01-28,MO,Johnson Craig A.,,0001182489-16-000873,2016-01-26,A,21602,0.0,127495,D,,,,,,
764180,2016-01-28,MO,Keane Denise F.,,0001182489-16-000874,2016-01-26,A,28802,0.0,311548,D,,,,,,
764180,2016-01-28,MO,Quigley Brian W.,,0001182489-16-000875,2016-01-26,A,4660,0.0,28416,D,,,,,,
764180,2016-01-28,MO,Feldman Ivan S.,,0001182489-16-000865,2016-01-26,A,4067,0.0,42895,D,,,,,,
764180,2016-02-16,MO,Dillard James E III,,0001182489-16-000929,2016-02-11,F,7998,59.74,110048,D,,,,,,
764180,2016-02-16,MO,Whitaker Charles N.,,0001182489-16-000938,2016-02-11,F,7863,59.74,133332,D,,,,,,
764180,2016-02-16,MO,Quigley Brian W.,,0001182489-16-000937,2016-02-11,F,2209,59.74,26207,D,,,,,,
764180,2016-02-16,MO,Mancuso Salvatore,,0001182489-16-000936,2016-02-11,F,3069,59.74,76178,D,,,,,,
764180,2016-02-16,MO,Keane Denise F.,,0001182489-16-000935,2016-02-11,F,23328,59.74,288220,D,,,,,,
764180,2016-02-16,MO,Barrington Martin J.,,0001182489-16-000934,2016-02-11,F,76567,59.74,849537,D,,,,,,
764180,2016-02-16,MO,Johnson Craig A.,,0001182489-16-000933,2016-02-11,F,18028,59.74,109467,D,,,,,,
764180,2016-02-16,MO,Gifford William F. Jr.,,0001182489-16-000932,2016-02-11,F,15464,59.74,202803,D,,,,,,
764180,2016-02-16,MO,FLEET CLIFFORD B,,0001182489-16-000931,2016-02-11,F,2990,59.74,79984,D,,,,,,
764180,2016-02-16,MO,Feldman Ivan S.,,0001182489-16-000930,2016-02-11,F,1891,59.74,41004,D,,,,,,
764180,2016-02-16,MO,Bryant Daniel J,,0001182489-16-000928,2016-02-11,F,1248,59.74,25428,D,,,,,,
764180,2016-05-11,MO,Quigley Brian W.,,0001182489-16-001083,2016-05-09,S,3000,63.6642,23246,D,,,,,,
764180,2016-05-23,MO,MUNOZ GEORGE,,0001182489-16-001102,2016-05-19,A,2779,0.0,76497,D,,,,,,
764180,2016-05-23,MO,CASTEEN JOHN T III,,0001182489-16-001101,2016-05-19,A,2779,0.0,38381,D,,,,,,
764180,2016-05-23,MO,McQUADE KATHRYN B.,,0001182489-16-001099,2016-05-19,A,2779,0.0,22882,D,,,,,,
764180,2016-05-23,MO,KELLY ENNIS DEBRA J,,0001182489-16-001098,2016-05-19,A,2779,0.0,15855,D,,,,,,
764180,2016-05-23,MO,Sakkab Nabil Y,,0001182489-16-001097,2016-05-19,A,2779,0.0,27630,D,,,,,,
764180,2016-05-23,MO,JONES THOMAS W,,0001182489-16-001095,2016-05-19,A,2779,0.0,104206,D,,,,,,
764180,2016-05-23,MO,DEVITRE DINYAR S,,0001182489-16-001094,2016-05-19,A,2779,0.0,174493,D,,,,,,
764180,2016-05-23,MO,BALILES GERALD L,,0001182489-16-001093,2016-05-19,A,2779,0.0,48088,D,,,,,,
764180,2016-05-24,MO,MUNOZ GEORGE,,0001182489-16-001104,2016-05-20,S,12571,62.85,63926,D,,,,,,
