cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1510295,2017-04-05,MPC,SURMA JOHN P,,0001209191-17-025470,2017-04-03,A,675.811,0.0,28247.951,D,,,,,,
1510295,2017-04-05,MPC,Bayh Evan,,0001209191-17-025452,2017-04-03,A,675.811,0.0,33797.944,D,,,,,,
1510295,2017-04-05,MPC,Gagle Suzanne,,0001209191-17-025446,2017-04-03,F,98.0,50.24,12718.0,D,,,,,,
1510295,2017-04-05,MPC,Brooks Raymond L,,0001209191-17-025448,2017-04-03,F,280.0,50.24,24341.0,D,,,,,,
1510295,2017-04-05,MPC,BUNCH CHARLES E,,0001209191-17-025454,2017-04-03,A,675.811,0.0,9486.549,D,,,,,,
1510295,2017-04-05,MPC,Daberko David A.,,0001209191-17-025456,2017-04-03,A,675.811,0.0,146691.455,D,,,,,,
1510295,2017-04-05,MPC,Al Khayyal Abdulaziz Fahd,,0001209191-17-025450,2017-04-03,A,675.811,0.0,1881.488,D,,,,,,
1510295,2017-04-05,MPC,JAMES DONNA,,0001209191-17-025460,2017-04-03,A,675.811,0.0,28797.952,D,,,,,,
1510295,2017-04-05,MPC,ROHR JAMES E,,0001209191-17-025462,2017-04-03,A,675.811,0.0,12808.184,D,,,,,,
1510295,2017-04-05,MPC,Snow John W.,,0001209191-17-025466,2017-04-03,A,193.092,0.0,81712.074,D,,,,,,
1510295,2017-04-05,MPC,STICE J MICHAEL,,0001209191-17-025468,2017-04-03,A,675.811,0.0,953.745,D,,,,,,
1510295,2017-04-05,MPC,DAVIS STEVEN A,,0001209191-17-025458,2017-04-03,A,675.811,0.0,12808.186,D,,,,,,
1510295,2017-04-05,MPC,SEMPLE FRANK M,,0001209191-17-025464,2017-04-03,A,675.811,0.0,1854.294,D,,,,,,
1510295,2017-05-12,MPC,Nichols Rodney P.,,0001209191-17-031866,2017-05-10,I,126.197,52.1574,7961.177,I,,,,,,
1510295,2017-05-22,MPC,Palmer C. Michael,,0001209191-17-034215,2017-05-18,M,4568.0,25.875,62325.1047,D,,,,,,
1510295,2017-05-22,MPC,Palmer C. Michael,,0001209191-17-034215,2017-05-18,S,4568.0,52.035,57757.1047,D,,,,,,
1510295,2017-05-25,MPC,Palmer C. Michael,,0001209191-17-035218,2017-05-24,S,4000.0,53.25,57757.1047,D,,,,,,
1510295,2017-05-25,MPC,Palmer C. Michael,,0001209191-17-035218,2017-05-24,M,4000.0,25.875,61757.1047,D,,,,,,
1510295,2017-06-01,MPC,Heminger Gary R.,,0001209191-17-036727,2017-05-30,M,71024.0,25.875,587533.0,D,,,,,,
1510295,2017-06-01,MPC,Heminger Gary R.,,0001209191-17-036727,2017-05-30,F,51765.0,52.42,535768.0,D,,,,,,
1510295,2017-06-01,MPC,Nichols Rodney P.,,0001209191-17-036729,2017-05-30,M,7806.0,25.875,68946.0,D,,,,,,
1510295,2017-06-01,MPC,Nichols Rodney P.,,0001209191-17-036729,2017-05-30,F,5719.0,52.42,63227.0,D,,,,,,
1510295,2017-06-16,MPC,Kelley Thomas M.,,0001209191-17-040527,2017-06-14,M,8200.0,12.395,42853.2906,D,,,,,,
1510295,2017-06-16,MPC,Kelley Thomas M.,,0001209191-17-040527,2017-06-14,S,8200.0,54.19,34653.2906,D,,,,,,
1510295,2017-07-05,MPC,BUNCH CHARLES E,,0001209191-17-043084,2017-07-03,A,635.593,0.0,10158.403,D,,,,,,
1510295,2017-07-05,MPC,Al Khayyal Abdulaziz Fahd,,0001209191-17-043078,2017-07-03,A,635.593,0.0,2529.516,D,,,,,,
1510295,2017-07-05,MPC,Daberko David A.,,0001209191-17-043087,2017-07-03,A,635.593,0.0,148270.116,D,,,,,,
1510295,2017-07-05,MPC,DAVIS STEVEN A,,0001209191-17-043090,2017-07-03,A,635.593,0.0,13528.43,D,,,,,,
1510295,2017-07-05,MPC,Bayh Evan,,0001209191-17-043081,2017-07-03,A,635.593,0.0,34620.231,D,,,,,,
1510295,2017-07-05,MPC,ROHR JAMES E,,0001209191-17-043095,2017-07-03,A,635.593,0.0,13528.429,D,,,,,,
1510295,2017-07-05,MPC,SEMPLE FRANK M,,0001209191-17-043097,2017-07-03,A,635.593,0.0,2502.142,D,,,,,,
1510295,2017-07-05,MPC,SURMA JOHN P,,0001209191-17-043102,2017-07-03,A,635.593,0.0,29070.239,D,,,,,,
1510295,2017-07-05,MPC,JAMES DONNA,,0001209191-17-043093,2017-07-03,A,635.593,0.0,29620.24,D,,,,,,
1510295,2017-07-05,MPC,STICE J MICHAEL,,0001209191-17-043099,2017-07-03,A,635.593,0.0,1595.642,D,,,,,,
1510295,2017-07-25,MPC,Quaid John J,,0001209191-17-046139,2017-07-21,F,1399.0,55.21,15073.0,D,,,,,,
1510295,2017-09-05,MPLX,Marathon Petroleum Corp,,0001209191-17-051191,2017-09-01,A,18511134.0,,118090823.0,I,,,,,,
1510295,2017-09-05,MPC,Kaczynski Thomas,,0001209191-17-051182,2017-09-01,F,1413.0,53.41,14426.0,D,,,,,,
1510295,2017-09-18,MPC,Palmer C. Michael,,0001209191-17-053100,2017-09-14,M,11450.0,21.69,69207.503,D,,,,,,
1510295,2017-09-18,MPC,Palmer C. Michael,,0001209191-17-053100,2017-09-14,S,11450.0,53.02,57757.503,D,,,,,,
1510295,2017-10-04,MPC,Bayh Evan,,0001209191-17-055580,2017-10-02,A,603.865,0.0,35440.433,D,,,,,,
1510295,2017-10-04,MPC,BUNCH CHARLES E,,0001209191-17-055583,2017-10-02,A,603.865,0.0,10808.098,D,,,,,,
1510295,2017-10-04,MPC,Daberko David A.,,0001209191-17-055585,2017-10-02,A,603.865,0.0,149947.62,D,,,,,,
1510295,2017-10-04,MPC,DAVIS STEVEN A,,0001209191-17-055587,2017-10-02,A,603.865,0.0,14232.972,D,,,,,,
1510295,2017-10-04,MPC,Al Khayyal Abdulaziz Fahd,,0001209191-17-055577,2017-10-02,A,603.865,0.0,3152.205,D,,,,,,
1510295,2017-10-04,MPC,ROHR JAMES E,,0001209191-17-055591,2017-10-02,A,603.865,0.0,14232.97,D,,,,,,
1510295,2017-10-04,MPC,SURMA JOHN P,,0001209191-17-055597,2017-10-02,A,603.865,0.0,29890.441,D,,,,,,
1510295,2017-10-04,MPC,JAMES DONNA,,0001209191-17-055589,2017-10-02,A,603.865,0.0,30440.441,D,,,,,,
1510295,2017-10-04,MPC,SEMPLE FRANK M,,0001209191-17-055593,2017-10-02,A,603.865,0.0,3124.628,D,,,,,,
1510295,2017-10-04,MPC,STICE J MICHAEL,,0001209191-17-055595,2017-10-02,A,603.865,0.0,2211.381,D,,,,,,
1510295,2017-11-08,MPC,Kenney Anthony R.,,0001209191-17-059724,2017-11-06,M,13452.0,10.095,114484.0,D,,,,,,
1510295,2017-11-08,MPC,Kenney Anthony R.,,0001209191-17-059724,2017-11-06,S,13452.0,62.31,165158.0,D,,,,,,
1510295,2017-11-20,MPC,Brooks Raymond L,,0001209191-17-061716,2017-11-16,M,8240.0,21.72,32205.0,D,,,,,,
1510295,2017-11-20,MPC,Brooks Raymond L,,0001209191-17-061716,2017-11-16,S,8240.0,62.29,23965.0,D,,,,,,
1510295,2017-12-05,MPC,Nichols Rodney P.,,0001209191-17-063858,2017-12-01,F,780.0,62.33,62447.0,D,,,,,,
1510295,2017-12-14,MPC,Palmer C. Michael,,0001209191-17-065588,2017-12-12,S,17298.0,64.55,57757.6795,D,,,,,,
1510295,2017-12-14,MPC,Palmer C. Michael,,0001209191-17-065588,2017-12-12,M,17298.0,12.87,75055.6795,D,,,,,,
1510295,2017-12-18,MPC,Kelley Thomas M.,,0001209191-17-066187,2017-12-14,M,12558.0,12.365,47211.6795,D,,,,,,
1510295,2017-12-18,MPC,Kelley Thomas M.,,0001209191-17-066187,2017-12-14,S,12558.0,64.75,34653.6795,D,,,,,,
1510295,2017-12-18,MPC,Nichols Rodney P.,,0001209191-17-066170,2017-12-14,M,6374.0,23.04,63613.0,D,,,,,,
1510295,2017-12-18,MPC,Nichols Rodney P.,,0001209191-17-066170,2017-12-14,S,6374.0,64.93,57239.0,D,,,,,,
1510295,2017-12-18,MPC,Palmer C. Michael,,0001209191-17-066134,2017-12-14,M,16916.0,20.845,74673.6795,D,,,,,,
1510295,2017-12-18,MPC,Palmer C. Michael,,0001209191-17-066134,2017-12-14,S,16916.0,64.77,57757.6795,D,,,,,,
1510295,2018-01-04,MPC,Bayh Evan,,0001209191-18-001636,2018-01-02,A,502.382,0.0,36128.297,D,,,,,,
1510295,2018-01-04,MPC,BUNCH CHARLES E,,0001209191-18-001638,2018-01-02,A,502.382,0.0,11352.727,D,,,,,,
1510295,2018-01-04,MPC,Daberko David A.,,0001209191-18-001640,2018-01-02,A,502.382,0.0,151355.665,D,,,,,,
1510295,2018-01-04,MPC,DAVIS STEVEN A,,0001209191-18-001648,2018-01-02,A,502.382,0.0,14823.675,D,,,,,,
1510295,2018-01-04,MPC,Al Khayyal Abdulaziz Fahd,,0001209191-18-001634,2018-01-02,A,502.382,0.0,3674.148,D,,,,,,
1510295,2018-01-04,MPC,ROHR JAMES E,,0001209191-18-001653,2018-01-02,A,502.382,0.0,14823.673,D,,,,,,
1510295,2018-01-04,MPC,JAMES DONNA,,0001209191-18-001651,2018-01-02,A,502.382,0.0,31128.305,D,,,,,,
1510295,2018-01-04,MPC,STICE J MICHAEL,,0001209191-18-001658,2018-01-02,A,502.382,0.0,2727.486,D,,,,,,
1510295,2018-01-04,MPC,SURMA JOHN P,,0001209191-18-001661,2018-01-02,A,502.382,0.0,30578.305,D,,,,,,
1510295,2018-01-04,MPC,SEMPLE FRANK M,,0001209191-18-001656,2018-01-02,A,502.382,0.0,3646.4,D,,,,,,
1510295,2018-02-02,MPC,Templin Donald C.,,0001209191-18-006753,2018-01-31,A,2463.0,0.0,77383.0,D,,,,,,
1510295,2018-02-02,MPC,Quaid John J,,0001209191-18-006748,2018-01-31,A,523.0,0.0,15596.0,D,,,,,,
1510295,2018-02-02,MPC,Palmer C. Michael,,0001209191-18-006740,2018-01-31,A,1779.0,0.0,59536.6795,D,,,,,,
1510295,2018-02-02,MPC,Kenney Anthony R.,,0001209191-18-006736,2018-01-31,A,2247.0,0.0,103279.0,D,,,,,,
1510295,2018-02-02,MPC,Kelley Thomas M.,,0001209191-18-006732,2018-01-31,A,1108.0,0.0,35761.6795,D,,,,,,
1510295,2018-02-02,MPC,Griffith Timothy T.,,0001209191-18-006726,2018-01-31,A,1773.0,0.0,40883.0,D,,,,,,
1510295,2018-02-02,MPC,Heminger Gary R.,,0001209191-18-006715,2018-01-31,A,8552.0,0.0,544320.0,D,,,,,,
1510295,2018-02-05,MPC,Sauber David R,,0001209191-18-007297,2018-02-01,F,1356.0,68.81,16505.0,D,,,,,,
1510295,2018-02-05,MPLX,Marathon Petroleum Corp,,0001209191-18-007307,2018-02-01,A,386611111.0,,504701934.0,I,,,,,,
1510295,2018-02-28,MPC,Heminger Gary R.,,0001209191-18-014555,2018-02-26,M,55178.0,23.04,599498.0,D,,,,,,
1510295,2018-02-28,MPC,Heminger Gary R.,,0001209191-18-014555,2018-02-26,S,55178.0,66.47,544320.0,D,,,,,,
1510295,2018-03-05,MPC,Kaczynski Thomas,,0001209191-18-016192,2018-03-01,A,1482.0,0.0,15463.0,D,,,,,,
1510295,2018-03-05,MPC,Gagle Suzanne,,0001209191-18-016183,2018-03-01,A,2470.0,0.0,14315.0,D,,,,,,
