cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1280452,2019-02-05,MPWR,Xiao Deming,,0001280452-19-000010,2019-02-04,S,3623.0,129.5889,314689,D,,,,,,
1280452,2019-02-05,MPWR,Sciammas Maurice,,0001280452-19-000009,2019-02-04,S,4615.0,129.5889,397418,D,,,,,,
1280452,2019-02-05,MPWR,Tseng Saria,,0001437749-19-001896,2019-02-04,S,3623.0,129.5889,298287,D,,,,,,
1280452,2019-02-05,MPWR,Hsing Michael,,0001280452-19-000008,2019-02-04,S,14516.0,129.5889,1059878,D,,,,,,
1280452,2019-02-12,MPWR,Zhou Jeff,,0001280452-19-000020,2019-02-11,A,1339.0,0.0,21491,D,,,,,,
1280452,2019-02-12,MPWR,Lee Victor K,,0001280452-19-000019,2019-02-11,A,1339.0,0.0,27291,D,,,,,,
1280452,2019-02-12,MPWR,Moyer James C,,0001280452-19-000018,2019-02-11,A,1339.0,0.0,552260,D,,,,,,
1280452,2019-02-12,MPWR,Elmiger Eugen J,,0001280452-19-000017,2019-02-11,A,1339.0,0.0,17937,D,,,,,,
1280452,2019-02-12,MPWR,CHANG KUO WEI HERBERT,,0001280452-19-000016,2019-02-11,A,1339.0,0.0,12702,D,,,,,,
1280452,2019-02-13,MPWR,Sciammas Maurice,,0001280452-19-000026,2019-02-12,S,23020.0,130.6571,448729,D,,,,,,
1280452,2019-02-13,MPWR,Tseng Saria,,0001437749-19-002489,2019-02-12,S,21694.0,130.6571,350924,D,,,,,,
1280452,2019-02-13,MPWR,Tseng Saria,,0001437749-19-002489,2019-02-11,A,74331.0,30.0,372618,D,,,,,,
1280452,2019-02-13,MPWR,Hsing Michael,,0001280452-19-000025,2019-02-11,A,254220.0,30.0,1314098,D,,,,,,
1280452,2019-02-13,MPWR,Hsing Michael,,0001280452-19-000025,2019-02-12,S,72851.0,130.6571,1241247,D,,,,,,
1280452,2019-02-13,MPWR,Xiao Deming,,0001280452-19-000028,2019-02-12,S,21308.0,130.6571,367712,D,,,,,,
1280452,2019-02-13,MPWR,Blegen Theodore,,0001280452-19-000027,2019-02-12,S,12656.0,130.6571,85144,D,,,,,,
1280452,2019-02-13,MPWR,Xiao Deming,,0001280452-19-000028,2019-02-11,A,74331.0,30.0,389020,D,,,,,,
1280452,2019-02-13,MPWR,Sciammas Maurice,,0001280452-19-000026,2019-02-11,A,74331.0,30.0,471749,D,,,,,,
1280452,2019-02-13,MPWR,Blegen Theodore,,0001280452-19-000027,2019-02-11,A,43893.0,30.0,97800,D,,,,,,
1280452,2019-02-19,MPWR,Hsing Michael,,0001437749-19-002885,2019-02-14,S,20047.0,135.0744,1221200,D,,,,,,
1280452,2019-02-19,MPWR,Hsing Michael,,0001437749-19-002885,2019-02-15,J,178.0,117.708,1221378,D,,,,,,
1280452,2019-02-21,MPWR,Tseng Saria,,0001437749-19-003062,2019-02-15,J,92.0,117.708,351016,D,,,,,,
1280452,2019-02-21,MPWR,Blegen Theodore,,0001280452-19-000032,2019-02-19,S,181.0,137.233,85142,D,,,,,,
1280452,2019-02-21,MPWR,Moyer James C,,0001280452-19-000031,2019-02-21,S,10000.0,134.664,542260,D,,,,,,
1280452,2019-02-21,MPWR,Blegen Theodore,,0001280452-19-000032,2019-02-15,J,179.0,117.708,85323,D,,,,,,
1280452,2019-02-21,MPWR,Tseng Saria,,0001437749-19-003062,2019-02-20,S,92.0,136.63,350924,D,,,,,,
1280452,2019-02-27,MPWR,Hsing Michael,,0001280452-19-000037,2019-02-25,S,19000.0,137.5535,1202378,D,,,,,,
1280452,2019-02-27,MPWR,Hsing Michael,,0001280452-19-000037,2019-02-26,S,20558.0,137.1051,1181820,D,,,,,,
1280452,2019-02-27,MPWR,Hsing Michael,,0001280452-19-000037,2019-02-27,S,35683.0,135.075,1146137,D,,,,,,
1280452,2019-02-27,MPWR,Xiao Deming,,0001280452-19-000036,2019-02-15,J,123.0,117.708,367835,D,,,,,,
1280452,2019-02-27,MPWR,Xiao Deming,,0001280452-19-000036,2019-02-25,S,13817.0,138.7432,354018,D,,,,,,
1280452,2019-03-12,MPWR,Moyer James C,,0001280452-19-000039,2019-03-11,S,15000.0,137.0144,527260,D,,,,,,
1280452,2019-03-22,MPWR,Sciammas Maurice,,0001280452-19-000041,2019-03-21,S,3563.0,145.0,445166,D,,,,,,
1280452,2019-04-01,MPWR,Sciammas Maurice,,0001280452-19-000045,2019-03-28,S,4181.0,134.6224,440985,D,,,,,,
1280452,2019-04-01,MPWR,Sciammas Maurice,,0001280452-19-000045,2019-04-01,S,5425.0,138.5979,435560,D,,,,,,
1280452,2019-04-01,MPWR,Hsing Michael,,0001280452-19-000044,2019-03-28,S,1245.0,135.5074,1144892,D,,,,,,
1280452,2019-04-01,MPWR,Hsing Michael,,0001280452-19-000044,2019-04-01,S,10960.0,138.5979,1133932,D,,,,,,
1280452,2019-04-02,MPWR,Xiao Deming,,0001280452-19-000049,2019-04-01,S,4305.0,138.5979,349551,D,,,,,,
1280452,2019-04-02,MPWR,Blegen Theodore,,0001280452-19-000048,2019-04-01,S,905.0,138.5979,84237,D,,,,,,
1280452,2019-04-02,MPWR,Tseng Saria,,0001437749-19-006415,2019-04-01,S,4305.0,138.5979,324308,D,,,,,,
1280452,2019-04-05,MPWR,Sciammas Maurice,,0001437749-19-006688,2019-04-03,S,3008.0,142.0,427688,D,,,,,,
1280452,2019-04-05,MPWR,Hsing Michael,,0001437749-19-006687,2019-04-04,S,5101.0,143.4157,1128831,D,,,,,,
1280452,2019-04-10,MPWR,Moyer James C,,0001437749-19-006890,2019-04-08,S,11596.0,143.6945,515664,D,,,,,,
1280452,2019-04-22,MPWR,Tseng Saria,,0001437749-19-007680,2019-04-18,S,6495.0,155.3296,317813,D,,,,,,
1280452,2019-04-23,MPWR,Blegen Theodore,,0001280452-19-000051,2019-04-22,S,1047.0,152.8888,83190,D,,,,,,
1280452,2019-05-07,MPWR,Xiao Deming,,0001280452-19-000057,2019-05-03,S,3144.0,144.4913,346407,D,,,,,,
1280452,2019-05-07,MPWR,Sciammas Maurice,,0001280452-19-000056,2019-05-03,S,3739.0,144.4913,423949,D,,,,,,
1280452,2019-05-07,MPWR,Hsing Michael,,0001280452-19-000055,2019-05-03,S,10354.0,144.4864,1107038,D,,,,,,
1280452,2019-05-07,MPWR,Tseng Saria,,0001437749-19-009023,2019-05-03,S,3144.0,144.4911,314669,D,,,,,,
1280452,2019-05-10,MPWR,Hsing Michael,,0001280452-19-000062,2019-05-09,S,17416.0,135.6847,1081175,D,,,,,,
1280452,2019-05-10,MPWR,Hsing Michael,,0001280452-19-000062,2019-05-08,S,8447.0,138.0256,1098591,D,,,,,,
1280452,2019-05-10,MPWR,Tseng Saria,,0001437749-19-009515,2019-05-08,S,2470.0,138.0256,312199,D,,,,,,
1280452,2019-05-10,MPWR,Blegen Theodore,,0001280452-19-000065,2019-05-08,S,1681.0,138.0256,81509,D,,,,,,
1280452,2019-05-10,MPWR,Sciammas Maurice,,0001280452-19-000063,2019-05-08,S,2847.0,138.0256,421102,D,,,,,,
1280452,2019-05-10,MPWR,Xiao Deming,,0001280452-19-000064,2019-05-08,S,2470.0,138.0256,343937,D,,,,,,
1280452,2019-05-14,MPWR,Moyer James C,,0001280452-19-000067,2019-05-13,S,15000.0,129.1826,497260,D,,,,,,
1280452,2019-05-20,MPWR,Xiao Deming,,0001280452-19-000069,2019-05-16,S,3474.0,129.4967,340463,D,,,,,,
1280452,2019-05-20,MPWR,Xiao Deming,,0001280452-19-000069,2019-05-17,S,3364.0,128.1635,337099,D,,,,,,
1280452,2019-05-22,MPWR,Blegen Theodore,,0001280452-19-000073,2019-05-20,S,51.0,121.8,81458,D,,,,,,
1280452,2019-05-22,MPWR,Sciammas Maurice,,0001280452-19-000072,2019-05-20,S,9942.0,121.092,411160,D,,,,,,
1280452,2019-05-22,MPWR,Sciammas Maurice,,0001280452-19-000072,2019-05-21,S,9941.0,122.8663,401219,D,,,,,,
1280452,2019-06-03,MPWR,Moyer James C,,0001280452-19-000075,2019-05-30,S,10000.0,118.31,487260,D,,,,,,
1280452,2019-06-11,MPWR,Tseng Saria,,0001437749-19-011812,2019-06-10,S,5203.0,130.0,306996,D,,,,,,
1280452,2019-06-26,MPWR,Sciammas Maurice,,0001437749-19-012821,2019-06-24,S,2722.0,128.6312,398497,D,,,,,,
1280452,2019-07-01,MPWR,Sciammas Maurice,,0001280452-19-000077,2019-06-28,S,200.0,137.435,390318,D,,,,,,
1280452,2019-07-01,MPWR,Sciammas Maurice,,0001280452-19-000077,2019-07-01,S,5425.0,139.5561,380857,D,,,,,,
1280452,2019-07-01,MPWR,Sciammas Maurice,,0001280452-19-000077,2019-06-27,S,4674.0,130.1956,393823,D,,,,,,
1280452,2019-07-03,MPWR,Tseng Saria,,0001437749-19-013524,2019-04-23,M,9600.0,0.0,327413,D,,,,,,
1280452,2019-07-03,MPWR,Tseng Saria,,0001437749-19-013524,2019-07-01,S,4305.0,139.5561,312291,D,,,,,,
1280452,2019-07-03,MPWR,Sciammas Maurice,,0001280452-19-000086,2019-04-23,M,9600.0,0.0,437288,D,,,,,,
1280452,2019-07-03,MPWR,Xiao Deming,,0001280452-19-000085,2019-04-23,M,9600.0,0.0,359151,D,,,,,,
1280452,2019-07-03,MPWR,Xiao Deming,,0001280452-19-000085,2019-07-01,S,4305.0,139.5561,342394,D,,,,,,
1280452,2019-07-03,MPWR,Hsing Michael,,0001280452-19-000084,2019-04-23,M,21600.0,0.0,1138992,D,,,,,,
1280452,2019-07-03,MPWR,Hsing Michael,,0001280452-19-000084,2019-07-01,S,10960.0,139.5561,1091815,D,,,,,,
1280452,2019-07-03,MPWR,Hsing Michael,,0001280452-19-000084,2019-07-03,S,16540.0,134.9556,1075275,D,,,,,,
1280452,2019-07-03,MPWR,Blegen Theodore,,0001280452-19-000083,2019-04-23,M,9600.0,0.0,92790,D,,,,,,
1280452,2019-07-03,MPWR,Blegen Theodore,,0001280452-19-000083,2019-07-01,S,905.0,139.5561,90153,D,,,,,,
1280452,2019-07-12,MPWR,Sciammas Maurice,,0001280452-19-000088,2019-07-10,S,1708.0,140.6191,385780,D,,,,,,
1280452,2019-07-16,MPWR,Moyer James C,,0001280452-19-000090,2019-07-15,S,20000.0,143.53,467260,D,,,,,,
1280452,2019-07-23,MPWR,Tseng Saria,,0001437749-19-014466,2019-07-23,M,9600.0,0.0,315396,D,,,,,,
1280452,2019-07-23,MPWR,Tseng Saria,,0001437749-19-014466,2019-07-19,S,6495.0,145.8297,305796,D,,,,,,
1280452,2019-07-23,MPWR,Blegen Theodore,,0001280452-19-000092,2019-07-22,S,1041.0,146.222,89112,D,,,,,,
1280452,2019-07-23,MPWR,Blegen Theodore,,0001280452-19-000092,2019-07-23,M,9600.0,0.0,98712,D,,,,,,
1280452,2019-07-24,MPWR,Xiao Deming,,0001280452-19-000102,2019-07-23,M,9600.0,0.0,351994,D,,,,,,
1280452,2019-07-24,MPWR,Sciammas Maurice,,0001280452-19-000101,2019-07-23,M,9600.0,0.0,395087,D,,,,,,
1280452,2019-07-24,MPWR,Hsing Michael,,0001280452-19-000100,2019-07-23,M,21600.0,0.0,1096875,D,,,,,,
1280452,2019-07-24,MPWR,Zhou Jeff,,0001280452-19-000099,2019-07-22,S,1000.0,147.0,20491,D,,,,,,
1280452,2019-07-24,MPWR,Zhou Jeff,,0001280452-19-000099,2019-07-24,S,1000.0,150.0,19491,D,,,,,,
1280452,2019-08-05,MPWR,Zhou Jeff,,0001280452-19-000104,2019-08-01,S,1747.0,157.0,17744,D,,,,,,
1280452,2019-08-06,MPWR,Hsing Michael,,0001280452-19-000108,2019-08-05,S,10097.0,140.5997,1086778,D,,,,,,
1280452,2019-08-06,MPWR,Sciammas Maurice,,0001280452-19-000109,2019-08-05,S,3634.0,140.6034,391453,D,,,,,,
1280452,2019-08-06,MPWR,Xiao Deming,,0001280452-19-000110,2019-08-05,S,3066.0,140.6004,348928,D,,,,,,
1280452,2019-08-06,MPWR,Tseng Saria,,0001437749-19-015629,2019-08-05,S,3066.0,140.6004,312330,D,,,,,,
1280452,2019-08-09,MPWR,Xiao Deming,,0001280452-19-000119,2019-08-08,S,2437.0,150.4248,346491,D,,,,,,
1280452,2019-08-09,MPWR,Xiao Deming,,0001280452-19-000119,2019-08-09,S,2209.0,148.9445,341176,D,,,,,,
1280452,2019-08-09,MPWR,Sciammas Maurice,,0001280452-19-000116,2019-08-08,S,2820.0,150.4248,388633,D,,,,,,
1280452,2019-08-09,MPWR,Hsing Michael,,0001280452-19-000117,2019-08-09,S,17788.0,149.3028,1060656,D,,,,,,
1280452,2019-08-09,MPWR,Hsing Michael,,0001280452-19-000117,2019-08-08,S,8334.0,150.4248,1078444,D,,,,,,
1280452,2019-08-09,MPWR,Blegen Theodore,,0001280452-19-000115,2019-08-08,S,1665.0,150.4248,97047,D,,,,,,
