cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
310158,2017-04-04,MRK,Schechter Adam H,,0001225208-17-007537,2017-04-03,S,53850.0,63.4757,116335.9747,I,,,,,,
310158,2017-05-03,MRK,Chattopadhyay Sanat,,0001225208-17-008904,2017-05-02,M,3092.0,0.0,43636.548,D,,,,,,
310158,2017-05-03,MRK,Chattopadhyay Sanat,,0001225208-17-008904,2017-05-02,F,974.0,62.38,42662.548,D,,,,,,
310158,2017-05-03,MRK,Gerberding Julie L.,,0001225208-17-008903,2017-05-02,M,3092.0,0.0,46416.348,D,,,,,,
310158,2017-05-03,MRK,Gerberding Julie L.,,0001225208-17-008903,2017-05-02,F,1078.0,62.38,45338.348,D,,,,,,
310158,2017-05-09,MRK,AMBROSE ADELE D,,0001225208-17-009425,2017-05-09,F,960.0,64.01,22708.329,D,,,,,,
310158,2017-05-09,MRK,Davis Robert M,,0001225208-17-009424,2017-05-09,F,44530.0,64.01,73500.943,D,,,,,,
310158,2017-05-09,MRK,Davis Robert M,,0001225208-17-009424,2017-05-09,M,85881.0,0.0,118030.943,D,,,,,,
310158,2017-05-09,MRK,Karachun Rita A,,0001225208-17-009426,2017-05-09,M,2576.0,0.0,17067.972,D,,,,,,
310158,2017-05-09,MRK,AMBROSE ADELE D,,0001225208-17-009425,2017-05-09,M,2576.0,0.0,23668.329,D,,,,,,
310158,2017-05-09,MRK,Karachun Rita A,,0001225208-17-009426,2017-05-09,F,960.0,64.01,16107.972,D,,,,,,
310158,2017-05-12,MRK,KIDDER C ROBERT,,0001225208-17-009615,2017-05-12,M,5000.0,35.19,14317.0,D,,,,,,
310158,2017-05-12,MRK,KIDDER C ROBERT,,0001225208-17-009615,2017-05-12,S,5000.0,63.539,9317.0,D,,,,,,
310158,2017-11-09,MRK,GLOCER THOMAS H,,0001225208-17-017141,2017-11-08,M,5000.0,38.04,10100.0,D,,,,,,
310158,2017-11-09,MRK,GLOCER THOMAS H,,0001225208-17-017141,2017-11-08,S,5000.0,56.1965,5100.0,D,,,,,,
310158,2017-12-18,MRK,Schechter Adam H,,0001225208-17-018771,2017-12-15,G,750.0,0.0,113373.9747,I,,,,,,
310158,2018-01-16,MRK,GRADDICK WEIR MIRIAN M,,0001225208-18-001052,2018-01-16,M,52000.0,44.3,153484.319,D,,,,,,
310158,2018-01-16,MRK,GRADDICK WEIR MIRIAN M,,0001225208-18-001052,2018-01-12,S,5000.0,58.0,101484.319,D,,,,,,
310158,2018-01-16,MRK,GRADDICK WEIR MIRIAN M,,0001225208-18-001052,2018-01-16,S,8000.0,61.63,145484.319,D,,,,,,
310158,2018-01-16,MRK,Schechter Adam H,,0001225208-18-001054,2018-01-16,S,50994.0,61.63,0.0,D,,,,,,
310158,2018-01-16,MRK,Holston Michael J,,0001225208-18-001053,2018-01-16,S,12500.0,61.63,49092.227,D,,,,,,
310158,2018-01-16,MRK,Schechter Adam H,,0001225208-18-001054,2018-01-16,M,50994.0,36.56,50994.0,D,,,,,,
310158,2018-02-09,MRK,WEEKS WENDELL P,,0001225208-18-002430,2018-02-09,M,5000.0,38.04,5100.0,D,,,,,,
310158,2018-02-09,MRK,WEEKS WENDELL P,,0001225208-18-002430,2018-02-09,S,5000.0,53.5666,100.0,D,,,,,,
310158,2018-02-09,MRK,DeLuca Richard R.,,0001225208-18-002429,2018-02-09,M,8572.0,0.0,45779.841,D,,,,,,
310158,2018-02-09,MRK,DeLuca Richard R.,,0001225208-18-002429,2018-02-09,F,2974.0,54.73,42805.841,D,,,,,,
310158,2018-03-01,MRK,Watson Ashley,,0001225208-18-005012,2018-02-27,A,2322.0,54.72,2322.0,D,,,,,,
310158,2018-03-01,MRK,PERLMUTTER ROGER M,,0001225208-18-005011,2018-02-27,A,34931.0,54.72,138906.628,D,,,,,,
310158,2018-03-01,MRK,Chattopadhyay Sanat,,0001225208-18-005014,2018-02-27,A,4522.0,54.72,48181.926,D,,,,,,
310158,2018-03-01,MRK,Holston Michael J,,0001225208-18-005017,2018-02-27,A,20694.0,54.72,69786.227,D,,,,,,
310158,2018-03-01,MRK,GRADDICK WEIR MIRIAN M,,0001225208-18-005013,2018-02-27,A,13949.0,54.72,104433.319,D,,,,,,
