cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1050446,2016-11-22,MSTR,Patten Jarrod M,,0001209191-16-151627,2016-11-18,M,3317,121.43,3317,D,,,,,,
1050446,2016-11-22,MSTR,Patten Jarrod M,,0001209191-16-151627,2016-11-18,S,3317,197.2,0,D,,,,,,
1050446,2016-12-05,MSTR,Epstein Robert H,,0001209191-16-153245,2016-12-01,M,482,121.43,482,D,,,,,,
1050446,2016-12-05,MSTR,Epstein Robert H,,0001209191-16-153245,2016-12-01,S,482,196.0,0,D,,,,,,
1050446,2016-12-07,MSTR,Epstein Robert H,,0001209191-16-153873,2016-12-05,M,368,121.43,368,D,,,,,,
1050446,2016-12-07,MSTR,Epstein Robert H,,0001209191-16-153873,2016-12-05,S,368,195.25,0,D,,,,,,
1050446,2017-06-09,MSTR,Shao Wei-Ming,,0001209191-17-038931,2017-06-07,M,1000,119.02,1005,D,,,,,,
1050446,2017-06-09,MSTR,Shao Wei-Ming,,0001209191-17-038931,2017-06-07,S,1000,181.97,5,D,,,,,,
1050446,2017-06-09,MSTR,Shao Wei-Ming,,0001209191-17-038931,2017-06-09,M,1400,119.02,1405,D,,,,,,
1050446,2017-06-09,MSTR,Shao Wei-Ming,,0001209191-17-038931,2017-06-09,S,1400,184.66,5,D,,,,,,
1050446,2018-05-02,MSTR,Epstein Robert H,,0001209191-18-027330,2018-05-01,S,3000,128.92,500,D,,,,,,
1050446,2018-05-02,MSTR,Epstein Robert H,,0001209191-18-027330,2018-05-01,M,3500,121.43,3500,D,,,,,,
1050446,2018-05-04,MSTR,Epstein Robert H,,0001209191-18-028145,2018-05-02,M,3500,121.43,3500,D,,,,,,
1050446,2018-05-04,MSTR,Epstein Robert H,,0001209191-18-028145,2018-05-02,S,3500,131.49,0,D,,,,,,
1050446,2018-05-08,MSTR,Epstein Robert H,,0001209191-18-028539,2018-05-04,M,3500,121.43,3500,D,,,,,,
1050446,2018-05-08,MSTR,Epstein Robert H,,0001209191-18-028539,2018-05-04,S,3500,130.22,0,D,,,,,,
1050446,2018-05-08,MSTR,Epstein Robert H,,0001209191-18-028539,2018-05-07,M,3500,121.43,3500,D,,,,,,
1050446,2018-05-08,MSTR,Epstein Robert H,,0001209191-18-028539,2018-05-07,S,3500,131.01,0,D,,,,,,
1050446,2018-05-10,MSTR,Epstein Robert H,,0001209191-18-029237,2018-05-08,S,2500,130.83,0,D,,,,,,
1050446,2018-05-10,MSTR,Epstein Robert H,,0001209191-18-029237,2018-05-09,M,500,121.43,500,D,,,,,,
1050446,2018-05-10,MSTR,Epstein Robert H,,0001209191-18-029237,2018-05-09,S,500,131.25,0,D,,,,,,
1050446,2018-05-10,MSTR,Epstein Robert H,,0001209191-18-029237,2018-05-08,M,2500,121.43,2500,D,,,,,,
1050446,2018-05-22,MSTR,Epstein Robert H,,0001209191-18-032306,2018-05-18,S,600,131.5,300,D,,,,,,
1050446,2018-05-22,MSTR,Epstein Robert H,,0001209191-18-032306,2018-05-18,M,900,121.43,900,D,,,,,,
1050446,2019-08-05,MSTR,RECHAN LESLIE J,,0001209191-19-044537,2019-08-01,P,1900,136.98,1900,I,,,,,,
1050446,2020-03-11,MSTR,RICKERTSEN CARL J,,0001209191-20-018130,2020-03-09,P,2000,130.08,5000,D,,,,,,
1050446,2020-11-03,MSTR,Lang Timothy Edwin,,0001209191-20-056763,2020-10-30,M,1000,131.53,1000,D,,,,,,
1050446,2020-11-03,MSTR,Lang Timothy Edwin,,0001209191-20-056763,2020-10-30,S,1000,165.0,0,D,,,,,,
1050446,2020-11-05,MSTR,Lang Timothy Edwin,,0001209191-20-057147,2020-11-03,M,1000,131.53,1000,D,,,,,,
1050446,2020-11-05,MSTR,Lang Timothy Edwin,,0001209191-20-057147,2020-11-03,S,1000,170.0,0,D,,,,,,
1050446,2020-11-05,MSTR,Lang Timothy Edwin,,0001209191-20-057147,2020-11-04,M,3000,131.53,3000,D,,,,,,
1050446,2020-11-05,MSTR,Lang Timothy Edwin,,0001209191-20-057147,2020-11-04,S,3000,175.0,0,D,,,,,,
1050446,2020-11-09,MSTR,Lang Timothy Edwin,,0001209191-20-057467,2020-11-05,M,5000,131.53,5000,D,,,,,,
1050446,2020-11-09,MSTR,Lang Timothy Edwin,,0001209191-20-057467,2020-11-05,S,1728,180.46,3272,D,,,,,,
1050446,2020-11-12,MSTR,Lang Timothy Edwin,,0001209191-20-058141,2020-11-10,M,5000,131.53,5000,D,,,,,,
1050446,2020-11-12,MSTR,Lang Timothy Edwin,,0001209191-20-058141,2020-11-10,S,3846,185.23,1154,D,,,,,,
1050446,2020-11-12,MSTR,Lang Timothy Edwin,,0001209191-20-058141,2020-11-09,S,4100,185.21,900,D,,,,,,
1050446,2020-11-12,MSTR,Lang Timothy Edwin,,0001209191-20-058141,2020-11-09,M,5000,131.53,5000,D,,,,,,
1050446,2020-11-13,MSTR,Shao Wei-Ming,,0001209191-20-058292,2020-11-10,M,2000,119.02,2000,D,,,,,,
1050446,2020-11-13,MSTR,Shao Wei-Ming,,0001209191-20-058292,2020-11-10,S,2000,186.18,0,D,,,,,,
1050446,2020-11-13,MSTR,Shao Wei-Ming,,0001209191-20-058292,2020-11-11,M,2000,119.02,2000,D,,,,,,
1050446,2020-11-13,MSTR,Shao Wei-Ming,,0001209191-20-058292,2020-11-11,S,1000,189.25,1000,D,,,,,,
1050446,2020-11-19,MSTR,Shao Wei-Ming,,0001209191-20-059482,2020-11-18,M,1000,119.02,1000,D,,,,,,
1050446,2020-11-19,MSTR,Shao Wei-Ming,,0001209191-20-059482,2020-11-18,S,500,221.09,500,D,,,,,,
1050446,2020-11-24,MSTR,Shao Wei-Ming,,0001209191-20-060234,2020-11-23,M,1000,119.02,1000,D,,,,,,
1050446,2020-11-24,MSTR,Shao Wei-Ming,,0001209191-20-060234,2020-11-23,S,500,218.55,500,D,,,,,,
1050446,2020-11-24,MSTR,Shao Wei-Ming,,0001209191-20-060234,2020-11-20,S,500,222.52,0,D,,,,,,
1050446,2020-11-24,MSTR,Shao Wei-Ming,,0001209191-20-060234,2020-11-20,M,500,119.02,500,D,,,,,,
1050446,2020-11-25,MSTR,Lang Timothy Edwin,,0001209191-20-060488,2020-11-24,S,200,230.09,9800,D,,,,,,
1050446,2020-11-25,MSTR,Lang Timothy Edwin,,0001209191-20-060488,2020-11-23,S,673,216.63,4327,D,,,,,,
1050446,2020-11-25,MSTR,Patten Jarrod M,,0001209191-20-060502,2020-11-25,S,4183,269.22,0,D,,,,,,
1050446,2020-11-25,MSTR,Lang Timothy Edwin,,0001209191-20-060488,2020-11-23,M,5000,151.6,5000,D,,,,,,
1050446,2020-11-25,MSTR,Shao Wei-Ming,,0001209191-20-060496,2020-11-24,S,1000,234.9,5,D,,,,,,
