cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
891103,2017-10-03,MTCH,IAC/INTERACTIVECORP,,0001179110-17-012970,2017-08-09,J,7564428,18.76,11551814,D,,,,,,
891103,2017-10-03,MTCH,IAC/INTERACTIVECORP,,0001179110-17-012970,2017-09-30,J,125706,18.62,11677520,D,,,,,,
891103,2017-10-03,IACI,Lourd Bryan,,0001179110-17-012969,2017-09-30,A,127,117.58,40529,D,,,,,,
891103,2017-10-03,IACI,Clinton Chelsea,,0001179110-17-012968,2017-09-30,A,106,117.58,27717,D,,,,,,
891103,2017-10-03,IACI,BRONFMAN EDGAR JR,,0001179110-17-012967,2017-09-30,A,106,117.58,26746,D,,,,,,
891103,2017-10-27,MTCH,IAC/INTERACTIVECORP,,0001179110-17-013510,2017-10-25,J,83824,25.25,12180626,D,,,,,,
891103,2017-11-14,IACI,ZANNINO RICHARD F,,0001179110-17-014116,2017-11-10,S,11752,124.03,38339,D,,,,,,
891103,2017-11-14,IACI,KAUFMAN VICTOR,,0001179110-17-014115,2017-11-10,M,150000,30.9,312725,D,,,,,,
891103,2017-11-14,IACI,KAUFMAN VICTOR,,0001179110-17-014115,2017-11-10,S,95610,123.68,217115,D,,,,,,
891103,2017-11-14,IACI,KAUFMAN VICTOR,,0001179110-17-014115,2017-11-10,G,87725,0.0,75000,D,,,,,,
891103,2017-11-22,IAC,LEVIN JOSEPH,,0001179110-17-014576,2017-11-22,G,7664,0.0,110001,D,,,,,,
891103,2017-11-22,IAC,LEVIN JOSEPH,,0001179110-17-014576,2017-11-21,S,57424,128.71,138741,D,,,,,,
891103,2017-11-22,IAC,LEVIN JOSEPH,,0001179110-17-014576,2017-11-20,F,156187,126.33,196165,D,,,,,,
891103,2017-11-22,IAC,LEVIN JOSEPH,,0001179110-17-014576,2017-11-20,M,250000,19.03,352352,D,,,,,,
891103,2017-11-29,IAC,ROSENBLATT DAVID S,,0001179110-17-014688,2017-11-27,S,5999,133.0,49059,D,,,,,,
891103,2017-11-30,IAC,WINIARSKI GREGG,,0001179110-17-014715,2017-11-28,M,50000,21.6,76517,D,,,,,,
891103,2017-11-30,IAC,WINIARSKI GREGG,,0001179110-17-014715,2017-11-28,F,155175,133.94,121342,D,,,,,,
891103,2017-12-08,IAC,BRONFMAN EDGAR JR,,0001179110-17-015121,2017-12-06,S,2289,122.94,24457,D,,,,,,
891103,2017-12-11,IAC,Stein Mark J,,0001179110-17-015202,2017-12-07,M,87500,45.78,142573,D,,,,,,
891103,2017-12-11,IAC,Stein Mark J,,0001179110-17-015202,2017-12-07,F,60613,125.24,81960,D,,,,,,
891103,2017-12-19,IAC,Von Furstenberg Alexander,,0001179110-17-015620,2017-12-15,M,1268,0.0,62083,D,,,,,,
891103,2017-12-19,IAC,BRONFMAN EDGAR JR,,0001179110-17-015612,2017-12-15,M,1268,0.0,25725,D,,,,,,
891103,2017-12-19,IAC,EISNER MICHAEL D,,0001179110-17-015614,2017-12-15,M,1268,0.0,33359,D,,,,,,
891103,2017-12-19,IAC,Hammer Bonnie S,,0001179110-17-015616,2017-12-15,M,1268,0.0,6972,D,,,,,,
891103,2017-12-19,IAC,ZANNINO RICHARD F,,0001179110-17-015621,2017-12-15,A,1268,0.0,30738,D,,,,,,
891103,2017-12-19,IAC,ROSENBLATT DAVID S,,0001179110-17-015618,2017-12-15,M,1268,0.0,50326,D,,,,,,
891103,2017-12-19,IAC,SPOON ALAN G,,0001179110-17-015619,2017-12-15,M,1268,0.0,121540,D,,,,,,
891103,2017-12-19,IAC,Lourd Bryan,,0001179110-17-015617,2017-12-15,A,1268,0.0,41797,D,,,,,,
891103,2017-12-19,IAC,Clinton Chelsea,,0001179110-17-015613,2017-12-15,A,1268,0.0,28985,D,,,,,,
891103,2017-12-22,IAC,Stein Mark J,,0001179110-17-015850,2017-12-21,S,24127,126.64,57833,D,,,,,,
891103,2017-12-26,IAC,WINIARSKI GREGG,,0001179110-17-015867,2017-12-21,S,27432,127.03,93910,D,,,,,,
891103,2017-12-26,IAC,WINIARSKI GREGG,,0001179110-17-015867,2017-12-22,S,315,127.15,93595,D,,,,,,
891103,2018-01-03,IAC,KAUFMAN VICTOR,,0001179110-18-000302,2017-12-29,M,6316,0.0,169041,D,,,,,,
891103,2018-01-03,IAC,LEVIN JOSEPH,,0001179110-18-000306,2017-12-29,M,33333,0.0,143334,D,,,,,,
891103,2018-01-03,IACI,BRONFMAN EDGAR JR,,0001179110-18-000307,2017-12-31,A,102,122.28,25827,D,,,,,,
891103,2018-01-03,IAC,WINIARSKI GREGG,,0001179110-18-000333,2018-01-02,S,62253,127.19,31342,D,,,,,,
891103,2018-01-03,IACI,Clinton Chelsea,,0001179110-18-000308,2017-12-31,A,102,122.28,29087,D,,,,,,
891103,2018-01-03,IAC,LEVIN JOSEPH,,0001179110-18-000306,2017-12-29,F,18607,123.25,124727,D,,,,,,
891103,2018-01-03,IACI,Lourd Bryan,,0001179110-18-000310,2017-12-31,A,122,122.28,41919,D,,,,,,
891103,2018-01-03,MTCH,IAC/INTERACTIVECORP,,0001179110-18-000322,2017-12-31,J,5339,25.21,12185965,D,,,,,,
891103,2018-01-03,IAC,KAUFMAN VICTOR,,0001179110-18-000302,2017-12-29,F,3298,123.25,165743,D,,,,,,
891103,2018-01-03,ANGI,IAC/INTERACTIVECORP,,0001179110-18-000332,2017-12-31,J,58672,11.61,58672,D,,,,,,
891103,2018-02-14,IACI,Schwerdtman Michael H,,0001179110-18-002140,2018-02-14,M,7500,76.0,8165,D,,,,,,
891103,2018-02-14,IACI,Schwerdtman Michael H,,0001179110-18-002140,2018-02-14,S,7500,148.73,665,D,,,,,,
891103,2018-02-14,IACI,Schwerdtman Michael H,,0001179110-18-002140,2018-02-12,M,7500,66.19,8165,D,,,,,,
891103,2018-02-14,IACI,Schwerdtman Michael H,,0001179110-18-002140,2018-02-12,S,12938,138.08,10227,D,,,,,,
891103,2018-02-23,IAC,DILLER BARRY,,0001104659-18-011741,2018-02-21,G,136711,0.0,0,I,,,,,,
891103,2018-02-26,MTCH,IAC/INTERACTIVECORP,,0001179110-18-002899,2018-02-22,J,21711,31.63,12865153,D,,,,,,
