cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1037646,2016-02-10,MTD,Rauch Waldemar,,0001515622-16-000073,2016-02-08,S,500,296.76,10163,D,,,,,,
1037646,2016-02-10,MTD,DONNELLY WILLIAM P,,0001515622-16-000072,2016-02-08,M,1600,112.37,2600,D,,,,,,
1037646,2016-02-10,MTD,DONNELLY WILLIAM P,,0001515622-16-000072,2016-02-08,S,1600,293.44,1000,D,,,,,,
1037646,2016-02-19,MTD,SPOERRY ROBERT F,,0001515622-16-000075,2016-02-17,M,8000,105.11,13587,D,,,,,,
1037646,2016-02-19,MTD,SPOERRY ROBERT F,,0001515622-16-000075,2016-02-17,S,8000,320.0,5587,D,,,,,,
1037646,2016-02-19,MTD,Caratsch Thomas,,0001515622-16-000074,2016-02-17,M,1500,90.76,2270,D,,,,,,
1037646,2016-02-19,MTD,Caratsch Thomas,,0001515622-16-000074,2016-02-17,S,1500,316.0,770,D,,,,,,
1037646,2016-02-23,MTD,de la Guerroniere Marc,,0001515622-16-000076,2016-02-19,M,3163,90.76,14613,D,,,,,,
1037646,2016-02-23,MTD,de la Guerroniere Marc,,0001515622-16-000076,2016-02-19,S,3163,320.15,11450,D,,,,,,
1037646,2016-02-24,MTD,MILNE GEORGE M JR,,0001515622-16-000078,2016-02-22,M,2600,133.0,12148,D,,,,,,
1037646,2016-02-24,MTD,MILNE GEORGE M JR,,0001515622-16-000078,2016-02-22,S,2600,323.37,9548,D,,,,,,
1037646,2016-02-24,MTD,MAERKI HANS ULRICH,,0001515622-16-000077,2016-02-22,M,3000,52.37,9717,D,,,,,,
1037646,2016-02-24,MTD,MAERKI HANS ULRICH,,0001515622-16-000077,2016-02-22,S,3000,325.03,6717,D,,,,,,
1037646,2016-03-04,MTD,SALICE THOMAS P,,0001515622-16-000079,2016-03-02,G,1000,0.0,34078,D,,,,,,
1037646,2016-03-04,MTD,de la Guerroniere Marc,,0001515622-16-000080,2016-03-02,M,1995,90.76,13445,D,,,,,,
1037646,2016-03-04,MTD,de la Guerroniere Marc,,0001515622-16-000080,2016-03-02,S,1995,325.52,11450,D,,,,,,
1037646,2016-03-04,MTD,CONTINO FRANCIS A,,0001515622-16-000081,2016-03-02,M,2600,133.0,2975,D,,,,,,
1037646,2016-03-04,MTD,CONTINO FRANCIS A,,0001515622-16-000081,2016-03-02,S,900,325.96,2075,D,,,,,,
1037646,2016-03-07,MTD,Rauch Waldemar,,0001515622-16-000083,2016-03-03,S,600,333.15,9213,D,,,,,,
1037646,2016-03-07,MTD,DONNELLY WILLIAM P,,0001515622-16-000082,2016-02-10,G,80,0.0,22289,I,,,,,,
1037646,2016-03-09,MTD,MAERKI HANS ULRICH,,0001515622-16-000084,2016-03-07,M,3000,68.06,9717,D,,,,,,
1037646,2016-03-09,MTD,MAERKI HANS ULRICH,,0001515622-16-000084,2016-03-07,S,4294,335.13,8423,D,,,,,,
1037646,2016-05-11,MTD,SALICE THOMAS P,,0001515622-16-000088,2016-05-09,M,3000,105.11,37078,D,,,,,,
1037646,2016-05-11,MTD,SALICE THOMAS P,,0001515622-16-000088,2016-05-09,S,3000,361.11,34078,D,,,,,,
1037646,2016-05-11,MTD,SALICE THOMAS P,,0001515622-16-000088,2016-05-10,G,1000,0.0,33078,D,,,,,,
1037646,2016-05-12,MTD,FILLIOL OLIVER A,,0001515622-16-000090,2016-05-10,M,3700,105.11,19979,D,,,,,,
1037646,2016-05-12,MTD,FILLIOL OLIVER A,,0001515622-16-000090,2016-05-10,S,3700,365.0,16279,D,,,,,,
1037646,2016-05-12,MTD,SPOERRY ROBERT F,,0001515622-16-000089,2016-05-10,M,4810,105.11,10397,D,,,,,,
1037646,2016-05-12,MTD,SPOERRY ROBERT F,,0001515622-16-000089,2016-05-10,S,4810,365.2,5587,D,,,,,,
1037646,2016-05-16,MTD,DONNELLY WILLIAM P,,0001515622-16-000091,2016-05-12,S,2000,368.25,1000,D,,,,,,
1037646,2016-05-16,MTD,DONNELLY WILLIAM P,,0001515622-16-000091,2016-05-13,S,1000,369.0,1000,D,,,,,,
