cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
723125,2016-10-21,MU,Thorsen Steven L. JR,,0000723125-16-000253,2016-10-19,A,45594.0,0.0,298088.0,D,,,,,,
723125,2016-10-21,MU,ARNZEN APRIL S,,0000723125-16-000241,2016-10-19,A,25847.0,0.0,54515.0,D,,,,,,
723125,2016-10-21,MU,BAILEY ROBERT L,,0000723125-16-000242,2016-10-19,A,14360.0,0.0,126284.0,D,,,,,,
723125,2016-10-21,MU,BEYER RICHARD M,,0000723125-16-000243,2016-10-19,A,14360.0,0.0,69060.0,D,,,,,,
723125,2016-10-21,MU,Deboer Scott J,,0000723125-16-000245,2016-10-20,F,3406.0,17.22,210232.0,D,,,,,,
723125,2016-10-21,MU,Deboer Scott J,,0000723125-16-000245,2016-10-19,A,51694.0,0.0,213638.0,D,,,,,,
723125,2016-10-21,MU,DURCAN DERMOT MARK,,0000723125-16-000246,2016-10-19,A,206778.0,0.0,1929300.0,D,,,,,,
723125,2016-10-21,MU,JOHNSON MERCEDES,,0000723125-16-000247,2016-10-19,A,14360.0,0.0,81775.0,D,,,,,,
723125,2016-10-21,MU,Byrne Patrick J,,0000723125-16-000244,2016-10-19,A,14360.0,0.0,137586.0,D,,,,,,
723125,2016-10-21,MU,Mondry Lawrence N,,0000723125-16-000249,2016-10-19,A,14360.0,0.0,202367.0,D,,,,,,
723125,2016-10-21,MU,Poppen Joel L,,0000723125-16-000250,2016-10-20,F,2181.0,17.22,183553.0,D,,,,,,
723125,2016-10-21,MU,Poppen Joel L,,0000723125-16-000250,2016-10-19,A,41485.0,0.0,185734.0,D,,,,,,
723125,2016-10-21,MU,Shirley Brian,,0000723125-16-000251,2016-10-20,F,6280.0,17.22,348365.0,D,,,,,,
723125,2016-10-21,MU,MADDOCK ERNEST E,,0000723125-16-000248,2016-10-19,A,77542.0,0.0,191931.0,D,,,,,,
723125,2016-10-21,MU,Shirley Brian,,0000723125-16-000251,2016-10-19,A,84107.0,0.0,354645.0,D,,,,,,
723125,2016-10-21,MU,SWITZ ROBERT E,,0000723125-16-000252,2016-10-19,A,14360.0,0.0,139242.0,D,,,,,,
723125,2016-10-21,MU,Thorsen Steven L. JR,,0000723125-16-000253,2016-10-20,F,2398.0,17.22,295690.0,D,,,,,,
723125,2016-10-27,MU,Thorsen Steven L. JR,,0000723125-16-000262,2016-10-25,S,63000.0,17.5849,295690.0,D,,,,,,
723125,2016-10-27,MU,Thorsen Steven L. JR,,0000723125-16-000262,2016-10-25,M,63000.0,5.16,358690.0,D,,,,,,
723125,2016-11-09,MU,DURCAN DERMOT MARK,,0000723125-16-000273,2016-07-18,S,1803.0,13.2842,1298.0,I,,,,,,
723125,2016-11-21,MU,Deboer Scott J,,0000723125-16-000283,2016-11-17,S,10000.0,19.0,200232.0,D,,,,,,
723125,2016-11-21,MU,Shirley Brian,,0000723125-16-000282,2016-11-17,M,63000.0,5.72,411365.0,D,,,,,,
723125,2016-11-21,MU,Shirley Brian,,0000723125-16-000282,2016-11-17,S,63000.0,19.0,348365.0,D,,,,,,
723125,2016-11-21,MU,Poppen Joel L,,0000723125-16-000281,2016-11-19,M,3368.0,0.0,186921.0,D,,,,,,
723125,2016-11-21,MU,Poppen Joel L,,0000723125-16-000281,2016-11-19,F,1171.0,19.21,185750.0,D,,,,,,
723125,2016-12-07,MU,ARNZEN APRIL S,,0000723125-16-000292,2016-12-05,F,391.0,18.79,55249.0,D,,,,,,
723125,2016-12-07,MU,ARNZEN APRIL S,,0000723125-16-000292,2016-12-05,M,1125.0,0.0,55640.0,D,,,,,,
723125,2016-12-15,MU,ARNZEN APRIL S,,0000723125-16-000299,2016-12-14,M,750.0,0.0,55999.0,D,,,,,,
723125,2016-12-15,MU,ARNZEN APRIL S,,0000723125-16-000299,2016-12-14,F,261.0,20.13,55738.0,D,,,,,,
723125,2016-12-15,MU,Poppen Joel L,,0000723125-16-000300,2016-12-14,M,4167.0,0.0,189917.0,D,,,,,,
723125,2016-12-15,MU,Poppen Joel L,,0000723125-16-000300,2016-12-14,F,1449.0,20.13,188468.0,D,,,,,,
723125,2016-12-27,MU,Deboer Scott J,,0000723125-16-000307,2016-12-22,M,38750.0,5.16,238982.0,D,,,,,,
723125,2016-12-27,MU,Deboer Scott J,,0000723125-16-000307,2016-12-22,S,38780.0,23.014,200232.0,D,,,,,,
723125,2017-01-10,MU,Shirley Brian,,0000723125-17-000006,2017-01-06,M,64750.0,5.16,403872.0,D,,,,,,
723125,2017-01-10,MU,Shirley Brian,,0000723125-17-000006,2017-01-06,S,64750.0,22.0969,339122.0,D,,,,,,
723125,2017-01-12,MU,ARNZEN APRIL S,,0000723125-17-000007,2017-01-10,M,889.0,0.0,56627.0,D,,,,,,
723125,2017-01-12,MU,ARNZEN APRIL S,,0000723125-17-000007,2017-01-10,F,357.0,22.34,56270.0,D,,,,,,
723125,2017-01-24,MU,Poppen Joel L,,0000723125-17-000011,2017-01-22,F,1502.0,21.96,186966.0,D,,,,,,
723125,2017-02-10,MU,Thorsen Steven L. JR,,0000723125-17-000017,2017-02-09,M,126000.0,5.72,421690.0,D,,,,,,
723125,2017-02-10,MU,Thorsen Steven L. JR,,0000723125-17-000017,2017-02-09,S,126000.0,24.6351,295690.0,D,,,,,,
723125,2017-02-16,MU,Shirley Brian,,0000723125-17-000021,2017-02-15,M,27250.0,16.92,340542.0,D,,,,,,
723125,2017-02-16,MU,Shirley Brian,,0000723125-17-000021,2017-02-15,S,27250.0,23.1206,313292.0,D,,,,,,
723125,2017-03-27,MU,ARNZEN APRIL S,,0000723125-17-000034,2017-03-24,F,728.0,26.47,55542.0,D,,,,,,
723125,2017-03-29,MU,Deboer Scott J,,0000723125-17-000038,2017-03-27,S,31500.0,28.8112,190232.0,D,,,,,,
723125,2017-03-29,MU,Deboer Scott J,,0000723125-17-000038,2017-03-27,M,31500.0,5.72,221732.0,D,,,,,,
723125,2017-03-30,MU,Shirley Brian,,0000723125-17-000039,2017-03-28,S,63000.0,28.6682,313292.0,D,,,,,,
723125,2017-03-30,MU,Shirley Brian,,0000723125-17-000039,2017-03-28,M,63000.0,5.72,376292.0,D,,,,,,
723125,2017-03-31,MU,ARNZEN APRIL S,,0000723125-17-000041,2017-03-30,M,2250.0,6.66,57792.0,D,,,,,,
723125,2017-03-31,MU,ARNZEN APRIL S,,0000723125-17-000041,2017-03-30,S,10638.0,28.9545,55542.0,D,,,,,,
723125,2017-03-31,MU,Thorsen Steven L. JR,,0000723125-17-000040,2017-03-29,S,50000.0,28.4591,245690.0,D,,,,,,
723125,2017-04-05,MU,ARNZEN APRIL S,,0000723125-17-000042,2017-04-03,S,1000.0,28.95,54542.0,D,,,,,,
723125,2017-05-01,MU,ARNZEN APRIL S,,0000723125-17-000055,2017-05-01,S,1000.0,27.85,53542.0,D,,,,,,
723125,2017-05-01,MU,JOHNSON MERCEDES,,0000723125-17-000054,2017-04-28,S,27242.0,27.6621,54533.0,D,,,,,,
723125,2017-05-10,MU,MEHROTRA SANJAY,,0000723125-17-000058,2017-05-08,A,244171.0,0.0,244171.0,D,,,,,,
723125,2017-05-17,MU,Shirley Brian,,0000723125-17-000061,2017-05-15,M,27250.0,16.92,315542.0,D,,,,,,
723125,2017-05-17,MU,Shirley Brian,,0000723125-17-000061,2017-05-15,S,27250.0,28.7735,288292.0,D,,,,,,
723125,2017-05-18,MU,Byrne Patrick J,,0000723125-17-000062,2017-05-16,S,14143.0,28.9126,123443.0,D,,,,,,
723125,2017-06-01,MU,ARNZEN APRIL S,,0000723125-17-000067,2017-06-01,S,1000.0,30.75,52542.0,D,,,,,,
723125,2017-06-01,MU,Deboer Scott J,,0000723125-17-000066,2017-05-30,S,10000.0,30.0,160232.0,D,,,,,,
723125,2017-06-06,MU,MADDOCK ERNEST E,,0000723125-17-000068,2017-06-03,F,2946.0,31.21,188985.0,D,,,,,,
723125,2017-06-08,MU,Deboer Scott J,,0000723125-17-000069,2017-06-07,S,10000.0,32.0,150232.0,D,,,,,,
723125,2017-06-27,MU,Sadana Sumit,,0000723125-17-000072,2017-06-23,A,25086.0,0.0,25086.0,D,,,,,,
723125,2017-07-06,MU,ARNZEN APRIL S,,0000723125-17-000086,2017-07-03,S,1000.0,30.12,51542.0,D,,,,,,
723125,2017-07-06,MU,BAILEY ROBERT L,,0000723125-17-000087,2017-07-03,S,1900.0,29.0126,124384.0,D,,,,,,
723125,2017-07-14,MU,Shirley Brian,,0000723125-17-000088,2017-07-12,M,27250.0,16.92,292211.0,D,,,,,,
723125,2017-07-14,MU,Shirley Brian,,0000723125-17-000088,2017-07-12,S,27250.0,31.5414,264961.0,D,,,,,,
723125,2017-08-02,MU,BAILEY ROBERT L,,0000723125-17-000094,2017-08-01,S,3000.0,28.4715,120284.0,D,,,,,,
723125,2017-08-02,MU,ARNZEN APRIL S,,0000723125-17-000093,2017-08-01,S,1000.0,28.22,50542.0,D,,,,,,
723125,2017-08-15,MU,MADDOCK ERNEST E,,0000723125-17-000095,2017-08-11,P,3400.0,27.8894,192385.0,D,,,,,,
723125,2017-08-18,MU,Mondry Lawrence N,,0000723125-17-000096,2017-08-16,S,25000.0,30.6194,177367.0,D,,,,,,
723125,2017-09-06,MU,BAILEY ROBERT L,,0000723125-17-000099,2017-09-01,S,3000.0,32.6367,117284.0,D,,,,,,
723125,2017-09-06,MU,ARNZEN APRIL S,,0000723125-17-000098,2017-09-01,S,327.0,32.13,50215.0,D,,,,,,
723125,2017-09-13,MU,ARNZEN APRIL S,,0000723125-17-000101,2017-09-11,M,104.0,0.0,50319.0,D,,,,,,
723125,2017-09-13,MU,ARNZEN APRIL S,,0000723125-17-000101,2017-09-11,F,37.0,32.45,50282.0,D,,,,,,
723125,2017-09-13,MU,Deboer Scott J,,0000723125-17-000100,2017-09-12,S,10000.0,34.0,140232.0,D,,,,,,
