cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1513761,2016-01-06,NCLH,SALERNO F ROBERT,,0001571049-16-010533,2016-01-04,A,2155,0.0,8698,D,,,,,,
1513761,2016-01-06,NCLH,REVELL WALTER L,,0001571049-16-010532,2016-01-04,A,2155,0.0,14821,D,,,,,,
1513761,2016-01-06,NCLH,Leat Chad A,,0001571049-16-010531,2016-01-04,A,3879,0.0,8879,D,,,,,,
1513761,2016-01-06,NCLH,Galbut Russell W,,0001571049-16-010530,2016-01-04,A,3017,0.0,33797,D,,,,,,
1513761,2016-01-06,NCLH,CHIDSEY JOHN,,0001571049-16-010529,2016-01-04,A,3879,0.0,12166,D,,,,,,
1513761,2016-01-06,NCLH,Abrams David M.,,0001571049-16-010528,2016-01-04,A,2155,0.0,4221,D,,,,,,
1513761,2016-03-03,NCLH,Stuart Andrew,,0001571049-16-012602,2016-03-01,A,18750,0.0,289550,D,,,,,,
1513761,2016-03-03,NCLH,Sommer Harry,,0001571049-16-012601,2016-03-01,A,12500,0.0,24751,D,,,,,,
1513761,2016-03-03,NCLH,Montague Jason,,0001571049-16-012600,2016-03-01,A,18750,0.0,59555,D,,,,,,
1513761,2016-03-03,NCLH,Lindsay T. Robin,,0001571049-16-012599,2016-03-01,A,18750,0.0,60647,D,,,,,,
1513761,2016-03-03,NCLH,Farkas Daniel S,,0001571049-16-012598,2016-03-01,A,7500,0.0,69171,D,,,,,,
1513761,2016-03-03,NCLH,Beck Wendy A.,,0001571049-16-012597,2016-03-01,A,18750,0.0,259343,D,,,,,,
1513761,2016-03-03,NCLH,Ashby Faye L.,,0001571049-16-012596,2016-03-01,A,7500,0.0,9555,D,,,,,,
1513761,2016-03-07,NCLH,Del Rio Frank J,,0001571049-16-012693,2016-03-04,F,5244,49.56,411280,D,,,,,,
1513761,2016-03-07,NCLH,Del Rio Frank J,,0001571049-16-012693,2016-03-03,A,12500,0.0,416524,D,,,,,,
1513761,2016-03-14,NCLH,Farkas Daniel S,,0001571049-16-013018,2016-03-10,M,18770,19.0,87941,D,,,,,,
1513761,2016-03-14,NCLH,Farkas Daniel S,,0001571049-16-013018,2016-03-10,S,18770,47.6,69171,D,,,,,,
1513761,2016-03-14,NCLH,Farkas Daniel S,,0001571049-16-013018,2016-03-11,M,6300,19.0,75471,D,,,,,,
1513761,2016-03-14,NCLH,Farkas Daniel S,,0001571049-16-013018,2016-03-11,S,20300,47.56,55171,D,,,,,,
1513761,2016-07-01,NCLH,Del Rio Frank J,,0001571049-16-016435,2016-06-30,F,15732,39.84,395548,D,,,,,,
1513761,2016-08-31,NCLH,Del Rio Frank J,,0001571049-16-017910,2016-08-31,P,55623,35.956,451171,D,,,,,,
1513761,2016-09-02,NCLH,Del Rio Frank J,,0001209191-16-139874,2016-09-01,J,177152,,274019,D,,,,,,
1513761,2016-09-06,NCLH,Lindsay T. Robin,,0001571049-16-018021,2016-09-02,P,12000,35.9,72647,D,,,,,,
1513761,2016-09-19,NCLH,Stuart Andrew,,0001571049-16-018321,2016-09-16,A,15000,0.0,304550,D,,,,,,
1513761,2016-09-19,NCLH,Binder Robert,,0001571049-16-018319,2016-09-16,A,45000,0.0,63750,D,,,,,,
1513761,2017-01-05,NCLH,Galbut Russell W,,0001571049-17-000193,2017-01-03,A,2921,0.0,36718,D,,,,,,
1513761,2017-01-05,NCLH,Leat Chad A,,0001571049-17-000191,2017-01-03,A,5258,0.0,14137,D,,,,,,
1513761,2017-01-05,NCLH,CHIDSEY JOHN,,0001571049-17-000192,2017-01-03,A,5258,0.0,17424,D,,,,,,
1513761,2017-01-05,NCLH,Abrams David M.,,0001571049-17-000197,2017-01-03,A,5258,0.0,9479,D,,,,,,
1513761,2017-01-05,NCLH,David Stella,,0001571049-17-000194,2017-01-03,A,5258,0.0,5258,D,,,,,,
1513761,2017-01-05,NCLH,REVELL WALTER L,,0001571049-17-000195,2017-01-03,A,2921,0.0,17742,D,,,,,,
