cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1120193,2016-01-05,NDAQ,Wittman Thomas A,,0001209191-16-088651,2015-12-31,F,1617,58.17,49592,D,,,,,,
1120193,2016-01-05,NDAQ,Ottersgard Lars,,0001209191-16-088643,2015-12-31,F,3019,58.17,20802,D,,,,,,
1120193,2016-01-05,NDAQ,HASSEN RONALD,,0001209191-16-088639,2015-12-31,F,1956,58.17,42037,D,,,,,,
1120193,2016-01-05,NDAQ,Griggs PC Nelson,,0001209191-16-088632,2015-12-31,F,1769,58.17,14222,D,,,,,,
1120193,2016-01-06,NDAQ,Shavel Lee,,0001209191-16-089866,2016-01-04,S,10231,56.83,75168,D,,,,,,
1120193,2016-02-03,NDAQ,Jochumsen Hans-Ole,,0001209191-16-095324,2016-02-01,S,35000,61.44,9392,D,,,,,,
1120193,2016-02-04,NDAQ,Griggs PC Nelson,,0001209191-16-095723,2016-02-02,S,1893,62.18,12329,D,,,,,,
1120193,2016-02-09,NDAQ,Peterson Bradley J,,0001209191-16-096709,2016-02-06,F,9847,60.21,13559,D,,,,,,
1120193,2016-02-09,NDAQ,DONDE SALIL S,,0001209191-16-096704,2016-02-05,F,1846,59.4,13989,D,,,,,,
1120193,2016-03-01,NDAQ,KNIGHT EDWARD S,,0001209191-16-104039,2016-02-26,F,31338,63.85,56409,D,,,,,,
1120193,2016-03-01,NDAQ,GREIFELD ROBERT,,0001209191-16-104027,2016-02-26,F,220676,63.85,990093,D,,,,,,
1120193,2016-03-01,NDAQ,GREIFELD ROBERT,,0001209191-16-104027,2016-02-26,A,421539,0.0,1210769,D,,,,,,
1120193,2016-03-01,NDAQ,Griggs PC Nelson,,0001209191-16-104034,2016-02-26,F,2768,63.85,15274,D,,,,,,
1120193,2016-03-01,NDAQ,Griggs PC Nelson,,0001209191-16-104034,2016-02-26,A,5713,0.0,18042,D,,,,,,
1120193,2016-03-01,NDAQ,Jochumsen Hans-Ole,,0001209191-16-104038,2016-02-26,A,60967,0.0,70359,D,,,,,,
1120193,2016-03-01,NDAQ,Jochumsen Hans-Ole,,0001209191-16-104038,2016-02-26,F,28905,63.85,41454,D,,,,,,
1120193,2016-03-01,NDAQ,HASSEN RONALD,,0001209191-16-104053,2016-02-26,F,2202,63.85,48193,D,,,,,,
1120193,2016-03-01,NDAQ,Wittman Thomas A,,0001209191-16-104042,2016-02-26,F,2462,63.85,52208,D,,,,,,
1120193,2016-03-01,NDAQ,HASSEN RONALD,,0001209191-16-104053,2016-02-26,A,8358,0.0,50395,D,,,,,,
1120193,2016-03-01,NDAQ,Ottersgard Lars,,0001209191-16-104058,2016-02-26,F,3683,63.85,23468,D,,,,,,
