cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1164727,2018-10-03,NEM,Lawson Scott P,,0001164727-18-000159,2018-10-01,S,5000.0,30.037,84091,D,,,,,,
1164727,2018-10-03,NEM,Goldberg Gary J,,0001164727-18-000157,2018-10-01,S,4000.0,30.2,539788,I,,,,,,
1164727,2018-10-03,NEM,Dorward-King Elaine J,,0001164727-18-000155,2018-10-01,S,3000.0,30.2,102831,D,,,,,,
1164727,2018-10-03,NEM,Buese Nancy,,0001164727-18-000153,2018-10-01,S,2000.0,30.2,5142,I,,,,,,
1164727,2018-10-03,NEM,Palmer Thomas Ronald,,0001164727-18-000151,2018-10-01,S,1250.0,30.2,131610,D,,,,,,
1164727,2018-11-02,NEM,Dorward-King Elaine J,,0001164727-18-000163,2018-11-01,S,3000.0,31.51,99831,D,,,,,,
1164727,2018-11-02,NEM,Buese Nancy,,0001164727-18-000165,2018-11-01,F,22078.0,31.72,64499,D,,,,,,
1164727,2018-11-02,NEM,Palmer Thomas Ronald,,0001164727-18-000161,2018-11-01,S,1250.0,31.51,130360,D,,,,,,
1164727,2018-11-02,NEM,MacGowan William N,,0001164727-18-000167,2018-11-01,S,5000.0,31.4414,158410,D,,,,,,
1164727,2018-11-02,NEM,Buese Nancy,,0001164727-18-000165,2018-11-01,S,2000.0,31.51,3142,I,,,,,,
1164727,2018-11-02,NEM,Goldberg Gary J,,0001164727-18-000169,2018-11-01,S,4000.0,31.51,535788,I,,,,,,
1164727,2018-12-06,NEM,Palmer Thomas Ronald,,0001164727-18-000177,2018-12-03,S,1250.0,32.88,129110,D,,,,,,
1164727,2018-12-06,NEM,Dorward-King Elaine J,,0001164727-18-000175,2018-12-03,S,3000.0,32.88,96831,D,,,,,,
1164727,2018-12-06,NEM,Goldberg Gary J,,0001164727-18-000173,2018-12-03,S,4000.0,32.88,531788,I,,,,,,
1164727,2018-12-06,NEM,Buese Nancy,,0001164727-18-000171,2018-12-03,S,2000.0,32.88,29262,I,,,,,,
1164727,2018-12-28,NEM,Gottesfeld Stephen P,,0001164727-18-000179,2018-12-26,S,3500.0,35.0137,174764,D,,,,,,
1164727,2019-01-03,NEM,Goldberg Gary J,,0001164727-19-000002,2019-01-02,S,4000.0,34.43,527788,I,,,,,,
1164727,2019-01-03,NEM,Goldberg Gary J,,0001164727-19-000002,2018-12-31,F,736.0,34.42,137797,D,,,,,,
1164727,2019-01-03,NEM,Dorward-King Elaine J,,0001164727-19-000004,2019-01-02,S,3000.0,34.43,93692,D,,,,,,
1164727,2019-01-03,NEM,Dorward-King Elaine J,,0001164727-19-000004,2018-12-31,F,139.0,34.42,96692,D,,,,,,
1164727,2019-01-03,NEM,MacGowan William N,,0001164727-19-000006,2018-12-31,F,138.0,34.42,158272,D,,,,,,
