cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1065280,2022-11-14,NFLX,HASTINGS REED,,0001065280-22-000403,2022-11-11,G,15500,0.0,5143441.0,I,,,,,,
1065280,2023-02-01,NFLX,Hoag Jay C,,0001104659-23-009361,2023-01-30,J,91517,0.0,91517.0,I,,,,,,
1065280,2023-02-01,NFLX,Hoag Jay C,,0001104659-23-009361,2023-01-31,M,109,201.07,2376.0,D,,,,,,
1065280,2023-02-01,NFLX,Hoag Jay C,,0001104659-23-009361,2023-01-31,S,3698,352.94,0.0,D,,,,,,
1065280,2023-02-01,NFLX,Hoag Jay C,,0001104659-23-009359,2023-01-30,J,237382,0.0,0.0,I,,,,,,
1065280,2023-02-01,NFLX,Hoag Jay C,,0001104659-23-009359,2023-01-31,M,232,117.22,232.0,D,,,,,,
1065280,2023-05-03,NFLX,HASTINGS REED,,0001065280-23-000138,2023-05-01,M,26278,31.71,26278.0,D,,,,,,
1065280,2023-05-03,NFLX,HASTINGS REED,,0001065280-23-000138,2023-05-01,S,725,318.7789,25553.0,D,,,,,,
1065280,2023-05-11,NFLX,HALEY TIMOTHY M,,0001065280-23-000153,2023-05-10,S,4137,333.8553,3010.0,D,,,,,,
1065280,2023-05-11,NFLX,HALEY TIMOTHY M,,0001065280-23-000153,2023-05-10,M,742,67.5857,742.0,D,,,,,,
1065280,2023-05-11,NFLX,BARTON RICHARD N,,0001065280-23-000152,2023-05-11,S,500,334.98,86.0,D,,,,,,
1065280,2023-05-11,NFLX,BARTON RICHARD N,,0001065280-23-000152,2023-05-11,M,500,57.7686,586.0,D,,,,,,
1065280,2023-05-31,NFLX,HALEY TIMOTHY M,,0001065280-23-000155,2023-05-30,M,826,60.7714,826.0,D,,,,,,
1065280,2023-05-31,NFLX,HALEY TIMOTHY M,,0001065280-23-000155,2023-05-30,S,2359,400.3852,0.0,D,,,,,,
1065280,2023-06-02,NFLX,HASTINGS REED,,0001065280-23-000157,2023-06-01,S,400,393.8625,25612.0,D,,,,,,
1065280,2023-06-02,NFLX,HASTINGS REED,,0001065280-23-000157,2023-06-01,M,26012,32.04,26012.0,D,,,,,,
1065280,2023-06-09,NFLX,BARTON RICHARD N,,0001065280-23-000177,2023-06-08,S,500,399.77,86.0,D,,,,,,
1065280,2023-06-09,NFLX,BARTON RICHARD N,,0001065280-23-000177,2023-06-08,M,368,57.7686,454.0,D,,,,,,
1065280,2023-06-09,NFLX,HALEY TIMOTHY M,,0001065280-23-000175,2023-06-09,S,903,425.0,0.0,D,,,,,,
1065280,2023-06-09,NFLX,HALEY TIMOTHY M,,0001065280-23-000175,2023-06-09,M,903,55.4871,903.0,D,,,,,,
1065280,2023-07-05,NFLX,HALEY TIMOTHY M,,0001201583-23-000001,2023-07-05,M,1022,48.83,1022.0,D,,,,,,
1065280,2023-07-05,NFLX,HALEY TIMOTHY M,,0001201583-23-000001,2023-07-05,S,1022,450.1933,0.0,D,,,,,,
1065280,2023-07-05,NFLX,HASTINGS REED,,0001033331-23-000002,2023-07-03,M,23415,35.5886,23415.0,D,,,,,,
1065280,2023-07-05,NFLX,HASTINGS REED,,0001033331-23-000002,2023-07-03,S,730,432.55,22685.0,D,,,,,,
1065280,2023-07-07,NFLX,Hoag Jay C,,0001062993-23-014724,2023-07-05,S,46057,450.15,422434.0,I,,,,,,
1065280,2023-07-11,NFLX,BARTON RICHARD N,,0001065280-23-000196,2023-07-10,M,500,63.6557,586.0,D,,,,,,
1065280,2023-07-11,NFLX,BARTON RICHARD N,,0001065280-23-000196,2023-07-10,S,500,438.52,86.0,D,,,,,,
1065280,2023-07-14,NFLX,Hoag Jay C,,0001104659-23-081223,2023-07-13,S,943,450.0,421491.0,I,,,,,,
1065280,2023-07-21,NFLX,HASTINGS REED,,0001065280-23-000200,2023-07-20,G,81400,0.0,5062041.0,I,,,,,,
1065280,2023-07-28,NFLX,Hoag Jay C,,0001104659-23-085462,2023-07-26,M,301,117.22,301.0,D,,,,,,
1065280,2023-07-28,NFLX,Hoag Jay C,,0001104659-23-085462,2023-07-26,S,4954,422.24,0.0,D,,,,,,
1065280,2023-08-02,NFLX,HASTINGS REED,,0001065280-23-000204,2023-08-01,S,200,432.415,19988.0,D,,,,,,
1065280,2023-08-02,NFLX,HASTINGS REED,,0001065280-23-000204,2023-08-01,M,20188,41.2857,20188.0,D,,,,,,
1065280,2023-08-07,NFLX,SARANDOS THEODORE A,,0001065280-23-000217,2023-08-04,M,15952,125.37,15952.0,D,,,,,,
1065280,2023-08-07,NFLX,SARANDOS THEODORE A,,0001065280-23-000217,2023-08-04,S,8060,427.7733,47326.0,D,,,,,,
1065280,2023-08-09,NFLX,BARTON RICHARD N,,0001065280-23-000219,2023-08-08,M,152,63.6557,304.0,D,,,,,,
1065280,2023-08-09,NFLX,BARTON RICHARD N,,0001065280-23-000219,2023-08-08,S,500,440.36,152.0,D,,,,,,
1065280,2023-09-05,NFLX,HASTINGS REED,,0001065280-23-000221,2023-09-01,M,17969,46.3743,17969.0,D,,,,,,
1065280,2023-09-05,NFLX,HASTINGS REED,,0001065280-23-000221,2023-09-01,S,1200,437.0267,16769.0,D,,,,,,
1065280,2023-09-12,NFLX,BARTON RICHARD N,,0001065280-23-000241,2023-09-11,S,500,443.07,152.0,D,,,,,,
1065280,2023-09-12,NFLX,BARTON RICHARD N,,0001065280-23-000241,2023-09-11,M,478,60.2943,630.0,D,,,,,,
1065280,2023-10-03,NFLX,HASTINGS REED,,0001065280-23-000269,2023-10-02,M,17717,47.0386,17717.0,D,,,,,,
1065280,2023-10-03,NFLX,HASTINGS REED,,0001065280-23-000269,2023-10-02,S,946,378.3757,16771.0,D,,,,,,
1065280,2023-10-10,NFLX,BARTON RICHARD N,,0001065280-23-000271,2023-10-09,M,500,67.5857,652.0,D,,,,,,
1065280,2023-10-10,NFLX,BARTON RICHARD N,,0001065280-23-000271,2023-10-09,S,500,378.05,152.0,D,,,,,,
1065280,2023-11-02,NFLX,HASTINGS REED,,0001065280-23-000291,2023-11-01,M,16030,51.9886,16030.0,D,,,,,,
1065280,2023-11-02,NFLX,HASTINGS REED,,0001065280-23-000291,2023-11-01,S,1332,414.9867,14698.0,D,,,,,,
1065280,2023-11-08,NFLX,HASTINGS REED,,0001065280-23-000303,2023-11-08,G,70500,0.0,4991541.0,I,,,,,,
1065280,2023-11-08,NFLX,HASTINGS REED,,0001065280-23-000303,2023-11-07,S,3044,431.7208,78303.0,D,,,,,,
1065280,2023-11-08,NFLX,HASTINGS REED,,0001065280-23-000303,2023-11-07,M,16079,51.8314,16079.0,D,,,,,,
1065280,2023-11-09,NFLX,BARTON RICHARD N,,0001065280-23-000305,2023-11-08,M,220,67.5857,372.0,D,,,,,,
1065280,2023-11-09,NFLX,BARTON RICHARD N,,0001065280-23-000305,2023-11-08,S,500,435.0,152.0,D,,,,,,
1065280,2023-12-12,NFLX,BARTON RICHARD N,,0001065280-23-000336,2023-12-11,M,500,60.7714,652.0,D,,,,,,
1065280,2023-12-12,NFLX,BARTON RICHARD N,,0001065280-23-000336,2023-12-11,S,6842,459.36,152.0,D,,,,,,
1065280,2023-12-20,NFLX,HYMAN DAVID A,,0001065280-23-000338,2023-12-19,M,3143,79.5757,34753.0,D,,,,,,
1065280,2023-12-20,NFLX,HYMAN DAVID A,,0001065280-23-000338,2023-12-19,S,19876,495.0,31610.0,D,,,,,,
1065280,2023-12-21,NFLX,Peters Gregory K,,0001065280-23-000343,2023-12-20,M,7230,94.37,20320.0,D,,,,,,
1065280,2023-12-21,NFLX,Peters Gregory K,,0001065280-23-000343,2023-12-20,S,7230,500.0,13090.0,D,,,,,,
