cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
320187,2015-12-30,NKE,JACKSON JEANNE P,,0000320187-15-000235,2015-12-28,M,25000.0,17.24,192196.0,D,,,,,,
320187,2015-12-30,NKE,JACKSON JEANNE P,,0000320187-15-000235,2015-12-28,S,25000.0,63.5763,167196.0,D,,,,,,
320187,2015-12-30,NKE,COOK TIMOTHY D,,0000320187-15-000234,2015-12-29,M,16000.0,14.65,28682.0,D,,,,,,
320187,2015-12-30,NKE,COOK TIMOTHY D,,0000320187-15-000234,2015-12-29,S,16000.0,64.0354,12682.0,D,,,,,,
320187,2016-01-27,NKE,Slusher John F,,0000320187-16-000249,2016-01-25,M,40000.0,14.63,203104.0,D,,,,,,
320187,2016-01-27,NKE,Slusher John F,,0000320187-16-000249,2016-01-25,S,40000.0,61.25,163104.0,D,,,,,,
320187,2016-02-01,NKE,PARKER MARK G,,0000320187-16-000252,2016-01-29,M,20700.0,14.63,1871096.0,D,,,,,,
320187,2016-02-01,NKE,PARKER MARK G,,0000320187-16-000252,2016-01-29,S,20700.0,62.1171,1850396.0,D,,,,,,
320187,2016-03-31,NKE,THOMPSON JOHN R JR,,0000320187-16-000261,2016-03-29,M,28000.0,24.18,66682.0,D,,,,,,
320187,2016-03-31,NKE,THOMPSON JOHN R JR,,0000320187-16-000261,2016-03-29,S,28000.0,61.629,38682.0,D,,,,,,
320187,2016-04-18,NKE,PARKER MARK G,,0000320187-16-000266,2016-04-14,S,50000.0,59.9437,1850396.0,D,,,,,,
320187,2016-04-18,NKE,PARKER MARK G,,0000320187-16-000266,2016-04-14,M,50000.0,14.63,1900396.0,D,,,,,,
320187,2016-04-21,NKE,SPRUNK ERIC D,,0000320187-16-000272,2016-04-19,S,1133.3475,59.56,0.0,I,,,,,,
320187,2016-04-21,NKE,PARKER MARK G,,0000320187-16-000269,2016-04-20,M,50000.0,14.63,1900396.0,D,,,,,,
320187,2016-04-21,NKE,PARKER MARK G,,0000320187-16-000269,2016-04-20,S,50000.0,60.0064,1850396.0,D,,,,,,
320187,2016-04-25,NKE,LECHLEITER JOHN C,,0000320187-16-000276,2016-04-21,P,1000.0,60.18,22682.0,D,,,,,,
320187,2016-04-27,NKE,Slusher John F,,0000320187-16-000280,2016-04-26,M,40000.0,14.63,203104.0,D,,,,,,
320187,2016-04-27,NKE,Slusher John F,,0000320187-16-000280,2016-04-26,S,40000.0,59.59,163104.0,D,,,,,,
320187,2016-05-02,NKE,Slusher John F,,0000320187-16-000282,2016-04-28,S,40000.0,59.1738,163104.0,D,,,,,,
320187,2016-05-02,NKE,Slusher John F,,0000320187-16-000282,2016-04-28,M,40000.0,14.63,203104.0,D,,,,,,
320187,2016-05-02,NKE,Krane Hilary K,,0000320187-16-000284,2016-04-28,S,55000.0,59.1256,208038.0,D,,,,,,
320187,2016-05-02,NKE,Krane Hilary K,,0000320187-16-000284,2016-04-28,M,55000.0,23.27,263038.0,D,,,,,,
320187,2016-05-02,NKE,SPRUNK ERIC D,,0000320187-16-000286,2016-04-29,S,135764.0,58.8239,249684.0,D,,,,,,
320187,2016-05-02,NKE,SPRUNK ERIC D,,0000320187-16-000286,2016-04-29,M,135764.0,13.11,385448.0,D,,,,,,
320187,2016-07-01,NKE,LECHLEITER JOHN C,,0000320187-16-000312,2016-07-01,P,1000.0,55.09,23682.0,D,,,,,,
320187,2016-07-01,NKE,KNIGHT PHILIP H,,0000320187-16-000310,2016-06-29,C,24000000.0,0.0,24030960.0,D,,,,,,
320187,2016-07-19,NKE,SPRUNK ERIC D,,0000320187-16-000326,2016-07-19,F,3351.0,57.76,254296.0,D,,,,,,
320187,2016-07-19,NKE,EDWARDS TREVOR A,,0000320187-16-000325,2016-07-15,A,15121.0,0.0,537857.0,D,,,,,,
320187,2016-07-19,NKE,EDWARDS TREVOR A,,0000320187-16-000325,2016-07-18,F,2345.0,57.74,533631.0,D,,,,,,
320187,2016-07-19,NKE,Krane Hilary K,,0000320187-16-000321,2016-07-19,F,2681.0,57.76,210795.0,D,,,,,,
320187,2016-07-19,NKE,PARKER MARK G,,0000320187-16-000323,2016-07-15,A,60481.0,0.0,1910877.0,D,,,,,,
320187,2016-07-19,NKE,SPRUNK ERIC D,,0000320187-16-000326,2016-07-17,F,2259.0,57.87,260386.0,D,,,,,,
320187,2016-07-19,NKE,EDWARDS TREVOR A,,0000320187-16-000325,2016-07-17,F,1881.0,57.87,535976.0,D,,,,,,
320187,2016-07-19,NKE,Krane Hilary K,,0000320187-16-000321,2016-07-17,F,1657.0,57.87,215886.0,D,,,,,,
