cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1133421,2016-07-05,NOC,Jones Christopher T,,0001225208-16-035991,2016-07-01,S,240.0,222.5,48259.809,D,,,,,,
1133421,2016-07-05,NOC,KRAPEK KARL J,,0001225208-16-035914,2016-06-30,J,261.0,222.28,28115.0,D,,,,,,
1133421,2016-07-05,NOC,Brown Marianne,,0001225208-16-035913,2016-06-30,J,156.0,222.28,1915.0,D,,,,,,
1133421,2016-07-05,NOC,FUDGE ANN M,,0001225208-16-035912,2016-06-30,J,146.0,222.28,926.0,D,,,,,,
1133421,2016-08-02,NOC,Jones Christopher T,,0001225208-16-037361,2016-08-01,S,240.0,215.86,48019.809,D,,,,,,
1133421,2016-08-05,NOC,BUSH WESLEY G,,0001225208-16-037534,2016-08-03,S,35000.0,218.45,35000.0,D,,,,,,
1133421,2016-08-08,NOC,FLACH GLORIA A,,0001225208-16-037599,2016-08-05,S,3769.0,218.78,61811.5,D,,,,,,
1133421,2016-08-16,NOC,VICE THOMAS E,,0001225208-16-037921,2016-08-12,S,20997.0,217.94,82496.5,D,,,,,,
1133421,2016-08-18,NOC,Caylor Mark A,,0001225208-16-038101,2016-08-15,S,5466.0,218.27,20078.69,D,,,,,,
1133421,2016-09-02,NOC,Jones Christopher T,,0001225208-16-038764,2016-09-01,S,240.0,212.2,47779.809,D,,,,,,
1133421,2016-09-02,NOC,Bedingfield Kenneth L,,0001225208-16-038763,2016-09-01,S,125.0,212.2,18626.14,D,,,,,,
1133421,2016-10-04,NOC,KRAPEK KARL J,,0001225208-16-040026,2016-09-30,J,259.0,213.95,28374.0,D,,,,,,
1133421,2016-10-04,NOC,FUDGE ANN M,,0001225208-16-040025,2016-09-30,J,158.0,213.95,1084.0,D,,,,,,
1133421,2016-10-04,NOC,Brown Marianne,,0001225208-16-040024,2016-09-30,J,163.0,213.95,2078.0,D,,,,,,
1133421,2016-10-05,NOC,Jones Christopher T,,0001225208-16-040186,2016-10-03,S,240.0,213.0,47539.809,D,,,,,,
1133421,2016-10-05,NOC,Bedingfield Kenneth L,,0001225208-16-040185,2016-10-03,S,125.0,213.0,18501.14,D,,,,,,
1133421,2016-11-03,NOC,Peppard Denise M.,,0001225208-16-041076,2016-11-01,S,2015.0,229.5,37284.5,D,,,,,,
1133421,2016-11-03,NOC,Jones Christopher T,,0001225208-16-041075,2016-11-01,S,240.0,229.5,47299.809,D,,,,,,
1133421,2016-11-03,NOC,Bedingfield Kenneth L,,0001225208-16-041074,2016-11-01,S,125.0,229.5,18376.14,D,,,,,,
1133421,2016-11-04,NOC,BUSH WESLEY G,,0001225208-16-041170,2016-11-02,S,35000.0,228.37,0.0,D,,,,,,
1133421,2016-11-09,NOC,Peppard Denise M.,,0001225208-16-041372,2016-11-07,S,1912.0,228.42,35372.5,D,,,,,,
1133421,2016-11-17,NOC,CHESTON SHEILA C.,,0001225208-16-041926,2016-11-15,S,3394.0,251.29,37288.0,D,,,,,,
1133421,2016-12-02,NOC,Bedingfield Kenneth L,,0001225208-16-042636,2016-12-01,S,125.0,248.85,18251.14,D,,,,,,
1133421,2016-12-02,NOC,Jones Christopher T,,0001225208-16-042635,2016-12-01,S,240.0,248.85,47059.809,D,,,,,,
1133421,2016-12-05,NOC,BUSH WESLEY G,,0001225208-16-042692,2016-12-02,J,39921.0,0.0,39921.0,D,,,,,,
1133421,2017-01-04,NOC,KRAPEK KARL J,,0001225208-17-000438,2016-12-28,G,728.0,232.62,27646.0,D,,,,,,
1133421,2017-01-04,NOC,KRAPEK KARL J,,0001225208-17-000438,2016-12-31,J,233.0,232.58,27879.0,D,,,,,,
1133421,2017-01-04,NOC,Jones Christopher T,,0001225208-17-000435,2017-01-03,S,240.0,234.38,46819.809,D,,,,,,
1133421,2017-01-04,NOC,WELSH MARK A III,,0001225208-17-000440,2016-12-31,J,270.0,237.72,270.0,D,,,,,,
1133421,2017-01-04,NOC,Bedingfield Kenneth L,,0001225208-17-000434,2017-01-03,S,125.0,234.38,18126.14,D,,,,,,
1133421,2017-01-04,NOC,FUDGE ANN M,,0001225208-17-000436,2016-12-31,J,147.0,232.58,1231.0,D,,,,,,
1133421,2017-01-04,NOC,Brown Marianne,,0001225208-17-000437,2016-12-31,J,150.0,232.58,2228.0,D,,,,,,
1133421,2017-02-02,NOC,Jones Christopher T,,0001225208-17-002276,2017-02-01,S,240.0,228.72,46579.809,D,,,,,,
1133421,2017-02-02,NOC,Bedingfield Kenneth L,,0001225208-17-002275,2017-02-01,S,128.0,228.72,17998.14,D,,,,,,
1133421,2017-02-22,NOC,BUSH WESLEY G,,0001225208-17-004127,2017-02-17,F,37796.0,243.58,82617.76,D,,,,,,
1133421,2017-02-22,NOC,BUSH WESLEY G,,0001225208-17-004127,2017-02-17,M,80492.76,0.0,120413.76,D,,,,,,
1133421,2017-02-22,NOC,FLACH GLORIA A,,0001225208-17-004129,2017-02-19,F,4445.0,243.58,82157.98,D,,,,,,
1133421,2017-02-22,NOC,CHESTON SHEILA C.,,0001225208-17-004128,2017-02-17,M,20570.52,0.0,57858.52,D,,,,,,
1133421,2017-02-22,NOC,CHESTON SHEILA C.,,0001225208-17-004128,2017-02-17,F,9870.0,243.58,47988.52,D,,,,,,
1133421,2017-02-22,NOC,BUSH WESLEY G,,0001225208-17-004127,2017-02-19,M,22680.0,0.0,105297.76,D,,,,,,
1133421,2017-02-22,NOC,BUSH WESLEY G,,0001225208-17-004127,2017-02-19,F,11140.0,243.58,94157.76,D,,,,,,
1133421,2017-02-22,NOC,Bedingfield Kenneth L,,0001225208-17-004126,2017-02-17,M,5937.93,0.0,23936.07,D,,,,,,
1133421,2017-02-22,NOC,Bedingfield Kenneth L,,0001225208-17-004126,2017-02-17,F,2503.0,243.58,21433.07,D,,,,,,
1133421,2017-02-22,NOC,CHESTON SHEILA C.,,0001225208-17-004128,2017-02-19,F,2951.0,243.58,50833.52,D,,,,,,
