cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1373715,2022-02-15,NOW,Desai Chirantan Jitendra,,0001373715-22-000063,2022-02-11,M,2522.0,0.0,54374.0,D,,,,,,
1373715,2022-02-15,NOW,Desai Chirantan Jitendra,,0001373715-22-000063,2022-02-11,F,1251.0,583.72,53123.0,D,,,,,,
1373715,2022-02-15,NOW,Desai Chirantan Jitendra,,0001373715-22-000063,2022-02-14,S,3000.0,578.477,50376.0,D,,,,,,
1373715,2022-02-15,NOW,Bedi Christopher,,0001373715-22-000061,2022-02-11,M,786.0,0.0,13963.0,D,,,,,,
1373715,2022-02-15,NOW,Bedi Christopher,,0001373715-22-000061,2022-02-11,F,390.0,583.72,13573.0,D,,,,,,
1373715,2022-02-15,NOW,Bedi Christopher,,0001373715-22-000061,2022-02-14,S,158.0,578.87,13494.0,D,,,,,,
1373715,2022-02-15,NOW,Caimi Lara,,0001373715-22-000059,2022-02-11,M,867.0,0.0,3006.0,D,,,,,,
1373715,2022-02-15,NOW,Caimi Lara,,0001373715-22-000059,2022-02-11,F,456.0,583.72,2550.0,D,,,,,,
1373715,2022-02-15,NOW,ELMER RUSSELL S,,0001373715-22-000057,2022-02-11,M,1101.0,0.0,12337.0,D,,,,,,
1373715,2022-02-15,NOW,ELMER RUSSELL S,,0001373715-22-000057,2022-02-11,F,546.0,583.72,11791.0,D,,,,,,
1373715,2022-02-17,NOW,Desai Chirantan Jitendra,,0001373715-22-000069,2022-02-15,S,3000.0,588.6271,47376.0,D,,,,,,
1373715,2022-02-17,NOW,McDermott William R,,0001373715-22-000067,2022-02-15,M,3196.0,0.0,36836.0,D,,,,,,
1373715,2022-02-17,NOW,McDermott William R,,0001373715-22-000067,2022-02-15,F,1585.0,591.66,35251.0,D,,,,,,
1373715,2022-02-22,NOW,Desai Chirantan Jitendra,,0001373715-22-000085,2022-02-17,M,2646.0,0.0,50022.0,D,,,,,,
1373715,2022-02-22,NOW,Caimi Lara,,0001373715-22-000087,2022-02-17,F,513.0,565.75,3094.0,D,,,,,,
1373715,2022-02-22,NOW,Tzitzon Nicholas,,0001373715-22-000091,2022-02-17,F,57.0,565.75,2226.0,D,,,,,,
1373715,2022-02-22,NOW,Caimi Lara,,0001373715-22-000087,2022-02-17,M,976.0,0.0,3607.0,D,,,,,,
