cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1013871,2018-02-05,NRG,Schaumburg Anne C,,0001179110-18-001567,2018-02-01,A,33.0,,62381.0,D,,,,,,
1013871,2018-02-05,NRG,Callen David,,0001179110-18-001555,2018-02-01,A,86.0,,46115.0,D,,,,,,
1013871,2018-02-05,NRG,Moser Christopher,,0001179110-18-001552,2018-02-01,A,126.0,,104838.0,D,,,,,,
1013871,2018-02-05,NRG,Killinger Elizabeth R,,0001179110-18-001553,2018-02-01,A,187.0,,130406.0,D,,,,,,
1013871,2018-02-05,NRG,Chillemi John V,,0001179110-18-001556,2018-02-01,A,166.0,,78695.0,D,,,,,,
1013871,2018-02-05,NRG,Gutierrez Mauricio,,0001179110-18-001557,2018-02-01,A,950.0,,506645.0,D,,,,,,
1013871,2018-02-05,NRG,Andrews Kirkland B,,0001179110-18-001558,2018-02-01,A,225.0,,258608.0,D,,,,,,
1013871,2018-02-05,NRG,Hill David Russell,,0001179110-18-001554,2018-02-01,A,176.0,,117551.0,D,,,,,,
1013871,2018-02-05,NRG,Caldwell Kirbyjon H,,0001179110-18-001560,2018-02-01,A,41.0,,52789.0,D,,,,,,
1013871,2018-02-05,NRG,COBEN LAWRENCE S,,0001179110-18-001561,2018-02-01,A,47.0,,89959.0,D,,,,,,
1013871,2018-02-05,NRG,DALLAS TERRY G,,0001179110-18-001562,2018-02-01,A,47.0,,41649.0,D,,,,,,
1013871,2018-02-05,NRG,Silverstein Evan Jay,,0001179110-18-001565,2018-02-01,A,39.0,,52389.0,D,,,,,,
1013871,2018-02-05,NRG,Wilder John C Jr,,0001179110-18-001566,2018-02-01,A,16.0,,22729.0,D,,,,,,
1013871,2018-02-05,NRG,Abraham Spencer,,0001179110-18-001559,2018-02-01,A,36.0,,39198.0,D,,,,,,
1013871,2018-02-05,NRG,Hantke William,,0001179110-18-001563,2018-02-01,A,11.0,,64804.0,D,,,,,,
1013871,2018-03-21,NRG,Carter Matthew Jr,,0001179110-18-004725,2018-03-19,A,4144.0,,4144.0,D,,,,,,
1013871,2018-03-21,NRG,Cox Heather,,0001179110-18-004724,2018-03-19,A,4144.0,,4144.0,D,,,,,,
1013871,2018-05-03,NRG,Wilder John C Jr,,0001179110-18-006146,2018-05-01,A,14.0,,22743.0,D,,,,,,
