cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
73309,2016-02-02,NUE,Frias James D,,0001127602-16-038977,2016-02-01,S,4579.0,38.7842,145486.27,D,,,,,,
73309,2016-02-17,NUE,KEARNEY CHRISTOPHER J,,0001127602-16-041683,2016-02-16,P,1000.0,40.42,21560.0,D,,,,,,
73309,2016-02-17,NUE,DARSEY JAMES R,,0001127602-16-041677,2016-02-12,G,2154.0,0.0,209762.68,D,,,,,,
73309,2016-02-23,NUE,NAPOLITAN RAYMOND S JR,,0001127602-16-042887,2016-02-22,A,2336.0,0.0,76252.05,D,,,,,,
73309,2016-02-23,NUE,NAPOLITAN RAYMOND S JR,,0001127602-16-042887,2016-02-22,S,6700.0,39.9411,69552.05,D,,,,,,
73309,2016-02-23,NUE,Keller Michael D,,0001127602-16-042834,2016-02-22,A,1720.0,0.0,27396.0,D,,,,,,
73309,2016-02-23,NUE,Utermark D. Chad,,0001127602-16-042833,2016-02-22,A,2347.0,0.0,58671.0,D,,,,,,
73309,2016-02-23,NUE,Sumoski David A,,0001127602-16-042826,2016-02-22,A,2087.0,0.0,39359.0,D,,,,,,
73309,2016-02-23,NUE,Stratman Robert J,,0001127602-16-042825,2016-02-22,A,3420.0,0.0,215615.0,D,,,,,,
73309,2016-02-23,NUE,HALL LADD R,,0001127602-16-042824,2016-02-22,A,3420.0,0.0,200813.13,D,,,,,,
73309,2016-02-23,NUE,Frias James D,,0001127602-16-042823,2016-02-22,A,3230.0,0.0,148716.27,D,,,,,,
73309,2016-02-23,NUE,FERRIOLA JOHN J,,0001127602-16-042822,2016-02-22,A,7089.0,0.0,326995.0,D,,,,,,
73309,2016-02-23,NUE,DARSEY JAMES R,,0001127602-16-042821,2016-02-22,A,3032.0,0.0,212794.68,D,,,,,,
73309,2016-03-14,NUE,Keller Michael D,,0001127602-16-046189,2016-03-10,A,367.71,43.54,27763.71,D,,,,,,
73309,2016-03-14,NUE,HALL LADD R,,0001127602-16-046188,2016-03-10,A,3582.39,43.54,204395.52,D,,,,,,
73309,2016-03-14,NUE,Frias James D,,0001127602-16-046186,2016-03-10,A,2210.99,43.54,150927.26,D,,,,,,
73309,2016-04-29,NUE,Utermark D. Chad,,0001127602-16-050235,2016-04-28,S,2050.0,50.645,56621.0,D,,,,,,
73309,2016-05-03,NUE,Stratman Robert J,,0001127602-16-050725,2016-04-29,M,52631.0,35.76,268246.0,D,,,,,,
73309,2016-05-03,NUE,Stratman Robert J,,0001127602-16-050725,2016-04-29,S,52631.0,49.9,215615.0,D,,,,,,
73309,2016-06-03,NUE,NAPOLITAN RAYMOND S JR,,0001127602-16-054585,2016-06-01,A,6147.0,0.0,73889.05,D,,,,,,
73309,2016-06-03,NUE,MILCHOVICH RAYMOND J,,0001127602-16-054597,2016-06-01,A,2868.0,0.0,33049.0,D,,,,,,
73309,2016-06-03,NUE,NAPOLITAN RAYMOND S JR,,0001127602-16-054585,2016-06-01,F,156.0,48.51,69096.05,D,,,,,,
73309,2016-06-03,NUE,KASRIEL BERNARD,,0001127602-16-054595,2016-06-01,A,2868.0,0.0,26744.0,D,,,,,,
73309,2016-06-03,NUE,HALL LADD R,,0001127602-16-054586,2016-06-01,A,6147.0,0.0,208446.52,D,,,,,,
73309,2016-06-03,NUE,Keller Michael D,,0001127602-16-054581,2016-06-01,A,1277.0,0.0,28609.71,D,,,,,,
73309,2016-06-03,NUE,DARSEY JAMES R,,0001127602-16-054582,2016-06-01,A,6147.0,0.0,216853.68,D,,,,,,
73309,2016-06-03,NUE,FERRIOLA JOHN J,,0001127602-16-054583,2016-06-01,A,20491.0,0.0,337410.0,D,,,,,,
73309,2016-06-03,NUE,FERRIOLA JOHN J,,0001127602-16-054583,2016-06-01,F,3580.0,48.51,323415.0,D,,,,,,
73309,2016-06-03,NUE,Sumoski David A,,0001127602-16-054584,2016-06-01,F,156.0,48.51,52631.0,D,,,,,,
73309,2016-06-03,NUE,Sumoski David A,,0001127602-16-054584,2016-06-01,A,6147.0,0.0,45506.0,D,,,,,,
73309,2016-06-03,NUE,HALL LADD R,,0001127602-16-054586,2016-06-01,F,747.0,48.51,203653.52,D,,,,,,
73309,2016-06-03,NUE,KEARNEY CHRISTOPHER J,,0001127602-16-054603,2016-06-01,A,2868.0,0.0,28428.0,D,,,,,,
73309,2016-06-03,NUE,Frias James D,,0001127602-16-054587,2016-06-01,F,747.0,48.51,150180.26,D,,,,,,
73309,2016-06-03,NUE,Stratman Robert J,,0001127602-16-054592,2016-06-01,A,6147.0,0.0,218737.0,D,,,,,,
73309,2016-06-03,NUE,Stratman Robert J,,0001127602-16-054592,2016-06-01,F,1075.0,48.51,214540.0,D,,,,,,
73309,2016-06-03,NUE,WALKER JOHN H,,0001127602-16-054593,2016-06-01,A,2868.0,0.0,26409.0,D,,,,,,
73309,2016-06-03,NUE,HAYNES VICTORIA F,,0001127602-16-054594,2016-06-01,A,2868.0,0.0,35557.0,D,,,,,,
73309,2016-06-03,NUE,HAYES GREGORY,,0001127602-16-054596,2016-06-01,A,2868.0,0.0,12624.0,D,,,,,,
73309,2016-06-03,NUE,KOELLNER LAURETTE T,,0001127602-16-054601,2016-06-01,A,2868.0,0.0,2868.0,D,,,,,,
73309,2016-06-03,NUE,Frias James D,,0001127602-16-054587,2016-06-01,A,6147.0,0.0,154973.26,D,,,,,,
73309,2016-06-03,NUE,Utermark D. Chad,,0001127602-16-054590,2016-06-01,A,6147.0,0.0,61258.0,D,,,,,,
73309,2016-06-03,NUE,DARSEY JAMES R,,0001127602-16-054582,2016-06-01,F,747.0,48.51,212060.68,D,,,,,,
73309,2016-06-03,NUE,Utermark D. Chad,,0001127602-16-054590,2016-06-01,F,156.0,48.51,56465.0,D,,,,,,
73309,2016-06-03,NUE,Keller Michael D,,0001127602-16-054581,2016-06-01,F,156.0,48.51,27614.71,D,,,,,,
73309,2016-07-26,NUE,NAPOLITAN RAYMOND S JR,,0001127602-16-058618,2016-07-25,S,4664.0,52.381,76506.05,D,,,,,,
73309,2016-07-26,NUE,DARSEY JAMES R,,0001127602-16-058617,2016-07-25,M,10000.0,35.76,234134.68,D,,,,,,
73309,2016-07-26,NUE,DARSEY JAMES R,,0001127602-16-058617,2016-07-25,S,71465.0,52.45,205300.68,D,,,,,,
73309,2016-07-26,NUE,HALL LADD R,,0001127602-16-058619,2016-07-25,M,10000.0,35.76,225727.52,D,,,,,,
73309,2016-07-26,NUE,HALL LADD R,,0001127602-16-058619,2016-07-25,S,84233.0,52.37,184125.52,D,,,,,,
73309,2016-07-26,NUE,HALL LADD R,,0001127602-16-058619,2016-07-25,G,3330.0,0.0,10464.0,I,,,,,,
73309,2016-07-28,NUE,Frias James D,,0001127602-16-058798,2016-07-28,S,9000.0,53.141,156065.26,D,,,,,,
73309,2016-07-28,NUE,FERRIOLA JOHN J,,0001127602-16-058791,2016-07-27,S,100.0,54.09,354420.0,D,,,,,,
73309,2016-08-04,NUE,Frias James D,,0001127602-16-059450,2016-08-02,G,1000.0,0.0,155065.26,D,,,,,,
73309,2016-11-15,NUE,DARSEY JAMES R,,0001127602-16-067072,2016-11-10,S,16800.0,57.73,188513.68,D,,,,,,
73309,2016-11-15,NUE,Stratman Robert J,,0001127602-16-067071,2016-11-10,S,600.0,59.18,225418.0,D,,,,,,
