cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1045810,2019-05-28,NVDA,STEVENS MARK A,,0001045810-19-000105,2019-05-23,A,1258.0,0.0,160545.0,D,,,,,,
1045810,2019-05-28,NVDA,SEAWELL A BROOKE,,0001045810-19-000100,2019-05-23,A,1258.0,0.0,2221.0,D,,,,,,
1045810,2019-05-28,NVDA,PERRY MARK L,,0001045810-19-000099,2019-05-23,A,1258.0,0.0,32983.0,D,,,,,,
1045810,2019-05-28,NVDA,Neal Stephen C,,0001045810-19-000098,2019-05-23,A,1258.0,0.0,2816.0,D,,,,,,
1045810,2019-05-28,NVDA,MCCAFFERY MICHAEL G,,0001045810-19-000097,2019-05-23,A,1258.0,0.0,33792.0,D,,,,,,
1045810,2019-05-28,NVDA,JONES HARVEY C,,0001045810-19-000096,2019-05-23,A,1258.0,0.0,32983.0,D,,,,,,
1045810,2019-05-28,NVDA,HUDSON DAWN E,,0001045810-19-000095,2019-05-23,A,1258.0,0.0,31037.0,D,,,,,,
1045810,2019-05-28,NVDA,Drell Persis,,0001045810-19-000094,2019-05-23,A,1258.0,0.0,23184.0,D,,,,,,
1045810,2019-05-28,NVDA,BURGESS ROBERT K,,0001045810-19-000093,2019-05-23,A,1258.0,0.0,13894.0,D,,,,,,
1045810,2019-06-18,NVDA,JONES HARVEY C,,0001045810-19-000115,2019-06-17,S,100000.0,145.0992,226970.0,I,,,,,,
1045810,2019-06-20,NVDA,HUANG JEN HSUN,,0001045810-19-000128,2019-04-04,G,54675.0,0.0,625975.0,I,,,,,,
1045810,2019-06-20,NVDA,HUANG JEN HSUN,,0001045810-19-000128,2019-05-24,G,625975.0,0.0,0.0,I,,,,,,
1045810,2019-06-20,NVDA,Kress Colette,,0001045810-19-000123,2019-06-19,F,2205.0,153.12,241946.0,D,,,,,,
1045810,2019-06-20,NVDA,Puri Ajay K,,0001045810-19-000124,2019-06-19,F,2273.0,153.12,235590.0,D,,,,,,
1045810,2019-06-20,NVDA,HUANG JEN HSUN,,0001045810-19-000128,2019-06-19,F,4002.0,153.12,1375886.0,D,,,,,,
1045810,2019-06-20,NVDA,Teter Tim,,0001045810-19-000126,2019-06-19,F,1815.0,153.12,65951.0,D,,,,,,
1045810,2019-06-20,NVDA,Shoquist Debora,,0001045810-19-000125,2019-06-19,F,1610.0,153.12,170173.0,D,,,,,,
1045810,2019-07-01,NVDA,Kress Colette,,0001045810-19-000130,2019-06-28,S,2236.0,164.013,239710.0,D,,,,,,
1045810,2019-07-11,NVDA,Robertson Donald F Jr,,0001045810-19-000132,2019-07-10,A,15000.0,0.0,15038.0,D,,,,,,
1045810,2019-07-16,NVDA,Drell Persis,,0001045810-19-000134,2019-07-15,S,2500.0,166.7988,20684.0,D,,,,,,
1045810,2019-08-21,NVDA,Drell Persis,,0001045810-19-000146,2019-08-19,S,2500.0,167.3552,18184.0,D,,,,,,
1045810,2019-08-26,NVDA,HUDSON DAWN E,,0001045810-19-000148,2019-08-22,M,5000.0,14.7,36037.0,D,,,,,,
1045810,2019-08-26,NVDA,HUDSON DAWN E,,0001045810-19-000148,2019-08-22,S,5000.0,171.7342,31037.0,D,,,,,,
1045810,2019-08-28,NVDA,MCCAFFERY MICHAEL G,,0001045810-19-000150,2019-08-27,S,8787.0,166.5588,18792.0,D,,,,,,
1045810,2019-08-28,NVDA,MCCAFFERY MICHAEL G,,0001045810-19-000150,2019-08-26,S,6213.0,165.1407,27579.0,D,,,,,,
1045810,2019-09-04,NVDA,MCCAFFERY MICHAEL G,,0001045810-19-000152,2019-08-29,S,2361.0,166.0021,16431.0,D,,,,,,
1045810,2019-09-12,NVDA,GAITHER JAMES C,,0001225208-19-012380,2019-09-10,S,10000.0,182.3714,99961.0,I,,,,,,
1045810,2019-09-18,NVDA,Drell Persis,,0001045810-19-000154,2019-09-16,S,165.0,180.4544,18019.0,D,,,,,,
1045810,2019-09-20,NVDA,Puri Ajay K,,0001045810-19-000163,2019-09-18,F,12816.0,179.98,222774.0,D,,,,,,
1045810,2019-09-20,NVDA,Teter Tim,,0001045810-19-000165,2019-09-18,F,1967.0,179.98,63984.0,D,,,,,,
1045810,2019-09-20,NVDA,Kress Colette,,0001045810-19-000162,2019-09-18,F,11976.0,179.98,227826.0,D,,,,,,
1045810,2019-09-20,NVDA,Shoquist Debora,,0001045810-19-000164,2019-09-18,F,8517.0,179.98,161656.0,D,,,,,,
1045810,2019-09-20,NVDA,HUANG JEN HSUN,,0001045810-19-000161,2019-09-20,G,91870.0,0.0,15772615.0,I,,,,,,
1045810,2019-09-20,NVDA,HUANG JEN HSUN,,0001045810-19-000161,2019-09-19,G,45935.0,0.0,15864485.0,I,,,,,,
1045810,2019-09-20,NVDA,Kress Colette,,0001045810-19-000162,2019-09-19,S,12171.0,177.4799,215655.0,D,,,,,,
