cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
906163,2016-01-29,NVR,SCHAR DWIGHT C,,0001209191-16-094097,2016-01-28,G,2356,,67841,D,,,,,,
906163,2016-02-01,NVR,Malzahn Daniel David,,0001209191-16-094545,2016-01-29,S,500,1637.96,2725,D,,,,,,
906163,2016-02-01,NVR,Martinez Melquiades R.,,0001209191-16-094423,2016-01-29,S,375,1638.59,181,D,,,,,,
906163,2016-02-02,NVR,Henley Robert W,,0001209191-16-094637,2016-02-01,S,701,1645.02,0,D,,,,,,
906163,2016-02-18,NVR,Grier Eddie Arthur,,0001209191-16-099675,2016-02-17,S,190,1554.79,331,D,,,,,,
906163,2016-02-22,NVR,Bredow Eugene James,,0001209191-16-100826,2016-02-19,S,300,1580.0,859,D,,,,,,
906163,2016-03-01,NVR,Martchek Jeffrey D,,0001209191-16-103694,2016-02-29,M,750,515.05,5223,D,,,,,,
906163,2016-03-01,NVR,Martchek Jeffrey D,,0001209191-16-103694,2016-02-29,S,750,1625.0,4473,D,,,,,,
906163,2016-03-01,NVR,WHETSELL PAUL W,,0001209191-16-103773,2016-02-29,M,1000,515.05,2121,D,,,,,,
906163,2016-03-01,NVR,WHETSELL PAUL W,,0001209191-16-103773,2016-02-29,S,1000,1622.56,1121,D,,,,,,
906163,2016-04-26,NVR,Martinez Melquiades R.,,0001209191-16-115631,2016-04-25,S,50,1673.78,131,D,,,,,,
906163,2016-05-09,NVR,FESTA ALFRED E,,0001209191-16-118353,2016-05-06,M,1592,434.25,2413,D,,,,,,
906163,2016-05-09,NVR,FESTA ALFRED E,,0001209191-16-118353,2016-05-06,S,1592,1625.0,821,D,,,,,,
906163,2016-05-23,NVR,Martchek Jeffrey D,,0001209191-16-122485,2016-05-20,M,750,515.05,5223,D,,,,,,
906163,2016-05-23,NVR,Martchek Jeffrey D,,0001209191-16-122485,2016-05-20,S,750,1695.0,4473,D,,,,,,
906163,2016-05-25,NVR,JOHNSON MANUEL H,,0001209191-16-123105,2016-05-24,S,300,1716.8,521,D,,,,,,
906163,2016-07-14,NVR,SAVILLE PAUL C,,0001209191-16-132747,2016-07-12,G,272,,123856,D,,,,,,
906163,2016-07-26,NVR,ROSIER WILLIAM GRADY,,0001209191-16-133906,2016-07-25,S,729,1728.71,3424,D,,,,,,
906163,2016-07-26,NVR,ROSIER WILLIAM GRADY,,0001209191-16-133906,2016-07-25,M,1764,703.0,4153,D,,,,,,
906163,2016-08-08,NVR,JOHNSON MANUEL H,,0001209191-16-135862,2016-08-05,S,121,1699.19,400,D,,,,,,
906163,2016-10-21,NVR,DONAHUE TIMOTHY M,,0001209191-16-146550,2016-10-20,G,142,,518,D,,,,,,
906163,2016-11-09,NVR,PREISER DAVID A,,0001209191-16-148997,2016-11-08,S,600,1504.33,271,D,,,,,,
906163,2016-12-12,NVR,WHETSELL PAUL W,,0001209191-16-154649,2016-11-25,G,63,,1058,D,,,,,,
906163,2016-12-16,NVR,Martchek Jeffrey D,,0001209191-16-155635,2016-12-16,G,150,,4323,D,,,,,,
906163,2017-01-30,NVR,Martinez Melquiades R.,,0001209191-17-006092,2017-01-27,M,844,899.84,975,D,,,,,,
906163,2017-01-30,NVR,Martinez Melquiades R.,,0001209191-17-006092,2017-01-27,S,1169,1855.03,131,D,,,,,,
906163,2017-01-30,NVR,WHETSELL PAUL W,,0001209191-17-006090,2017-01-27,M,1000,703.0,2058,D,,,,,,
906163,2017-01-30,NVR,WHETSELL PAUL W,,0001209191-17-006090,2017-01-27,S,1302,1835.57,1058,D,,,,,,
906163,2017-02-06,NVR,Henley Robert W,,0001209191-17-008030,2017-02-03,M,1000,703.0,1000,D,,,,,,
906163,2017-02-06,NVR,Henley Robert W,,0001209191-17-008030,2017-02-03,S,1000,1885.0,0,D,,,,,,
906163,2017-02-06,NVR,Henley Robert W,,0001209191-17-008030,2017-02-02,M,3000,703.0,3000,D,,,,,,
906163,2017-02-06,NVR,Henley Robert W,,0001209191-17-008030,2017-02-02,S,3000,1875.34,0,D,,,,,,
906163,2017-02-07,NVR,DONAHUE TIMOTHY M,,0001209191-17-008213,2017-02-03,M,651,515.05,1169,D,,,,,,
906163,2017-02-07,NVR,DONAHUE TIMOTHY M,,0001209191-17-008213,2017-02-06,S,651,1878.83,518,D,,,,,,
906163,2017-02-09,NVR,FESTA ALFRED E,,0001209191-17-008968,2017-02-07,M,1764,703.0,2585,D,,,,,,
